Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2000-10-27,2000-11-15,SHORT,264.3998,265.1002,-288.07,-203.29,19
2000-12-06,2000-12-11,LONG,274.3002,270.1998,323.41,-1327.85,5
2000-12-27,2000-12-28,LONG,275.2002,271.6998,495.87,-1738.45,1
2001-01-10,2001-02-01,SHORT,264.6998,268.5002,-376.15,-1431.54,22
2001-02-01,2001-02-05,LONG,268.5002,265.1998,486.89,-1609.5,4
2001-02-08,2001-03-05,SHORT,260.0998,262.5002,-324.63,-780.94,25
2001-03-12,2001-03-13,LONG,271.6002,266.7998,207.75,-998.42,1
2001-05-09,2001-06-04,LONG,270.0002,264.8998,437.6,-2234.28,26
2001-06-04,2001-06-13,SHORT,264.8998,272.0002,-142.0,-1009.0,9
2001-08-13,2001-08-27,LONG,275.7002,272.5998,307.2,-954.13,14
2001-09-19,2001-10-18,LONG,291.5002,279.1998,178.45,-2195.97,29
2001-10-18,2001-10-31,SHORT,279.1998,279.5002,-221.66,-67.82,13
2001-11-19,2001-12-04,SHORT,272.6998,275.4002,-362.42,-980.68,15
2001-12-18,2001-12-19,LONG,280.4002,275.4998,319.52,-1567.56,1
2002-01-10,2002-01-22,LONG,287.1002,281.4998,232.99,-1306.13,12
2002-02-04,2002-02-27,LONG,289.3002,296.2998,225.68,1578.37,23
2002-03-28,2002-04-09,LONG,302.6002,298.7998,254.16,-967.43,12
2002-04-26,2002-05-10,LONG,311.6002,310.9998,223.83,-135.78,14
2002-05-22,2002-06-17,LONG,318.0002,317.3998,221.73,-134.53,26
2002-07-02,2002-07-10,SHORT,312.7998,314.7002,-217.99,-415.65,8
2002-07-26,2002-08-08,SHORT,303.3998,310.4002,-129.93,-910.39,13
2002-09-09,2002-09-11,LONG,321.3002,316.5998,214.46,-1009.4,2
2002-09-23,2002-09-26,LONG,323.0002,320.2998,221.01,-598.24,3
2002-10-21,2002-10-25,SHORT,310.8998,313.4002,-230.31,-577.32,4
2002-11-12,2002-11-14,LONG,324.5002,317.8998,270.3,-1785.8,2
2002-12-12,2003-02-14,LONG,331.4002,351.8998,195.69,4010.19,64
2003-02-14,2003-02-26,SHORT,351.8998,354.0002,-103.91,-219.0,12
2003-03-20,2003-04-11,SHORT,332.8998,327.9002,-128.18,640.01,22
2003-05-01,2003-06-16,LONG,342.1002,358.9998,171.88,2903.4,46
2003-07-24,2003-08-06,LONG,362.2002,350.7998,155.42,-1773.0,13
2003-08-14,2003-08-18,LONG,366.0002,358.3998,122.1,-928.88,4
2003-09-05,2003-09-15,LONG,377.6002,374.4998,112.37,-349.23,10
2003-09-24,2003-09-29,LONG,387.5002,382.3998,146.66,-749.17,5
2003-11-14,2003-11-20,LONG,397.8002,393.6998,124.92,-513.19,6
2003-12-03,2004-01-16,LONG,403.9002,406.6998,117.08,326.81,44
2004-01-16,2004-02-09,SHORT,406.6998,406.8002,-131.66,-14.29,24
2004-03-23,2004-04-08,LONG,419.8002,419.8998,116.55,10.63,16
2004-04-14,2004-05-25,SHORT,399.7998,388.3002,-86.35,992.27,41
2004-05-27,2004-06-03,LONG,394.9002,388.0998,136.83,-931.53,7
2004-07-12,2004-07-13,LONG,408.1002,401.9998,118.38,-723.11,1
2004-07-26,2004-08-03,SHORT,390.2998,394.0002,-121.95,-452.22,8
2004-08-19,2004-08-27,LONG,407.1002,403.2998,168.71,-642.54,8
2004-09-30,2004-10-15,LONG,418.7002,418.6998,198.25,-1.74,15
2004-10-25,2004-11-03,LONG,429.0002,424.5998,150.32,-662.74,9
2004-11-05,2004-12-10,LONG,433.6002,433.8998,126.75,36.87,35
2004-12-10,2004-12-20,SHORT,433.8998,442.4002,-109.65,-933.03,10
2005-01-05,2005-01-24,SHORT,426.5998,426.9002,-124.99,-38.61,19
2005-02-04,2005-02-17,SHORT,413.9998,427.3002,-184.17,-2451.15,13
2005-02-17,2005-03-23,LONG,427.3002,425.1998,177.06,-373.39,34
2005-03-23,2005-04-11,SHORT,425.1998,428.6002,-115.99,-395.4,19
2005-04-26,2005-04-27,LONG,437.9002,432.9998,175.81,-863.08,1
2005-05-16,2005-06-10,SHORT,418.8998,427.4002,-146.2,-1244.04,25
2005-06-10,2005-07-05,LONG,427.4002,422.8998,186.05,-838.87,25
2005-07-05,2005-07-26,SHORT,422.8998,423.4002,-135.36,-68.88,21
2005-08-01,2005-08-23,LONG,431.9002,439.3998,182.31,1365.64,22
2005-09-08,2005-10-18,LONG,446.7002,472.0998,165.06,4190.91,40
2005-10-20,2005-10-21,SHORT,460.9998,467.0002,-133.44,-801.97,1
2005-11-17,2006-02-13,LONG,486.2002,538.9998,95.54,5043.6,88
2006-02-13,2006-02-16,SHORT,538.9998,546.0002,-60.63,-425.06,3
2006-03-30,2006-06-01,LONG,586.7002,627.5998,95.51,3905.29,63
2006-06-01,2006-06-05,SHORT,627.5998,643.2002,-33.55,-523.85,4
2006-06-07,2006-06-29,SHORT,627.3998,586.5002,-36.18,1479.46,22
2006-07-06,2006-07-25,LONG,634.1002,617.5998,52.01,-858.75,19
2006-08-18,2006-08-21,SHORT,612.0998,625.7002,-67.72,-921.91,3
2006-09-12,2006-09-26,SHORT,586.8998,591.2002,-57.7,-248.83,14
2006-10-04,2006-10-09,SHORT,561.9998,578.4002,-61.91,-1016.02,5
2006-11-02,2006-11-17,LONG,625.4002,621.4998,64.83,-253.66,15
2006-11-28,2006-12-12,LONG,637.2002,626.9998,95.42,-974.51,14
2006-12-15,2006-12-20,SHORT,614.9998,620.6002,-83.99,-471.4,5
2007-01-05,2007-01-12,SHORT,604.8998,625.5002,-78.78,-1623.92,7
2007-01-23,2007-03-02,LONG,645.2002,641.4998,60.93,-226.26,38
2007-03-02,2007-03-16,SHORT,641.4998,652.6002,-55.11,-612.47,14
2007-04-10,2007-04-30,LONG,676.5002,680.4998,102.91,410.2,20
2007-05-24,2007-05-29,SHORT,652.9998,657.1002,-72.75,-299.26,5
2007-07-18,2007-08-01,LONG,672.6002,663.5998,97.67,-880.36,14
2007-09-06,2007-11-28,LONG,695.6002,800.0998,90.07,9410.47,83
2007-12-28,2008-02-12,LONG,839.6002,907.3998,64.57,4376.4,46
2008-02-27,2008-03-20,LONG,958.2002,919.5998,54.28,-2096.31,22
2008-03-20,2008-04-09,SHORT,919.5998,933.6002,-33.85,-474.5,20
2008-04-29,2008-05-09,SHORT,874.1998,884.5002,-45.58,-470.27,10
2008-05-21,2008-05-28,LONG,928.0002,900.4998,46.97,-1292.54,7
2008-07-02,2008-07-08,LONG,944.8002,921.8998,44.93,-1029.68,6
2008-07-11,2008-07-28,LONG,959.5002,927.5998,36.81,-1174.87,17
2008-07-29,2008-08-28,SHORT,916.3998,830.9002,-38.87,3322.93,30
2008-09-10,2008-09-17,SHORT,757.8998,846.6002,-50.82,-4508.61,7
2008-09-17,2008-10-06,LONG,846.6002,862.6998,27.42,440.97,19
2008-10-17,2008-11-10,SHORT,785.0998,745.6002,-21.98,867.85,24
2008-11-13,2008-11-14,SHORT,704.8998,742.4002,-32.0,-1200.3,1
2008-12-15,2009-01-08,LONG,835.4002,853.8998,29.75,549.94,24
2009-01-15,2009-01-16,SHORT,806.6998,839.3002,-34.94,-1139.78,1
2009-01-26,2009-02-09,LONG,908.5002,892.3998,28.03,-451.79,14
2009-02-12,2009-03-06,LONG,948.5002,942.0998,27.54,-176.78,22
2009-05-14,2009-06-19,LONG,928.0002,935.5998,67.59,512.41,36
2009-06-22,2009-06-24,SHORT,920.5998,934.1002,-42.4,-573.17,2
2009-08-04,2009-08-07,LONG,967.5002,957.2998,59.5,-608.1,3
2009-09-08,2009-10-01,LONG,997.9002,999.4998,56.13,88.66,23
2009-10-06,2009-10-30,LONG,1038.6002,1039.6998,49.21,53.09,24
2009-11-03,2009-12-17,LONG,1084.3002,1106.7998,43.73,982.96,44
2009-12-17,2010-01-05,SHORT,1106.7998,1118.1002,-28.91,-327.37,19
2010-01-08,2010-01-13,LONG,1138.2002,1136.3998,48.42,-88.27,5
2010-01-27,2010-02-02,SHORT,1084.3998,1117.4002,-37.87,-1250.58,6
2010-02-05,2010-02-10,SHORT,1052.1998,1075.8002,-30.66,-724.18,5
2010-04-07,2010-04-22,LONG,1152.3002,1142.2998,44.23,-443.34,15
2010-04-28,2010-05-25,LONG,1171.3002,1197.7998,56.8,1503.72,27
2010-07-27,2010-08-02,SHORT,1157.9998,1183.4002,-44.08,-1120.8,6
2010-08-16,2010-10-29,LONG,1224.5002,1357.0998,68.78,9118.25,74
2010-11-08,2010-11-15,LONG,1402.8002,1368.3998,32.63,-1123.28,7
2010-12-06,2010-12-08,LONG,1415.3002,1382.4998,43.16,-1416.7,2
2011-01-25,2011-02-04,SHORT,1332.2998,1348.3002,-54.97,-880.99,10
2011-02-17,2011-03-18,LONG,1384.7002,1415.8998,63.98,1994.27,29
2011-04-08,2011-05-13,LONG,1473.4002,1493.3998,54.19,1082.23,35
2011-06-01,2011-06-10,LONG,1542.4002,1528.5998,56.11,-776.07,9
2011-06-27,2011-07-05,SHORT,1495.9998,1512.3002,-46.71,-762.77,8
2011-07-12,2011-09-12,LONG,1561.9002,1809.8998,32.83,8140.12,62
2011-09-26,2011-10-07,SHORT,1592.4998,1634.5002,-12.69,-533.42,11
2011-11-07,2011-11-16,LONG,1790.3002,1773.7998,21.48,-355.15,9
2011-12-14,2012-01-09,SHORT,1584.2998,1607.5002,-22.93,-532.8,26
2012-01-20,2012-02-14,LONG,1663.7002,1715.8998,34.03,1775.03,25
2012-02-23,2012-02-29,LONG,1784.9002,1709.8998,36.8,-2761.14,6
2012-02-29,2012-03-13,SHORT,1709.8998,1693.7002,-31.08,502.43,13
2012-03-14,2012-03-26,SHORT,1642.4998,1685.5002,-24.04,-1034.65,12
2012-05-11,2012-05-31,SHORT,1583.5998,1562.6002,-46.12,967.01,20
2012-06-06,2012-06-07,LONG,1632.8002,1586.5998,26.84,-1240.94,1
2012-08-23,2012-10-11,LONG,1669.6002,1768.7998,55.49,5502.13,49
2012-10-23,2012-11-08,SHORT,1708.2998,1725.4002,-45.39,-777.72,16
2012-12-20,2013-01-03,SHORT,1644.8998,1673.7002,-46.77,-1348.62,14
2013-02-15,2013-03-14,SHORT,1608.7998,1590.6002,-47.64,865.45,27
2013-04-04,2013-04-08,SHORT,1551.7998,1572.0002,-54.12,-1094.88,4
2013-04-12,2013-04-30,SHORT,1500.9998,1472.2002,-29.61,852.03,18
2013-05-17,2013-05-30,SHORT,1364.8998,1411.5002,-31.53,-1470.09,13
2013-06-24,2013-07-16,SHORT,1276.7998,1290.8002,-27.66,-387.91,22
2013-08-16,2013-09-11,LONG,1371.7002,1363.8998,40.84,-319.69,26
2013-09-12,2013-09-25,SHORT,1330.3998,1335.9002,-32.03,-177.04,13
2013-11-12,2013-12-13,SHORT,1271.0998,1235.7002,-50.29,1779.17,31
2014-02-12,2014-03-24,LONG,1295.3002,1311.1998,54.84,870.57,40
2014-03-24,2014-04-11,SHORT,1311.1998,1318.7002,-45.61,-343.28,18
2014-05-30,2014-06-19,SHORT,1245.5998,1313.7002,-69.18,-4712.81,20
2014-06-19,2014-07-22,LONG,1313.7002,1306.0998,78.8,-600.99,33
2014-09-02,2014-10-15,SHORT,1263.6998,1244.1002,-68.89,1348.5,43
