Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2000-10-25,2000-11-27,SHORT,266.1998,270.1002,-284.55,-1111.41,33
2000-11-27,2001-01-02,LONG,270.1002,268.3998,659.25,-1124.54,36
2001-01-02,2001-02-01,SHORT,268.3998,268.5002,-397.86,-42.08,30
2001-02-01,2001-02-08,LONG,268.5002,260.0998,499.27,-4196.68,7
2001-02-08,2001-03-09,SHORT,260.0998,270.8002,-324.06,-3469.35,29
2001-03-09,2001-03-30,LONG,270.8002,257.8998,193.35,-2495.25,21
2001-03-30,2001-04-16,SHORT,257.8998,263.3002,-267.61,-1446.63,17
2001-04-16,2001-06-04,LONG,263.3002,264.8998,301.35,480.45,49
2001-06-04,2001-06-26,SHORT,264.8998,276.2002,-137.12,-1550.23,22
2001-06-26,2001-07-05,LONG,276.2002,265.0998,184.27,-2046.46,9
2001-07-05,2001-08-09,SHORT,265.0998,273.4002,-228.69,-1899.43,35
2001-08-09,2001-10-18,LONG,273.4002,279.1998,285.21,1652.49,70
2001-10-18,2001-12-14,SHORT,279.1998,278.0002,-214.49,256.11,57
2001-12-14,2002-03-07,LONG,278.0002,290.0998,335.78,4060.86,83
2002-03-07,2002-03-27,SHORT,290.0998,302.2002,-239.89,-2904.17,20
2002-03-27,2002-06-28,LONG,302.2002,313.4998,261.77,2956.21,93
2002-06-28,2002-09-04,SHORT,313.4998,314.9002,-232.69,-327.33,68
2002-09-04,2002-10-10,LONG,314.9002,316.4998,197.84,315.21,36
2002-10-10,2002-11-07,SHORT,316.4998,320.5002,-219.26,-878.55,28
2002-11-07,2003-02-14,LONG,320.5002,351.8998,287.33,9020.02,99
2003-02-14,2003-04-30,SHORT,351.8998,339.1002,-122.75,1570.29,75
2003-04-30,2003-06-24,LONG,339.1002,346.2998,217.85,1566.91,55
2003-06-24,2003-07-23,SHORT,346.2998,358.6002,-109.45,-1347.11,29
2003-07-23,2003-10-03,LONG,358.6002,369.3998,196.82,2124.12,72
2003-10-03,2003-10-24,SHORT,369.3998,388.9002,-154.54,-3014.8,21
2003-10-24,2004-01-16,LONG,388.9002,406.6998,153.6,2732.8,84
2004-01-16,2004-02-17,SHORT,406.6998,416.0002,-162.8,-1515.45,32
2004-02-17,2004-02-20,LONG,416.0002,397.4998,116.66,-2159.14,3
2004-02-20,2004-03-18,SHORT,397.4998,411.1002,-126.41,-1720.21,27
2004-03-18,2004-04-14,LONG,411.1002,399.7998,133.22,-1506.51,27
2004-04-14,2004-05-27,SHORT,399.7998,394.9002,-99.31,485.82,43
2004-05-27,2004-07-23,LONG,394.9002,390.4998,156.27,-688.86,57
2004-07-23,2004-08-17,SHORT,390.4998,404.4002,-125.91,-1751.17,25
2004-08-17,2004-12-10,LONG,404.4002,433.8998,175.94,5188.56,115
2004-12-10,2005-02-17,SHORT,433.8998,427.3002,-134.58,887.02,69
2005-02-17,2005-03-23,LONG,427.3002,425.1998,229.48,-483.94,34
2005-03-23,2005-04-20,SHORT,425.1998,435.3002,-150.33,-1519.7,28
2005-04-20,2005-05-12,LONG,435.3002,421.5998,219.44,-3008.26,22
2005-05-12,2005-06-10,SHORT,421.5998,427.4002,-189.66,-1101.71,29
2005-06-10,2005-07-05,LONG,427.4002,422.8998,234.9,-1059.12,25
2005-07-05,2005-08-01,SHORT,422.8998,431.9002,-170.91,-1539.7,27
2005-08-01,2005-08-30,LONG,431.9002,431.1998,226.41,-160.53,29
2005-08-30,2005-09-08,SHORT,431.1998,446.7002,-158.49,-2458.02,9
2005-09-08,2005-10-20,LONG,446.7002,460.9998,195.05,2787.36,42
2005-10-20,2005-11-16,SHORT,460.9998,478.3002,-153.88,-2663.72,27
2005-11-16,2006-02-13,LONG,478.3002,538.9998,123.97,7523.39,89
2006-02-13,2006-03-29,SHORT,538.9998,573.0002,-69.89,-2376.99,44
2006-03-29,2006-06-01,LONG,573.0002,627.5998,125.21,6834.87,64
2006-06-01,2006-07-06,SHORT,627.5998,634.1002,-38.86,-253.07,35
2006-07-06,2006-08-18,LONG,634.1002,612.0998,59.39,-1307.35,43
2006-08-18,2006-10-30,SHORT,612.0998,604.7002,-77.08,569.4,73
2006-10-30,2006-12-15,LONG,604.7002,614.9998,80.81,831.28,46
2006-12-15,2007-01-19,SHORT,614.9998,635.5002,-101.12,-2074.32,35
2007-01-19,2007-03-02,LONG,635.5002,641.4998,86.19,516.03,42
2007-03-02,2007-04-04,SHORT,641.4998,672.1002,-67.23,-2058.18,33
2007-04-04,2007-05-10,LONG,672.1002,665.0998,116.7,-818.47,36
2007-05-10,2007-07-10,SHORT,665.0998,662.5002,-92.87,240.18,61
2007-07-10,2007-08-16,LONG,662.5002,648.2998,104.71,-1488.26,37
2007-08-16,2007-09-04,SHORT,648.2998,682.5002,-91.61,-3134.26,19
2007-09-04,2008-03-20,LONG,682.5002,919.5998,93.57,22182.58,198
2008-03-20,2008-05-21,SHORT,919.5998,928.0002,-42.19,-355.21,62
2008-05-21,2008-07-29,LONG,928.0002,916.3998,58.99,-685.42,69
2008-07-29,2008-09-17,SHORT,916.3998,846.6002,-50.54,3527.04,50
2008-09-17,2008-10-16,LONG,846.6002,801.4998,37.33,-1684.38,29
2008-10-16,2008-11-21,SHORT,801.4998,791.7002,-30.61,299.45,36
2008-11-21,2009-01-14,LONG,791.7002,808.1998,35.85,591.0,54
2009-01-14,2009-01-23,SHORT,808.1998,895.3002,-44.62,-3887.55,9
2009-01-23,2009-03-18,LONG,895.3002,888.6998,35.34,-233.91,54
2009-03-18,2009-05-07,SHORT,888.6998,915.0002,-38.87,-1023.06,50
2009-05-07,2009-06-22,LONG,915.0002,920.5998,60.44,337.3,46
2009-06-22,2009-07-20,SHORT,920.5998,948.5002,-55.25,-1542.65,28
2009-07-20,2009-12-17,LONG,948.5002,1106.7998,59.61,9434.34,150
2009-12-17,2010-01-08,SHORT,1106.7998,1138.2002,-40.49,-1272.39,22
2010-01-08,2010-01-27,LONG,1138.2002,1084.3998,67.33,-3623.64,19
2010-01-27,2010-02-19,SHORT,1084.3998,1121.3002,-51.03,-1884.3,23
2010-02-19,2010-03-24,LONG,1121.3002,1088.5998,41.33,-1352.32,33
2010-03-24,2010-04-06,SHORT,1088.5998,1135.1002,-68.48,-3185.78,13
2010-04-06,2010-07-01,LONG,1135.1002,1206.2998,65.53,4664.04,86
2010-07-01,2010-08-12,SHORT,1206.2998,1214.8002,-48.32,-411.93,42
2010-08-12,2011-01-07,LONG,1214.8002,1368.4998,74.71,11481.06,148
2011-01-07,2011-02-15,SHORT,1368.4998,1373.6002,-64.42,-330.32,39
2011-02-15,2011-05-17,LONG,1373.6002,1479.7998,69.91,7421.82,91
2011-05-17,2011-06-01,SHORT,1479.7998,1542.4002,-44.35,-2777.42,15
2011-06-01,2011-06-24,LONG,1542.4002,1500.4998,78.51,-3291.82,23
2011-06-24,2011-07-12,SHORT,1500.4998,1561.9002,-64.81,-3981.68,18
2011-07-12,2011-09-22,LONG,1561.9002,1739.1998,43.99,7798.23,72
2011-09-22,2011-10-25,SHORT,1739.1998,1699.6002,-20.28,802.4,33
2011-10-25,2011-12-12,LONG,1699.6002,1664.1998,31.01,-1098.86,48
2011-12-12,2012-01-17,SHORT,1664.1998,1655.2002,-36.49,327.19,36
2012-01-17,2012-02-29,LONG,1655.2002,1709.8998,36.52,1996.62,43
2012-02-29,2012-06-06,SHORT,1709.8998,1632.8002,-42.37,3265.36,98
2012-06-06,2012-06-28,LONG,1632.8002,1549.6998,37.37,-3106.27,22
2012-06-28,2012-08-20,SHORT,1549.6998,1620.1002,-52.83,-3720.67,53
2012-08-20,2012-10-15,LONG,1620.1002,1735.9998,83.38,9661.32,56
2012-10-15,2012-11-23,SHORT,1735.9998,1751.3002,-59.66,-914.98,39
2012-11-23,2012-12-05,LONG,1751.3002,1692.3998,63.25,-3727.55,12
2012-12-05,2013-01-17,SHORT,1692.3998,1690.4002,-51.43,101.1,43
2013-01-17,2013-02-11,LONG,1690.4002,1648.1998,50.34,-2125.88,25
2013-02-11,2013-07-19,SHORT,1648.1998,1293.3002,-62.9,22321.33,158
2013-07-19,2013-09-12,LONG,1293.3002,1330.3998,50.98,1889.85,55
2013-09-12,2013-10-22,SHORT,1330.3998,1342.5002,-51.3,-622.12,40
2013-10-22,2013-11-12,LONG,1342.5002,1271.0998,57.73,-4123.35,21
2013-11-12,2014-01-13,SHORT,1271.0998,1250.9002,-78.14,1576.49,62
2014-01-13,2014-03-24,LONG,1250.9002,1311.1998,90.1,5430.5,70
2014-03-24,2014-06-19,SHORT,1311.1998,1313.7002,-72.24,-182.52,87
2014-06-19,2014-07-24,LONG,1313.7002,1290.5998,131.6,-3043.42,35
2014-07-24,2014-10-15,SHORT,1290.5998,1244.1002,-84.06,3906.78,83
2014-10-15,2014-10-31,LONG,1244.1002,1171.0998,92.15,-6729.19,16
2014-10-31,2014-12-01,SHORT,1171.0998,1218.0002,-85.93,-4032.48,31
2014-12-01,2014-12-24,LONG,1218.0002,1173.4998,76.36,-3399.78,23
2014-12-24,2015-01-12,SHORT,1173.4998,1232.7002,-80.2,-4750.01,19
2015-01-12,2015-02-10,LONG,1232.7002,1231.5998,57.33,-64.49,29
2015-02-10,2015-04-01,SHORT,1231.5998,1208.1002,-54.85,1287.54,50
2015-04-01,2015-04-24,LONG,1208.1002,1175.1998,85.83,-2825.86,23
2015-04-24,2015-05-13,SHORT,1175.1998,1218.4002,-73.13,-3160.93,19
2015-05-13,2015-06-04,LONG,1218.4002,1174.8998,51.61,-2246.4,22
2015-06-04,2015-08-19,SHORT,1174.8998,1128.1002,-113.79,5323.0,76
2015-08-19,2015-09-09,LONG,1128.1002,1102.1998,109.57,-2840.42,21
2015-09-09,2015-09-24,SHORT,1102.1998,1153.8002,-72.59,-3747.6,15
2015-09-24,2015-11-02,LONG,1153.8002,1135.7998,70.26,-1266.32,39
2015-11-02,2016-01-06,SHORT,1135.7998,1091.9002,-77.84,3415.42,65
2016-01-06,2016-04-04,LONG,1091.9002,1217.9998,57.0,7185.97,89
2016-04-04,2016-04-28,SHORT,1217.9998,1265.5002,-62.19,-2955.86,24
2016-04-28,2016-05-24,LONG,1265.5002,1228.8998,65.5,-2398.75,26
2016-05-24,2016-06-13,SHORT,1228.8998,1284.4002,-75.07,-4168.46,20
2016-06-13,2016-08-24,LONG,1284.4002,1324.3998,74.06,2960.57,72
2016-08-24,2016-11-02,SHORT,1324.3998,1306.8002,-82.74,1454.0,70
2016-11-02,2016-11-14,LONG,1306.8002,1221.1998,100.56,-8610.4,12
2016-11-14,2017-01-05,SHORT,1221.1998,1179.7002,-54.63,2265.81,52
2017-01-05,2017-03-07,LONG,1179.7002,1215.0998,70.94,2509.47,61
2017-03-07,2017-04-11,SHORT,1215.0998,1271.2002,-95.88,-5381.25,35
2017-04-11,2017-05-04,LONG,1271.2002,1226.4998,115.25,-5154.54,23
2017-05-04,2017-05-26,SHORT,1226.4998,1267.6002,-85.24,-3505.59,22
2017-05-26,2017-06-19,LONG,1267.6002,1244.1998,84.52,-1979.94,24
2017-06-19,2017-07-27,SHORT,1244.1998,1259.6002,-69.75,-1075.94,38
2017-07-27,2017-09-27,LONG,1259.6002,1283.3998,116.63,2772.68,62
2017-09-27,2017-11-17,SHORT,1283.3998,1295.8002,-70.83,-880.11,51
2017-11-17,2017-12-05,LONG,1295.8002,1261.5998,76.98,-2634.59,18
2017-12-05,2017-12-28,SHORT,1261.5998,1294.1002,-63.09,-2052.01,23
2017-12-28,2018-02-07,LONG,1294.1002,1311.5998,105.98,1851.8,41
2018-02-07,2018-03-23,SHORT,1311.5998,1349.3002,-63.34,-2389.61,44
2018-03-23,2018-04-23,LONG,1349.3002,1322.4998,70.06,-1879.39,31
2018-04-23,2018-06-14,SHORT,1322.4998,1304.0002,-67.71,1250.85,52
2018-06-14,2018-06-15,LONG,1304.0002,1274.5998,199.61,-5873.66,1
2018-06-15,2018-10-11,SHORT,1274.5998,1223.5002,-105.24,5375.02,118
2018-10-11,2018-11-09,LONG,1223.5002,1206.3998,63.12,-1080.88,29
2018-11-09,2018-12-03,SHORT,1206.3998,1233.9002,-71.57,-1970.03,24
2018-12-03,2019-03-01,LONG,1233.9002,1296.3998,86.3,5391.31,88
2019-03-01,2019-05-13,SHORT,1296.3998,1300.1002,-72.16,-268.88,73
2019-05-13,2019-09-10,LONG,1300.1002,1490.2998,95.56,18172.93,120
2019-09-10,2019-10-31,SHORT,1490.2998,1511.4002,-52.86,-1117.04,51
2019-10-31,2019-11-07,LONG,1511.4002,1464.1998,83.69,-3952.6,7
2019-11-07,2019-12-23,SHORT,1464.1998,1482.5002,-65.66,-1203.49,46
2019-12-23,2020-03-13,LONG,1482.5002,1515.6998,123.94,4111.13,81
2020-03-13,2020-04-06,SHORT,1515.6998,1677.0002,-22.54,-3636.76,24
2020-04-06,2020-06-05,LONG,1677.0002,1676.1998,18.57,-15.49,60
2020-06-05,2020-06-19,SHORT,1676.1998,1745.9002,-33.04,-2303.84,14
2020-06-19,2020-08-24,LONG,1745.9002,1927.6998,38.88,7066.83,66
2020-08-24,2020-10-21,SHORT,1927.6998,1924.6002,-22.88,70.03,58
2020-10-21,2020-10-28,LONG,1924.6002,1876.1998,52.92,-2563.46,7
2020-10-28,2020-11-05,SHORT,1876.1998,1945.3002,-49.0,-3387.82,8
2020-11-05,2020-11-09,LONG,1945.3002,1853.1998,39.96,-3681.95,4
2020-11-09,2020-12-17,SHORT,1853.1998,1887.2002,-26.7,-908.85,38
2020-12-17,2021-01-15,LONG,1887.2002,1829.2998,36.55,-2117.61,29
2021-01-15,2021-04-06,SHORT,1829.2998,1741.5002,-29.27,2568.72,81
2021-04-06,2021-06-15,LONG,1741.5002,1854.4998,48.21,5445.52,70
2021-06-15,2021-07-29,SHORT,1854.4998,1831.2002,-64.53,1501.08,44
2021-07-29,2021-08-06,LONG,1831.2002,1759.9998,85.7,-6105.02,8
2021-08-06,2021-09-03,SHORT,1759.9998,1830.9002,-59.57,-4225.73,28
2021-09-03,2021-09-16,LONG,1830.9002,1754.5998,64.1,-4893.36,13
2021-09-16,2021-10-13,SHORT,1754.5998,1793.7002,-39.43,-1543.13,27
2021-10-13,2021-12-02,LONG,1793.7002,1760.6998,56.58,-1868.99,50
2021-12-02,2021-12-23,SHORT,1760.6998,1811.2002,-43.44,-2195.15,21
2021-12-23,2022-01-28,LONG,1811.2002,1784.8998,51.53,-1357.15,36
2022-01-28,2022-02-14,SHORT,1784.8998,1868.0002,-39.01,-3243.15,17
2022-02-14,2022-04-25,LONG,1868.0002,1893.1998,40.63,1022.28,70
2022-04-25,2022-06-10,SHORT,1893.1998,1871.5002,-36.21,784.38,46
2022-06-10,2022-06-14,LONG,1871.5002,1809.4998,46.47,-2882.62,4
2022-06-14,2022-08-02,SHORT,1809.4998,1771.1002,-35.61,1366.07,49
2022-08-02,2022-08-30,LONG,1771.1002,1723.1998,47.43,-2273.58,28
2022-08-30,2022-11-08,SHORT,1723.1998,1712.1002,-46.86,518.56,70
2022-11-08,2023-02-10,LONG,1712.1002,1862.7998,35.85,5400.88,94
2023-02-10,2023-03-13,SHORT,1862.7998,1911.7002,-51.29,-2510.29,31
2023-03-13,2023-05-18,LONG,1911.7002,1956.4998,32.7,1463.8,66
2023-05-18,2023-07-13,SHORT,1956.4998,1959.2002,-32.96,-90.3,56
2023-07-13,2023-08-08,LONG,1959.2002,1924.0998,65.73,-2309.74,26
2023-08-08,2023-08-30,SHORT,1924.0998,1944.3002,-49.03,-992.27,22
2023-08-30,2023-09-26,LONG,1944.3002,1900.3998,62.66,-2753.16,27
2023-09-26,2023-10-18,SHORT,1900.3998,1955.3002,-55.84,-3067.97,22
2023-10-18,2024-01-17,LONG,1955.3002,2002.5998,30.63,1447.54,91
2024-01-17,2024-02-01,SHORT,2002.5998,2053.0002,-33.43,-1686.25,15
2024-02-01,2024-02-13,LONG,2053.0002,1992.8998,38.56,-2318.98,12
2024-02-13,2024-03-01,SHORT,1992.8998,2086.9001,-50.77,-4774.33,17
2024-03-01,2024-06-07,LONG,2086.9001,2305.1998,33.91,7401.05,98
2024-06-07,2024-07-05,SHORT,2305.1998,2388.5002,-18.33,-1527.53,28
2024-07-05,2024-11-11,LONG,2388.5002,2611.1998,22.37,4981.19,129
2024-11-11,2024-12-11,SHORT,2611.1998,2733.8002,-18.3,-2243.98,30
2024-12-11,2024-12-19,LONG,2733.8002,2592.1998,16.95,-2401.3,8
2024-12-19,2025-01-15,SHORT,2592.1998,2712.5002,-19.28,-2320.1,27
2025-01-15,2025-05-14,LONG,2712.5002,3181.3997,22.12,10371.25,119
2025-05-14,2025-06-12,SHORT,3181.3997,3380.9001,-8.65,-1725.81,29
2025-06-12,2025-06-27,LONG,3380.9001,3273.6998,14.57,-1562.83,15
2025-06-27,2025-07-21,SHORT,3273.6998,3401.9001,-18.61,-2387.52,24
2025-07-21,2025-07-30,LONG,3401.9001,3295.7998,27.75,-2945.99,9
2025-07-30,2025-08-29,SHORT,3295.7998,3473.7002,-16.36,-2912.01,30
2025-08-29,2026-03-18,LONG,3473.7002,4889.8997,24.92,35291.34,201
2026-03-18,2026-04-17,SHORT,4889.8997,4857.6003,-8.34,268.46,30
2026-04-17,2026-04-29,LONG,4857.6003,4545.2,10.34,-3232.27,12
2026-04-29,2026-05-29,SHORT,4545.2,4560.5,-12.33,-189.8,30
