Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1971-12-30,1972-02-25,LONG,14436.7051,14511.7805,13.85,1036.04,57
1972-02-28,1973-10-11,LONG,14596.8948,26181.4834,13.84,160357.63,591
1973-11-08,1975-04-02,LONG,26932.9097,49509.5778,19.41,438196.83,510
1975-04-04,1975-04-07,LONG,49616.2267,49434.9881,28.2,-5138.69,3
1976-10-22,1977-06-14,LONG,36871.7847,38615.2321,37.67,65639.5,235
1977-08-26,1977-11-02,LONG,39723.642,40191.1797,38.27,17859.68,68
1977-11-03,1977-11-10,LONG,40120.8984,39713.5853,38.78,-15824.41,7
1977-12-19,1978-03-27,LONG,40402.7035,39722.3257,37.72,-25693.68,98
1978-05-17,1978-06-01,LONG,41080.9431,40737.4611,35.84,-12341.21,15
1978-06-08,1978-06-12,LONG,40923.7683,40513.525,35.38,-14542.16,4
1978-08-22,1978-08-23,LONG,40217.9093,40339.2378,35.27,4251.3,1
1978-08-28,1978-08-30,LONG,40874.4088,40003.7895,34.91,-30424.88,2
1978-09-06,1978-10-16,LONG,40788.0505,39865.7968,33.49,-30917.44,40
1978-11-20,1978-11-21,LONG,40395.7344,40409.785,32.29,427.57,1
1978-11-22,1978-11-24,LONG,40297.2185,40459.137,32.39,5217.83,2
1978-11-27,1980-10-01,LONG,40736.0912,137749.5908,32.29,3132756.26,674
1982-06-29,1982-06-30,LONG,86265.6813,86197.8795,87.88,-6109.86,1
1982-07-02,1983-02-23,LONG,87373.9232,102245.9693,86.62,1288055.4,236
1985-03-06,1985-04-12,LONG,82605.7597,81177.6717,122.8,-175572.79,37
1986-08-22,1987-01-23,LONG,62143.6563,61665.33,157.58,-75569.64,154
1987-01-26,1987-01-28,LONG,61450.1759,60958.3201,156.89,-77360.37,2
1987-02-02,1987-02-03,LONG,61254.7735,61209.023,154.86,-7274.59,1
1987-02-06,1987-05-20,LONG,62186.1704,63410.3628,152.3,186254.5,103
1987-05-22,1987-10-29,LONG,63755.4102,64628.5325,154.39,134602.42,160
1989-05-23,1989-07-27,LONG,52405.8673,50940.8629,192.96,-282878.75,65
1989-08-14,1989-10-02,LONG,51568.0034,51284.9873,185.11,-52579.75,49
1989-10-03,1990-05-14,LONG,52066.5696,55255.3862,181.31,577973.86,223
1990-07-26,1990-08-01,LONG,58525.1786,58134.6681,181.05,-70912.01,6
1990-08-02,1990-08-15,LONG,59092.5767,57843.2081,176.9,-221222.12,13
1991-05-30,1991-07-12,LONG,50491.1397,49741.7097,198.27,-148785.73,43
1991-07-26,1991-07-29,LONG,49437.3902,49327.8708,196.47,-21710.82,3
1993-05-11,1993-05-12,LONG,40954.9301,41097.7634,236.09,33527.38,1
1993-05-13,1993-05-17,LONG,41230.6986,41150.6982,236.13,-19084.61,4
1993-05-18,1993-05-20,LONG,41280.1323,40871.683,234.91,-96141.09,2
1993-06-18,1993-07-22,LONG,41995.9875,40963.3903,226.32,-233881.25,34
1993-10-22,1994-02-15,LONG,40122.9882,39792.9436,225.22,-74510.47,116
1994-02-24,1994-02-25,LONG,40360.2165,40127.9517,220.19,-51319.25,1
1994-05-16,1994-05-18,LONG,40202.4396,39716.6092,218.49,-106324.07,2
1994-05-25,1994-06-09,LONG,40239.1256,40269.7017,213.0,6341.17,15
1994-06-10,1994-06-13,LONG,40017.0885,39696.9416,214.49,-68838.8,3
1995-08-11,1996-08-01,LONG,35995.4203,41291.5939,234.62,1242397.85,356
1996-08-05,1996-08-06,LONG,41235.2473,41288.4048,265.06,13870.94,1
1996-08-08,1996-08-20,LONG,41773.3814,41625.767,262.3,-38937.17,12
1996-08-21,1996-08-26,LONG,41668.8169,41332.4806,261.08,-88025.06,5
1996-08-29,1996-09-19,LONG,41618.2987,41740.4034,257.15,31184.78,21
1996-09-23,1996-11-08,LONG,41936.2096,41940.7361,256.68,946.56,46
1996-11-29,1996-12-04,LONG,42111.093,41591.6971,255.65,-132995.44,5
1997-01-29,1997-05-09,LONG,42442.7069,41437.6516,247.37,-248829.4,100
1998-02-24,1998-02-25,LONG,37974.2616,38070.8493,263.37,25237.42,1
1998-02-26,1998-02-27,LONG,37837.7137,37321.8583,265.64,-137230.13,1
1998-03-09,1998-09-04,LONG,38237.6951,38797.4945,255.67,142927.26,179
1998-09-10,1998-09-11,LONG,39120.1023,38160.1437,240.5,-231048.8,1
1998-09-17,1998-09-18,LONG,38624.9748,38836.7409,199.45,42080.85,1
1998-09-23,1998-10-06,LONG,40154.5606,38778.0935,221.49,-305041.57,13
