Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2001-06-18,2001-07-05,LONG,272.4002,265.0998,185.19,-1352.91,17
2001-07-11,2001-07-12,LONG,268.3002,266.5998,315.31,-537.82,1
2001-07-13,2001-07-16,LONG,267.1002,266.8998,290.99,-59.87,3
2001-07-17,2001-07-26,LONG,268.1002,266.1998,325.27,-619.87,9
2001-07-27,2001-07-30,LONG,267.4002,264.5998,413.31,-1159.62,3
2001-08-01,2003-03-21,LONG,267.4002,325.9998,374.35,21934.38,597
2003-03-24,2003-03-25,LONG,329.5002,328.3998,167.82,-185.77,1
2003-03-26,2003-03-27,LONG,330.3002,328.6998,170.32,-273.69,1
2003-03-31,2003-04-03,LONG,335.9002,324.8998,190.77,-2099.79,3
2003-04-21,2004-04-28,LONG,333.5002,385.3998,233.94,12139.41,373
2004-05-05,2004-05-06,LONG,393.4002,387.9998,210.44,-1138.11,1
2004-05-27,2004-05-28,LONG,394.9002,393.9998,214.11,-194.47,1
2004-06-01,2004-06-02,LONG,394.6002,390.6998,215.34,-841.58,1
2004-06-24,2004-06-29,LONG,403.1002,392.4998,185.47,-1967.52,5
2004-07-02,2004-07-06,LONG,398.3002,392.5998,191.87,-1095.25,4
2004-07-07,2004-07-21,LONG,402.3002,397.0998,163.37,-850.86,14
2004-08-06,2004-08-11,LONG,399.8002,395.4998,218.39,-940.87,5
2004-08-16,2004-09-03,LONG,402.9002,400.4998,232.81,-560.7,18
2004-09-10,2005-05-12,LONG,401.9002,421.5998,182.47,3592.97,244
2005-06-06,2005-06-07,LONG,426.5002,424.7998,309.4,-528.73,1
2005-06-10,2005-07-01,LONG,427.4002,427.7998,321.86,125.86,21
2005-07-29,2005-08-30,LONG,429.9002,431.1998,334.67,432.06,32
2005-08-31,2006-09-11,LONG,433.8002,589.9998,269.92,42158.87,376
2006-09-27,2006-10-03,LONG,597.3002,576.2998,137.14,-2881.52,6
2006-10-30,2007-01-05,LONG,604.7002,604.8998,137.51,25.79,67
2007-01-12,2007-08-16,LONG,625.5002,648.2998,161.01,3668.8,216
2007-08-17,2008-08-05,LONG,656.9002,878.5998,157.73,34965.86,354
2008-09-18,2008-09-19,LONG,892.7002,860.5998,55.54,-1783.97,1
2008-09-22,2008-09-23,LONG,903.9002,885.4998,46.08,-848.71,1
2008-10-08,2008-10-09,LONG,903.1002,883.0998,52.47,-1050.28,1
2008-12-17,2008-12-18,LONG,867.5002,859.5998,64.23,-508.57,1
2008-12-26,2009-01-07,LONG,870.4002,841.0998,65.19,-1911.06,12
2009-01-20,2009-01-21,LONG,854.6002,849.5998,73.14,-366.98,1
2009-01-22,2011-12-14,LONG,858.2002,1584.2998,75.42,54760.43,1056
2012-01-10,2012-01-13,LONG,1631.0002,1630.3998,82.62,-52.3,3
2012-01-17,2012-03-06,LONG,1655.2002,1671.3998,73.6,1189.89,49
2012-03-07,2012-03-14,LONG,1683.3002,1642.4998,73.92,-3018.47,7
2012-03-26,2012-03-28,LONG,1685.5002,1657.8998,81.19,-2243.64,2
2012-08-23,2012-12-20,LONG,1669.6002,1644.8998,148.87,-3682.15,119
2012-12-27,2012-12-28,LONG,1662.6002,1654.8998,142.33,-1100.72,1
2012-12-31,2013-01-04,LONG,1674.8002,1648.0998,125.93,-3366.5,4
2013-01-08,2013-01-09,LONG,1661.5002,1654.7998,97.93,-659.41,1
2013-01-10,2013-01-11,LONG,1677.3002,1659.9998,98.41,-1705.82,1
2013-01-14,2013-01-25,LONG,1668.9002,1656.3998,103.6,-1298.48,11
2013-01-30,2013-01-31,LONG,1679.9002,1660.5998,109.57,-2118.46,1
2013-02-01,2013-02-11,LONG,1669.4002,1648.1998,117.8,-2501.28,10
2014-02-14,2014-03-27,LONG,1319.0002,1294.6998,112.92,-2746.96,41
2014-04-04,2014-04-17,LONG,1303.2002,1293.3998,112.92,-1109.55,13
2014-04-25,2014-04-28,LONG,1300.7002,1298.8998,135.51,-247.48,3
2014-05-02,2014-05-07,LONG,1302.6002,1288.5998,133.08,-1866.54,5
2014-05-14,2014-05-15,LONG,1305.7002,1293.4998,163.24,-1995.83,1
2014-06-19,2014-07-31,LONG,1313.7002,1281.2998,192.05,-6227.42,42
2014-08-01,2014-08-05,LONG,1293.6002,1283.9998,135.33,-1302.7,4
2014-08-06,2014-08-21,LONG,1306.7002,1273.6998,130.86,-4321.9,15
2014-08-28,2014-09-02,LONG,1288.7002,1263.6998,217.63,-5446.26,5
2015-01-15,2015-02-06,LONG,1264.7002,1233.8998,82.68,-2548.49,22
2015-05-14,2015-05-19,LONG,1225.4002,1206.8998,86.76,-1607.27,5
2015-10-14,2015-10-19,LONG,1180.1002,1173.2998,122.66,-836.99,5
2015-10-20,2015-10-21,LONG,1178.0002,1167.5998,135.44,-1411.76,1
2015-10-28,2015-10-29,LONG,1177.1002,1147.1998,151.39,-4530.22,1
2016-02-03,2016-10-06,LONG,1141.3002,1249.7998,115.16,12492.17,246
2016-10-18,2016-10-24,LONG,1260.8002,1261.9998,142.38,167.19,6
2016-10-25,2016-10-26,LONG,1271.9002,1264.7998,238.5,-1699.51,1
2016-10-27,2016-11-08,LONG,1267.9002,1273.3998,264.07,1445.57,12
2017-04-11,2017-05-01,LONG,1271.2002,1253.2998,196.81,-3527.95,20
2017-05-02,2017-05-03,LONG,1255.1002,1246.3998,175.21,-1528.79,1
2017-05-17,2017-07-03,LONG,1257.5002,1217.8998,137.57,-5451.31,47
2017-07-17,2017-12-05,LONG,1232.8002,1261.5998,176.14,5068.23,141
2017-12-21,2018-05-15,LONG,1267.3002,1288.8998,187.99,4055.6,145
2018-12-20,2020-03-16,LONG,1263.6002,1485.8998,183.42,40769.33,452
2020-03-17,2020-03-18,LONG,1524.9002,1477.2998,41.22,-1963.17,1
2020-03-23,2020-11-27,LONG,1567.0002,1781.8998,42.59,9150.24,249
2020-12-01,2021-01-15,LONG,1814.1002,1829.2998,81.65,1238.1,45
2021-01-19,2021-01-28,LONG,1839.5002,1837.8998,65.12,-106.61,9
2021-01-29,2021-02-02,LONG,1847.3002,1830.4998,135.09,-2274.54,4
2021-05-17,2021-06-17,LONG,1867.5002,1773.7998,102.18,-9577.72,31
2021-07-15,2021-07-16,LONG,1828.4002,1814.4998,170.3,-2373.41,1
2021-07-29,2021-07-30,LONG,1831.2002,1812.5998,170.34,-3174.5,1
2021-08-27,2021-08-30,LONG,1816.6002,1808.9998,114.45,-874.04,3
