Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1996-12-05,1996-12-06,SHORT,112.23,112.97,-556.0,-412.69,1
1996-12-06,1996-12-11,LONG,112.97,112.86,503.69,-56.54,5
1996-12-11,1996-12-12,SHORT,112.86,113.15,-511.9,-149.61,1
1996-12-12,1997-01-07,LONG,113.15,115.2,486.46,996.13,26
1997-01-07,1997-01-08,SHORT,115.2,115.87,-594.42,-399.64,1
1997-01-08,1997-02-21,LONG,115.87,123.18,581.71,4250.89,44
1997-02-21,1997-03-13,SHORT,123.18,123.45,-397.14,-108.21,20
1997-03-13,1997-03-19,LONG,123.45,122.73,395.01,-285.37,6
1997-03-19,1997-03-20,SHORT,122.73,123.74,-424.03,-429.32,1
1997-03-20,1997-03-21,LONG,123.74,122.65,432.88,-472.9,1
1997-03-21,1997-03-25,SHORT,122.65,123.75,-452.83,-499.23,4
1997-03-25,1997-04-01,LONG,123.75,121.88,447.25,-837.46,7
1997-04-01,1997-04-04,SHORT,121.88,124.27,-424.52,-1015.67,3
1997-04-04,1997-05-06,LONG,124.27,125.25,404.81,395.7,32
1997-05-06,1997-05-22,SHORT,125.25,116.17,-619.39,5622.61,16
1997-05-22,1997-05-23,LONG,116.17,115.49,259.5,-177.06,1
1997-05-23,1997-05-27,SHORT,115.49,116.67,-255.6,-302.21,4
1997-05-27,1997-05-28,LONG,116.67,115.58,258.15,-281.98,1
1997-05-28,1997-05-29,SHORT,115.58,116.32,-254.46,-188.89,1
1997-05-29,1997-06-05,LONG,116.32,115.48,257.9,-217.23,7
1997-06-05,1997-07-16,SHORT,115.48,115.38,-345.61,33.76,41
1997-07-16,1997-08-08,LONG,115.38,114.53,420.34,-358.25,23
1997-08-08,1997-08-14,SHORT,114.53,117.97,-384.93,-1325.05,6
1997-08-14,1997-08-15,LONG,117.97,117.28,335.02,-231.94,1
1997-08-15,1997-08-18,SHORT,117.28,118.14,-319.24,-275.3,3
1997-08-18,1997-08-21,LONG,118.14,117.85,316.58,-92.55,3
1997-08-21,1997-08-25,SHORT,117.85,118.15,-340.45,-102.94,4
1997-08-25,1997-09-09,LONG,118.15,118.71,348.66,194.42,15
1997-09-09,1997-09-12,SHORT,118.71,121.08,-465.08,-1103.35,3
1997-09-12,1997-09-15,LONG,121.08,119.98,400.56,-441.57,3
1997-09-15,1997-09-16,SHORT,119.98,121.26,-396.82,-508.89,1
1997-09-16,1997-09-24,LONG,121.26,120.32,389.41,-366.98,8
1997-09-24,1997-09-25,SHORT,120.32,121.12,-319.78,-256.6,1
1997-09-25,1997-09-30,LONG,121.12,120.46,311.48,-206.33,5
1997-09-30,1997-10-01,SHORT,120.46,121.17,-330.75,-235.63,1
1997-10-01,1997-10-10,LONG,121.17,119.99,332.79,-393.49,9
1997-10-10,1997-10-13,SHORT,119.99,121.07,-387.83,-419.79,3
1997-10-13,1997-10-16,LONG,121.07,119.88,380.27,-453.44,3
1997-10-16,1997-10-17,SHORT,119.88,120.73,-428.19,-365.0,1
1997-10-17,1997-10-28,LONG,120.73,120.53,416.81,-84.36,11
1997-10-28,1997-10-29,SHORT,120.53,120.78,-374.15,-94.44,1
1997-10-29,1997-10-30,LONG,120.78,119.89,364.29,-325.09,1
1997-10-30,1997-11-03,SHORT,119.89,121.34,-376.84,-547.33,4
1997-11-03,1997-12-17,LONG,121.34,127.08,377.85,2167.89,44
1997-12-17,1997-12-22,SHORT,127.08,130.25,-308.62,-979.14,5
1997-12-22,1998-01-13,LONG,130.25,131.32,280.05,298.92,22
1998-01-13,1998-02-20,SHORT,131.32,127.95,-318.35,1072.02,38
1998-02-20,1998-02-26,LONG,127.95,127.44,336.5,-172.47,6
1998-02-26,1998-03-06,SHORT,127.44,127.85,-330.04,-136.16,8
1998-03-06,1998-03-09,LONG,127.85,127.7,329.59,-50.28,3
1998-03-09,1998-03-11,SHORT,127.7,129.25,-340.85,-529.2,2
1998-03-11,1998-03-13,LONG,129.25,127.71,320.25,-494.01,2
1998-03-13,1998-03-16,SHORT,127.71,129.62,-341.86,-653.83,3
1998-03-16,1998-03-26,LONG,129.62,128.31,318.15,-417.6,10
1998-03-26,1998-03-27,SHORT,128.31,130.32,-336.3,-676.84,1
1998-03-27,1998-04-09,LONG,130.32,131.18,306.63,262.89,13
1998-04-09,1998-04-16,SHORT,131.18,131.49,-256.33,-80.14,7
1998-04-16,1998-04-21,LONG,131.49,131.21,223.5,-63.17,5
1998-04-21,1998-04-27,SHORT,131.21,132.39,-247.46,-292.65,6
1998-04-27,1998-05-05,LONG,132.39,131.43,235.3,-226.5,8
1998-05-05,1998-05-06,SHORT,131.43,132.98,-359.49,-558.17,1
1998-05-06,1998-06-17,LONG,132.98,136.83,367.19,1412.66,42
1998-06-17,1998-06-25,SHORT,136.83,142.32,-216.91,-1191.45,8
1998-06-25,1998-06-29,LONG,142.32,142.08,172.19,-41.81,4
1998-06-29,1998-07-24,SHORT,142.08,141.68,-167.36,66.47,25
1998-07-24,1998-07-28,LONG,141.68,140.93,266.19,-200.39,4
1998-07-28,1998-07-29,SHORT,140.93,142.17,-275.55,-342.46,1
1998-07-29,1998-08-13,LONG,142.17,144.6,272.77,662.05,15
1998-08-13,1998-08-14,SHORT,144.6,146.43,-282.49,-517.79,1
1998-08-14,1998-08-19,LONG,146.43,143.84,267.83,-694.45,5
1998-08-19,1998-11-09,SHORT,143.84,121.67,-288.36,6392.18,82
1998-11-09,1998-11-16,LONG,121.67,120.44,262.86,-323.95,7
1998-11-16,1998-11-18,SHORT,120.44,122.17,-243.7,-422.2,2
1998-11-18,1998-11-19,LONG,122.17,119.83,242.77,-568.65,1
1998-11-19,1998-11-23,SHORT,119.83,121.12,-229.08,-296.07,4
1998-11-23,1998-12-02,LONG,121.12,120.03,225.17,-245.97,9
1998-12-02,1999-01-22,SHORT,120.03,114.44,-247.41,1382.47,51
1999-01-22,1999-01-25,LONG,114.44,113.68,240.19,-183.09,3
1999-01-25,1999-01-27,SHORT,113.68,115.62,-246.28,-478.36,2
1999-01-27,1999-02-02,LONG,115.62,111.89,258.18,-963.59,6
1999-02-02,1999-02-15,SHORT,111.89,115.92,-299.42,-1207.35,13
1999-02-15,1999-02-25,LONG,115.92,119.58,254.18,929.69,10
1999-02-25,1999-03-02,SHORT,119.58,119.92,-249.75,-85.51,5
1999-03-02,1999-03-10,LONG,119.92,119.74,252.53,-46.06,8
1999-03-10,1999-03-26,SHORT,119.74,120.32,-259.02,-150.86,16
1999-03-26,1999-03-31,LONG,120.32,118.75,310.0,-487.44,5
1999-03-31,1999-04-01,SHORT,118.75,120.72,-321.59,-634.31,1
1999-04-01,1999-04-13,LONG,120.72,119.78,309.39,-291.57,12
1999-04-13,1999-04-27,SHORT,119.78,120.22,-339.0,-149.97,14
1999-04-27,1999-04-28,LONG,120.22,119.07,398.33,-459.02,1
1999-04-28,1999-05-03,SHORT,119.07,120.24,-380.62,-446.24,5
1999-05-03,1999-05-24,LONG,120.24,123.11,394.84,1132.22,21
1999-05-24,1999-07-05,SHORT,123.11,122.37,-436.0,321.57,42
1999-07-05,1999-07-06,LONG,122.37,122.08,436.04,-127.52,1
1999-07-06,1999-07-07,SHORT,122.08,122.39,-439.39,-137.29,1
1999-07-07,1999-07-12,LONG,122.39,122.11,452.14,-127.71,5
1999-07-12,2000-01-11,SHORT,122.11,106.04,-576.47,9262.58,183
2000-01-11,2000-01-17,LONG,106.04,104.87,372.17,-436.22,6
2000-01-17,2000-01-18,SHORT,104.87,105.68,-349.23,-283.61,1
2000-01-18,2000-01-19,LONG,105.68,105.24,319.6,-141.3,1
2000-01-19,2000-01-24,SHORT,105.24,105.67,-335.98,-145.18,5
2000-01-24,2000-01-27,LONG,105.67,104.97,384.57,-270.01,3
2000-01-27,2000-01-28,SHORT,104.97,107.08,-391.32,-826.53,1
2000-01-28,2000-02-28,LONG,107.08,109.68,365.36,949.15,31
2000-02-28,2000-02-29,SHORT,109.68,110.21,-423.95,-225.63,1
2000-02-29,2000-03-01,LONG,110.21,106.92,418.23,-1376.89,1
2000-03-01,2000-04-28,SHORT,106.92,108.17,-359.66,-450.35,58
2000-04-28,2000-05-04,LONG,108.17,107.98,413.08,-79.38,6
2000-05-04,2000-05-05,SHORT,107.98,108.6,-397.12,-247.07,1
2000-05-05,2000-05-11,LONG,108.6,108.36,408.73,-98.98,6
2000-05-11,2000-05-15,SHORT,108.36,109.18,-378.72,-311.38,4
2000-05-15,2000-05-18,LONG,109.18,108.43,366.97,-276.03,3
2000-05-18,2000-06-01,SHORT,108.43,108.52,-398.77,-36.76,14
2000-06-01,2000-06-02,LONG,108.52,107.93,410.27,-242.94,1
2000-06-02,2000-07-06,SHORT,107.93,107.35,-406.96,235.16,34
2000-07-06,2000-07-10,LONG,107.35,106.9,496.02,-224.27,4
2000-07-10,2000-07-12,SHORT,106.9,108.15,-478.69,-599.4,2
2000-07-12,2000-07-20,LONG,108.15,107.48,476.83,-320.5,8
2000-07-20,2000-07-21,SHORT,107.48,108.99,-497.35,-752.08,1
2000-07-21,2000-08-03,LONG,108.99,108.31,465.23,-317.36,13
2000-08-03,2000-08-04,SHORT,108.31,108.6,-541.94,-158.34,1
2000-08-04,2000-08-09,LONG,108.6,107.9,559.24,-392.68,5
2000-08-09,2000-08-11,SHORT,107.9,108.48,-555.26,-323.26,2
2000-08-11,2000-08-18,LONG,108.48,108.25,582.7,-135.28,7
2000-08-18,2000-08-21,SHORT,108.25,108.66,-554.9,-228.72,3
2000-08-21,2000-08-22,LONG,108.66,108.28,549.66,-210.06,1
2000-08-22,2000-09-14,SHORT,108.28,107.43,-565.55,479.5,23
2000-09-14,2000-09-18,LONG,107.43,106.87,550.27,-309.33,4
2000-09-18,2000-09-22,SHORT,106.87,108.02,-566.05,-652.18,4
2000-09-22,2000-09-27,LONG,108.02,107.21,551.03,-447.52,5
