Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1996-12-26,1997-05-08,LONG,114.9,123.7,704.22,6195.44,133
1997-05-08,1997-07-25,SHORT,123.7,116.91,-593.26,4026.86,78
1997-07-25,1998-01-21,LONG,116.91,126.73,439.37,4313.5,180
1998-01-21,1998-02-20,SHORT,126.73,127.95,-283.59,-346.71,30
1998-02-20,1998-08-31,LONG,127.95,138.67,384.27,4118.35,192
1998-08-31,1998-11-09,SHORT,138.67,121.67,-255.91,4349.78,70
1998-11-09,1998-12-11,LONG,121.67,116.18,317.87,-1745.82,32
1998-12-11,1999-01-28,SHORT,116.18,116.29,-316.98,-35.6,48
1999-01-28,1999-06-08,LONG,116.29,119.38,306.55,946.51,131
1999-06-08,2000-02-01,SHORT,119.38,107.76,-409.16,4753.59,238
2000-02-01,2000-03-01,LONG,107.76,106.92,470.76,-396.44,29
2000-03-01,2000-04-28,SHORT,106.92,108.17,-437.0,-547.2,58
2000-04-28,2000-06-06,LONG,108.17,105.83,501.91,-1175.53,39
2000-06-06,2000-07-06,SHORT,105.83,107.35,-467.83,-712.11,30
2000-07-06,2000-08-23,LONG,107.35,106.96,599.8,-235.21,48
2000-08-23,2000-09-22,SHORT,106.96,108.02,-692.68,-735.73,30
2000-09-22,2000-11-03,LONG,108.02,106.93,689.09,-752.59,42
2000-11-03,2000-11-20,SHORT,106.93,109.71,-751.12,-2089.76,17
2000-11-20,2001-02-05,LONG,109.71,114.69,728.0,3623.76,77
2001-02-05,2001-03-02,SHORT,114.69,119.07,-410.41,-1798.58,25
2001-03-02,2001-04-19,LONG,119.07,121.22,518.33,1113.16,48
2001-04-19,2001-06-20,SHORT,121.22,123.89,-400.34,-1069.89,62
2001-06-20,2001-07-20,LONG,123.89,122.84,537.47,-565.67,30
2001-07-20,2001-10-22,SHORT,122.84,122.4,-562.27,246.02,94
2001-10-22,2002-03-06,LONG,122.4,130.72,639.23,5316.7,135
2002-03-06,2002-08-06,SHORT,130.72,120.98,-584.95,5696.05,153
2002-08-06,2002-11-01,LONG,120.98,122.13,500.4,574.24,87
2002-11-01,2002-12-02,SHORT,122.13,124.39,-601.97,-1361.95,31
2002-12-02,2002-12-30,LONG,124.39,118.48,650.01,-3843.07,28
2002-12-30,2003-02-10,SHORT,118.48,121.23,-616.67,-1697.35,42
2003-02-10,2003-02-25,LONG,121.23,117.44,628.85,-2384.81,15
2003-02-25,2003-03-19,SHORT,117.44,120.08,-630.42,-1665.82,22
2003-03-19,2003-05-01,LONG,120.08,118.43,647.86,-1070.5,43
2003-05-01,2003-05-30,SHORT,118.43,119.32,-605.02,-539.91,29
2003-05-30,2003-08-20,LONG,119.32,118.04,485.17,-622.17,82
2003-08-20,2004-02-20,SHORT,118.04,108.97,-681.45,6179.3,184
2004-02-20,2004-03-24,LONG,108.97,106.38,782.71,-2028.88,33
2004-03-24,2004-04-21,SHORT,106.38,109.37,-566.14,-1694.01,28
2004-04-21,2004-06-23,LONG,109.37,108.19,455.82,-538.86,63
2004-06-23,2004-07-27,SHORT,108.19,110.9,-491.5,-1333.04,34
2004-07-27,2004-10-19,LONG,110.9,108.33,605.98,-1558.67,84
2004-10-19,2005-02-07,SHORT,108.33,104.84,-735.63,2565.79,111
2005-02-07,2005-04-22,LONG,104.84,105.93,601.52,654.38,74
2005-04-22,2005-05-20,SHORT,105.93,108.17,-703.3,-1576.93,28
2005-05-20,2005-08-11,LONG,108.17,109.68,759.88,1145.75,83
2005-08-11,2005-09-20,SHORT,109.68,111.98,-669.93,-1542.33,40
2005-09-20,2005-12-14,LONG,111.98,117.53,682.36,3785.51,85
2005-12-14,2006-02-01,SHORT,117.53,117.99,-586.31,-271.09,49
2006-02-01,2006-02-27,LONG,117.99,116.19,616.49,-1111.12,26
2006-02-27,2006-03-10,SHORT,116.19,119.02,-625.66,-1772.1,11
