Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1996-11-21,1996-11-22,LONG,111.27,111.4,373.47,47.72,1
1996-11-22,1996-11-26,LONG,111.44,112.38,329.74,309.22,4
1996-11-26,1996-11-28,LONG,112.42,113.65,135.93,166.88,2
1996-11-28,1996-11-29,LONG,113.69,113.78,350.93,30.79,1
1996-11-29,1996-12-02,LONG,113.82,114.5,354.99,240.58,3
1996-12-02,1996-12-03,LONG,114.54,113.28,377.05,-475.93,1
1996-12-03,1996-12-04,LONG,113.32,113.03,235.13,-68.72,1
1996-12-04,1996-12-05,LONG,113.07,112.23,183.63,-154.66,1
1996-12-05,1996-12-06,SHORT,112.23,112.97,-139.13,-103.27,1
1996-12-06,1996-12-09,LONG,112.97,113.38,126.43,51.55,3
1996-12-09,1996-12-10,LONG,113.42,113.33,166.09,-15.32,1
1996-12-10,1996-12-11,LONG,113.37,112.86,153.03,-78.39,1
1996-12-11,1996-12-12,SHORT,112.86,113.15,-128.51,-37.56,1
1996-12-13,1996-12-16,LONG,113.87,113.8,116.63,-8.43,3
1996-12-16,1996-12-17,LONG,113.84,113.8,116.47,-4.92,1
1996-12-17,1996-12-18,LONG,113.84,113.61,121.57,-28.24,1
1996-12-18,1996-12-19,LONG,113.65,113.99,130.22,43.98,1
1996-12-19,1996-12-20,LONG,114.03,114.23,276.89,54.74,1
1996-12-20,1996-12-23,LONG,114.27,114.03,254.64,-61.69,3
1996-12-23,1996-12-24,LONG,114.07,114.38,155.01,47.7,1
1996-12-24,1996-12-25,LONG,114.42,114.61,225.92,42.41,1
1996-12-25,1996-12-27,LONG,114.65,115.23,449.12,259.45,2
1996-12-27,1996-12-30,LONG,115.27,116.18,410.66,372.74,3
1996-12-30,1996-12-31,LONG,116.22,115.88,488.02,-167.06,1
1996-12-31,1997-01-01,LONG,115.92,115.83,386.38,-35.67,1
1997-01-01,1997-01-02,LONG,115.87,115.63,470.01,-113.89,1
1997-01-02,1997-01-03,LONG,115.67,116.39,383.58,275.28,1
1997-01-03,1997-01-06,LONG,116.43,115.69,404.56,-300.31,3
1997-01-06,1997-01-07,LONG,115.73,115.2,250.75,-133.47,1
1997-01-07,1997-01-08,SHORT,115.2,115.87,-148.26,-99.68,1
1997-01-08,1997-01-09,LONG,115.87,116.29,151.1,63.11,1
1997-01-09,1997-01-10,LONG,116.33,116.09,165.11,-40.01,1
1997-01-10,1997-01-13,LONG,116.13,116.46,131.46,43.08,3
1997-01-13,1997-01-14,LONG,116.5,116.92,129.48,54.08,1
1997-01-14,1997-01-15,LONG,116.96,116.75,124.75,-26.49,1
1997-01-15,1997-01-16,LONG,116.79,116.52,123.84,-33.72,1
1997-01-16,1997-01-17,LONG,116.56,117.3,126.66,93.43,1
1997-01-17,1997-01-20,LONG,117.34,117.89,127.33,69.73,3
1997-01-20,1997-01-21,LONG,117.93,117.86,253.24,-18.33,1
1997-01-21,1997-01-22,LONG,117.9,117.91,327.47,2.5,1
1997-01-22,1997-01-23,LONG,117.95,119.18,319.66,392.42,1
1997-01-23,1997-01-24,LONG,119.22,118.83,346.93,-136.13,1
1997-01-24,1997-01-27,LONG,118.87,119.51,313.25,199.73,3
1997-01-27,1997-01-28,LONG,119.55,120.98,335.74,479.29,1
1997-01-28,1997-01-30,LONG,121.02,121.73,340.86,241.18,2
1997-01-30,1997-01-31,LONG,121.77,121.23,358.4,-194.4,1
1997-01-31,1997-02-03,LONG,121.27,121.63,326.45,116.73,3
1997-02-03,1997-02-04,LONG,121.67,122.44,312.48,239.84,1
1997-02-04,1997-02-05,LONG,122.48,123.47,316.87,312.92,1
1997-02-05,1997-02-06,LONG,123.51,123.78,326.19,87.26,1
1997-02-06,1997-02-07,LONG,123.82,123.13,325.98,-225.73,1
1997-02-07,1997-02-10,LONG,123.17,122.74,208.01,-89.95,3
1997-02-10,1997-02-11,LONG,122.78,123.26,200.73,95.85,1
1997-02-11,1997-02-13,LONG,123.3,124.21,196.91,178.7,2
1997-02-13,1997-02-14,LONG,124.25,124.23,172.44,-3.88,1
1997-02-14,1997-02-17,LONG,124.27,124.53,156.46,40.29,3
1997-02-17,1997-02-18,LONG,124.57,123.98,225.67,-133.71,1
1997-02-18,1997-02-19,LONG,124.02,124.49,154.94,72.44,1
1997-02-19,1997-02-21,LONG,124.53,123.18,156.03,-211.02,2
1997-02-21,1997-02-25,SHORT,123.18,121.42,-96.87,170.26,4
1997-02-25,1997-02-26,SHORT,121.38,122.17,-129.97,-102.99,1
1997-02-26,1997-02-28,SHORT,122.13,120.32,-89.49,161.75,2
1997-02-28,1997-03-03,SHORT,120.28,121.33,-96.26,-101.3,3
1997-03-03,1997-03-04,SHORT,121.29,122.1,-85.05,-69.1,1
1997-03-04,1997-03-05,SHORT,122.06,121.22,-85.2,71.36,1
1997-03-05,1997-03-06,SHORT,121.18,121.05,-119.41,15.23,1
1997-03-06,1997-03-07,SHORT,121.01,122.02,-142.75,-144.53,1
1997-03-07,1997-03-10,SHORT,121.98,121.64,-95.52,32.24,3
1997-03-10,1997-03-11,SHORT,121.6,121.87,-117.16,-31.92,1
1997-03-11,1997-03-12,SHORT,121.83,122.29,-101.28,-46.84,1
1997-03-12,1997-03-13,SHORT,122.25,123.45,-99.59,-119.76,1
1997-03-13,1997-03-14,LONG,123.45,123.4,96.29,-5.05,1
1997-03-14,1997-03-17,LONG,123.44,123.73,194.08,55.8,3
1997-03-17,1997-03-19,LONG,123.77,122.73,185.39,-193.26,2
1997-03-19,1997-03-20,SHORT,122.73,123.74,-103.51,-104.8,1
1997-03-20,1997-03-21,LONG,123.74,122.65,189.44,-206.96,1
1997-03-21,1997-03-24,SHORT,122.65,122.97,-111.85,-36.07,3
1997-03-24,1997-03-25,SHORT,122.93,123.75,-111.2,-91.46,1
1997-03-25,1997-03-27,LONG,123.75,123.49,149.28,-39.18,2
1997-03-27,1997-03-28,LONG,123.53,123.61,118.55,9.19,1
1997-03-28,1997-03-31,LONG,123.65,123.76,117.26,12.61,3
1997-03-31,1997-04-01,LONG,123.8,121.88,120.72,-232.07,1
1997-04-01,1997-04-02,SHORT,121.88,123.14,-105.2,-132.81,1
1997-04-02,1997-04-04,SHORT,123.1,124.27,-101.25,-118.71,2
1997-04-04,1997-04-07,LONG,124.27,125.68,101.07,142.26,3
1997-04-07,1997-04-08,LONG,125.72,126.28,142.41,79.39,1
1997-04-08,1997-04-09,LONG,126.32,126.81,146.29,71.31,1
1997-04-09,1997-04-10,LONG,126.85,125.79,142.48,-151.39,1
1997-04-10,1997-04-11,LONG,125.83,126.08,96.44,23.87,1
1997-04-11,1997-04-14,LONG,126.12,126.55,107.02,45.75,3
1997-04-14,1997-04-15,LONG,126.59,125.98,119.82,-73.39,1
1997-04-15,1997-04-16,LONG,126.02,125.57,212.45,-96.14,1
1997-04-16,1997-04-17,LONG,125.61,125.98,147.41,54.17,1
1997-04-17,1997-04-18,LONG,126.02,125.78,192.3,-46.64,1
1997-04-18,1997-04-21,LONG,125.82,125.34,109.85,-53.0,3
1997-04-21,1997-04-23,LONG,125.38,126.02,118.59,75.6,2
1997-04-23,1997-04-24,LONG,126.06,126.05,126.99,-1.59,1
1997-04-24,1997-04-29,LONG,126.09,126.82,139.81,101.7,5
1997-04-29,1997-04-30,LONG,126.86,127.04,174.95,31.05,1
1997-04-30,1997-05-01,LONG,127.08,126.43,362.43,-236.5,1
1997-05-01,1997-05-02,LONG,126.47,126.63,166.85,26.27,1
1997-05-02,1997-05-05,LONG,126.67,126.6,181.76,-13.18,3
1997-05-05,1997-05-06,LONG,126.64,125.25,315.19,-438.91,1
1997-05-06,1997-05-07,SHORT,125.25,125.15,-162.56,15.85,1
1997-05-07,1997-05-08,SHORT,125.11,123.74,-167.95,229.67,1
1997-05-08,1997-05-09,SHORT,123.7,120.02,-278.15,1022.92,1
1997-05-09,1997-05-12,SHORT,119.98,119.32,-323.99,213.06,3
1997-05-12,1997-05-13,SHORT,119.28,118.42,-391.95,336.15,1
1997-05-13,1997-05-14,SHORT,118.38,116.62,-376.3,661.41,1
1997-05-14,1997-05-15,SHORT,116.58,115.9,-358.99,243.28,1
1997-05-15,1997-05-16,SHORT,115.86,115.77,-330.28,28.96,1
1997-05-16,1997-05-21,SHORT,115.73,114.07,-321.84,533.52,5
1997-05-21,1997-05-22,SHORT,114.03,116.17,-212.86,-456.01,1
1997-05-22,1997-05-23,LONG,116.17,115.49,129.14,-88.12,1
1997-05-23,1997-05-27,SHORT,115.49,116.67,-95.58,-113.0,4
1997-05-27,1997-05-28,LONG,116.67,115.58,62.4,-68.16,1
1997-05-28,1997-05-29,SHORT,115.58,116.32,-61.63,-45.75,1
1997-05-29,1997-06-04,LONG,116.32,116.21,62.55,-7.03,6
1997-06-04,1997-06-05,LONG,116.25,115.48,131.29,-101.4,1
1997-06-05,1997-06-06,SHORT,115.48,114.23,-83.91,104.69,1
1997-06-06,1997-06-09,SHORT,114.19,113.04,-94.35,108.29,3
1997-06-09,1997-06-10,SHORT,113.0,112.02,-107.71,105.32,1
1997-06-10,1997-06-11,SHORT,111.98,111.2,-229.45,178.46,1
1997-06-11,1997-06-12,SHORT,111.16,114.17,-224.73,-676.95,1
1997-06-12,1997-06-13,SHORT,114.13,114.85,-81.92,-59.17,1
1997-06-13,1997-06-16,SHORT,114.81,113.2,-81.27,130.66,3
1997-06-16,1997-06-17,SHORT,113.16,113.19,-98.69,-3.18,1
1997-06-17,1997-06-18,SHORT,113.15,113.55,-87.81,-35.32,1
1997-06-18,1997-06-19,SHORT,113.51,114.11,-84.25,-50.74,1
1997-06-19,1997-06-20,SHORT,114.07,114.98,-82.73,-75.48,1
