Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1996-12-05,1996-12-06,SHORT,112.23,112.97,-556.0,-412.69,1
1996-12-06,1996-12-11,LONG,112.97,112.86,503.69,-56.54,5
1996-12-11,1996-12-12,SHORT,112.86,113.15,-511.9,-149.61,1
1996-12-13,1997-01-07,LONG,113.87,115.2,464.07,616.15,25
1997-01-07,1997-01-08,SHORT,115.2,115.87,-592.17,-398.13,1
1997-01-08,1997-02-21,LONG,115.87,123.18,579.51,4234.8,44
1997-02-21,1997-03-13,SHORT,123.18,123.45,-395.64,-107.8,20
1997-03-13,1997-03-19,LONG,123.45,122.73,393.51,-284.29,6
1997-03-19,1997-03-20,SHORT,122.73,123.74,-422.42,-427.69,1
1997-03-20,1997-03-21,LONG,123.74,122.65,431.24,-471.11,1
1997-03-21,1997-03-25,SHORT,122.65,123.75,-451.11,-497.34,4
1997-03-25,1997-04-01,LONG,123.75,121.88,445.56,-834.29,7
1997-04-01,1997-04-04,SHORT,121.88,124.27,-422.92,-1011.82,3
1997-04-04,1997-05-06,LONG,124.27,125.25,403.28,394.2,32
1997-05-06,1997-05-22,SHORT,125.25,116.17,-617.04,5601.33,16
1997-05-22,1997-05-23,LONG,116.17,115.49,258.52,-176.39,1
1997-05-23,1997-05-27,SHORT,115.49,116.67,-254.64,-301.06,4
1997-05-27,1997-05-28,LONG,116.67,115.58,257.18,-280.92,1
1997-05-28,1997-05-29,SHORT,115.58,116.32,-253.5,-188.18,1
1997-05-29,1997-06-05,LONG,116.32,115.48,256.92,-216.41,7
1997-06-05,1997-07-16,SHORT,115.48,115.38,-344.3,33.64,41
1997-07-16,1997-08-08,LONG,115.38,114.53,418.74,-356.89,23
1997-08-08,1997-08-14,SHORT,114.53,117.97,-383.47,-1320.04,6
1997-08-14,1997-08-15,LONG,117.97,117.28,333.75,-231.07,1
1997-08-15,1997-08-18,SHORT,117.28,118.14,-318.04,-274.26,3
1997-08-18,1997-08-21,LONG,118.14,117.85,315.38,-92.2,3
1997-08-21,1997-08-25,SHORT,117.85,118.15,-339.16,-102.55,4
1997-08-25,1997-09-09,LONG,118.15,118.71,347.34,193.69,15
1997-09-09,1997-09-12,SHORT,118.71,121.08,-463.31,-1099.18,3
1997-09-12,1997-09-15,LONG,121.08,119.98,399.04,-439.9,3
1997-09-15,1997-09-16,SHORT,119.98,121.26,-395.32,-506.97,1
1997-09-16,1997-09-24,LONG,121.26,120.32,387.93,-365.59,8
1997-09-24,1997-09-25,SHORT,120.32,121.12,-318.57,-255.63,1
1997-09-25,1997-09-30,LONG,121.12,120.46,310.3,-205.55,5
1997-09-30,1997-10-01,SHORT,120.46,121.17,-329.49,-234.74,1
1997-10-01,1997-10-10,LONG,121.17,119.99,331.53,-392.0,9
1997-10-10,1997-10-13,SHORT,119.99,121.07,-386.36,-418.2,3
1997-10-13,1997-10-16,LONG,121.07,119.88,378.84,-451.72,3
1997-10-16,1997-10-17,SHORT,119.88,120.73,-426.57,-363.62,1
1997-10-17,1997-10-28,LONG,120.73,120.53,415.23,-84.05,11
1997-10-28,1997-10-29,SHORT,120.53,120.78,-372.73,-94.08,1
1997-10-29,1997-10-30,LONG,120.78,119.89,362.91,-323.86,1
1997-10-30,1997-11-03,SHORT,119.89,121.34,-375.42,-545.26,4
1997-11-03,1997-12-17,LONG,121.34,127.08,376.42,2159.68,44
1997-12-17,1997-12-22,SHORT,127.08,130.25,-307.46,-975.44,5
1997-12-22,1998-01-13,LONG,130.25,131.32,278.99,297.79,22
1998-01-13,1998-02-20,SHORT,131.32,127.95,-317.14,1067.97,38
1998-02-20,1998-02-26,LONG,127.95,127.44,335.22,-171.82,6
1998-02-26,1998-03-06,SHORT,127.44,127.85,-328.79,-135.65,8
1998-03-06,1998-03-09,LONG,127.85,127.7,328.34,-50.09,3
1998-03-09,1998-03-11,SHORT,127.7,129.25,-339.56,-527.19,2
1998-03-11,1998-03-13,LONG,129.25,127.71,319.04,-492.14,2
1998-03-13,1998-03-16,SHORT,127.71,129.62,-340.56,-651.36,3
1998-03-16,1998-03-26,LONG,129.62,128.31,316.95,-416.02,10
1998-03-26,1998-03-27,SHORT,128.31,130.32,-335.03,-674.28,1
1998-03-27,1998-04-09,LONG,130.32,131.18,305.46,261.9,13
1998-04-09,1998-04-16,SHORT,131.18,131.49,-255.36,-79.83,7
1998-04-16,1998-04-21,LONG,131.49,131.21,222.65,-62.93,5
1998-04-21,1998-04-27,SHORT,131.21,132.39,-246.52,-291.55,6
1998-04-27,1998-05-05,LONG,132.39,131.43,234.41,-225.65,8
1998-05-05,1998-05-06,SHORT,131.43,132.98,-358.13,-556.06,1
1998-05-06,1998-06-17,LONG,132.98,136.83,365.8,1407.31,42
1998-06-17,1998-06-25,SHORT,136.83,142.32,-216.09,-1186.94,8
1998-06-25,1998-06-29,LONG,142.32,142.08,171.54,-41.66,4
1998-06-29,1998-07-24,SHORT,142.08,141.68,-166.73,66.22,25
1998-07-24,1998-07-28,LONG,141.68,140.93,265.18,-199.63,4
1998-07-28,1998-07-29,SHORT,140.93,142.17,-274.51,-341.17,1
1998-07-29,1998-08-13,LONG,142.17,144.6,271.74,659.54,15
1998-08-13,1998-08-14,SHORT,144.6,146.43,-281.42,-515.83,1
1998-08-14,1998-08-19,LONG,146.43,143.84,266.81,-691.82,5
1998-08-19,1998-11-09,SHORT,143.84,121.67,-287.27,6367.98,82
1998-11-09,1998-11-16,LONG,121.67,120.44,261.86,-322.72,7
1998-11-16,1998-11-18,SHORT,120.44,122.17,-242.78,-420.6,2
1998-11-18,1998-11-19,LONG,122.17,119.83,241.85,-566.5,1
1998-11-19,1998-11-23,SHORT,119.83,121.12,-228.22,-294.95,4
1998-11-23,1998-12-02,LONG,121.12,120.03,224.31,-245.04,9
1998-12-02,1999-01-22,SHORT,120.03,114.44,-246.48,1377.24,51
1999-01-22,1999-01-25,LONG,114.44,113.68,239.28,-182.4,3
1999-01-25,1999-01-27,SHORT,113.68,115.62,-245.35,-476.54,2
1999-01-27,1999-02-02,LONG,115.62,111.89,257.2,-959.95,6
1999-02-02,1999-02-15,SHORT,111.89,115.92,-298.28,-1202.78,13
1999-02-15,1999-02-25,LONG,115.92,119.58,253.22,926.17,10
1999-02-25,1999-03-02,SHORT,119.58,119.92,-248.8,-85.19,5
1999-03-02,1999-03-10,LONG,119.92,119.74,251.57,-45.89,8
1999-03-10,1999-03-26,SHORT,119.74,120.32,-258.04,-150.29,16
1999-03-26,1999-03-31,LONG,120.32,118.75,308.83,-485.6,5
1999-03-31,1999-04-01,SHORT,118.75,120.72,-320.38,-631.91,1
1999-04-01,1999-04-13,LONG,120.72,119.78,308.22,-290.46,12
1999-04-13,1999-04-27,SHORT,119.78,120.22,-337.72,-149.41,14
1999-04-27,1999-04-28,LONG,120.22,119.07,396.82,-457.29,1
1999-04-28,1999-05-03,SHORT,119.07,120.24,-379.18,-444.55,5
1999-05-03,1999-05-24,LONG,120.24,123.11,393.34,1127.93,21
1999-05-24,1999-07-05,SHORT,123.11,122.37,-434.35,320.36,42
1999-07-05,1999-07-06,LONG,122.37,122.08,434.39,-127.03,1
1999-07-06,1999-07-07,SHORT,122.08,122.39,-437.73,-136.77,1
1999-07-07,1999-07-12,LONG,122.39,122.11,450.43,-127.22,5
1999-07-12,2000-01-11,SHORT,122.11,106.04,-574.28,9227.52,183
2000-01-11,2000-01-17,LONG,106.04,104.87,370.77,-434.57,6
2000-01-17,2000-01-18,SHORT,104.87,105.68,-347.9,-282.54,1
2000-01-18,2000-01-19,LONG,105.68,105.24,318.39,-140.76,1
2000-01-19,2000-01-24,SHORT,105.24,105.67,-334.71,-144.63,5
2000-01-24,2000-01-27,LONG,105.67,104.97,383.12,-268.99,3
2000-01-27,2000-01-28,SHORT,104.97,107.08,-389.84,-823.4,1
2000-01-28,2000-02-28,LONG,107.08,109.68,363.98,945.55,31
2000-02-28,2000-02-29,SHORT,109.68,110.21,-422.35,-224.78,1
2000-02-29,2000-03-01,LONG,110.21,106.92,416.65,-1371.67,1
2000-03-01,2000-04-28,SHORT,106.92,108.17,-358.3,-448.64,58
2000-04-28,2000-05-04,LONG,108.17,107.98,411.51,-79.08,6
2000-05-04,2000-05-05,SHORT,107.98,108.6,-395.61,-246.14,1
2000-05-05,2000-05-11,LONG,108.6,108.36,407.18,-98.61,6
2000-05-11,2000-05-15,SHORT,108.36,109.18,-377.29,-310.2,4
2000-05-15,2000-05-18,LONG,109.18,108.43,365.58,-274.98,3
2000-05-18,2000-06-01,SHORT,108.43,108.52,-397.26,-36.62,14
2000-06-01,2000-06-02,LONG,108.52,107.93,408.71,-242.02,1
2000-06-02,2000-07-06,SHORT,107.93,107.35,-405.42,234.27,34
2000-07-06,2000-07-10,LONG,107.35,106.9,494.15,-223.42,4
2000-07-10,2000-07-12,SHORT,106.9,108.15,-476.88,-597.13,2
2000-07-12,2000-07-20,LONG,108.15,107.48,475.03,-319.29,8
2000-07-20,2000-07-21,SHORT,107.48,108.99,-495.47,-749.24,1
2000-07-21,2000-08-03,LONG,108.99,108.31,463.46,-316.16,13
2000-08-03,2000-08-04,SHORT,108.31,108.6,-539.89,-157.74,1
2000-08-04,2000-08-09,LONG,108.6,107.9,557.12,-391.19,5
2000-08-09,2000-08-11,SHORT,107.9,108.48,-553.16,-322.03,2
2000-08-11,2000-08-18,LONG,108.48,108.25,580.5,-134.77,7
2000-08-18,2000-08-21,SHORT,108.25,108.66,-552.8,-227.85,3
2000-08-21,2000-08-22,LONG,108.66,108.28,547.57,-209.26,1
2000-08-22,2000-09-14,SHORT,108.28,107.43,-563.41,477.69,23
2000-09-14,2000-09-18,LONG,107.43,106.87,548.18,-308.16,4
2000-09-18,2000-09-22,SHORT,106.87,108.02,-563.91,-649.71,4
2000-09-22,2000-09-27,LONG,108.02,107.21,548.95,-445.82,5
