Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1997-08-25,1998-09-03,LONG,118.15,133.94,338.33,5341.29,374
1998-09-03,1998-09-09,SHORT,133.94,135.82,-201.97,-380.25,6
1998-09-09,1998-09-11,LONG,135.82,130.89,160.95,-793.88,2
1998-09-11,1998-09-15,SHORT,130.89,134.23,-149.94,-501.2,4
1998-09-15,1998-09-17,LONG,134.23,131.77,144.49,-355.84,2
1998-09-17,1998-09-22,SHORT,131.77,135.47,-148.64,-550.39,5
1998-09-22,1998-09-29,LONG,135.47,134.15,162.11,-214.42,7
1998-09-29,1998-09-30,SHORT,134.15,136.31,-199.72,-431.94,1
1998-09-30,1998-10-05,LONG,136.31,133.83,195.24,-484.71,5
1998-10-05,1999-05-14,SHORT,133.83,122.85,-212.6,2333.86,221
1999-05-14,1999-05-27,LONG,122.85,120.48,446.72,-1059.8,13
1999-05-27,1999-05-28,SHORT,120.48,121.6,-418.04,-469.22,1
1999-05-28,1999-06-01,LONG,121.6,120.68,400.55,-369.47,4
1999-06-01,1999-06-02,SHORT,120.68,121.63,-397.33,-378.43,1
1999-06-02,1999-06-08,LONG,121.63,119.38,386.39,-870.31,6
1999-06-08,1999-06-14,SHORT,119.38,120.47,-338.6,-369.89,6
1999-06-14,1999-06-17,LONG,120.47,119.56,293.55,-267.83,3
1999-06-17,1999-06-18,SHORT,119.56,120.43,-331.68,-289.36,1
1999-06-18,1999-07-19,LONG,120.43,118.38,311.97,-640.28,31
1999-07-19,1999-07-20,SHORT,118.38,119.31,-454.61,-423.87,1
1999-07-20,1999-07-21,LONG,119.31,118.35,424.08,-408.12,1
1999-07-21,2000-02-18,SHORT,118.35,110.87,-403.28,3015.66,212
2000-02-18,2000-02-25,LONG,110.87,110.13,410.83,-304.92,7
2000-02-25,2000-02-29,SHORT,110.13,110.21,-425.85,-35.01,4
2000-02-29,2000-03-01,LONG,110.21,106.92,401.77,-1322.68,1
2000-03-01,2000-04-28,SHORT,106.92,108.17,-345.5,-432.62,58
2000-04-28,2000-06-06,LONG,108.17,105.83,396.81,-929.39,39
2000-06-06,2000-06-09,SHORT,105.83,106.87,-369.87,-385.46,3
2000-06-09,2000-06-19,LONG,106.87,105.83,393.12,-409.68,10
2000-06-19,2000-06-30,SHORT,105.83,106.03,-422.73,-85.44,11
2000-06-30,2000-07-03,LONG,106.03,105.76,510.87,-139.02,3
2000-07-03,2000-07-04,SHORT,105.76,106.12,-505.97,-183.22,1
2000-07-04,2000-08-29,LONG,106.12,106.11,490.45,-5.95,56
2000-08-29,2000-08-30,SHORT,106.11,106.63,-544.16,-284.13,1
2000-08-30,2000-09-01,LONG,106.63,105.93,531.93,-373.48,2
2000-09-01,2000-09-12,SHORT,105.93,106.94,-557.41,-564.18,11
2000-09-12,2000-09-20,LONG,106.94,106.58,538.6,-195.04,8
2000-09-20,2000-09-22,SHORT,106.58,108.02,-547.59,-789.72,2
2000-09-22,2000-11-03,LONG,108.02,106.93,533.05,-582.17,42
2000-11-03,2000-11-09,SHORT,106.93,107.6,-581.03,-390.54,6
2000-11-09,2001-08-30,LONG,107.6,119.41,595.38,7029.98,294
2001-08-30,2001-09-05,SHORT,119.41,120.76,-403.36,-545.51,6
2001-09-05,2001-09-07,LONG,120.76,119.98,479.72,-375.33,2
2001-09-07,2001-09-10,SHORT,119.98,121.12,-445.98,-509.5,3
2001-09-10,2001-09-11,LONG,121.12,119.56,445.69,-696.34,1
2001-09-11,2001-10-11,SHORT,119.56,121.42,-382.21,-711.83,30
2001-10-11,2001-10-15,LONG,121.42,120.78,453.89,-291.58,4
2001-10-15,2001-10-16,SHORT,120.78,121.29,-462.62,-237.05,1
2001-10-16,2001-11-06,LONG,121.29,121.15,452.93,-64.51,21
2001-11-06,2001-11-13,SHORT,121.15,121.44,-583.77,-170.71,7
2001-11-13,2002-05-17,LONG,121.44,125.91,541.55,2419.35,185
2002-05-17,2002-12-02,SHORT,125.91,124.39,-408.14,619.36,199
2002-12-02,2002-12-06,LONG,124.39,123.5,495.81,-442.5,4
2002-12-06,2002-12-10,SHORT,123.5,123.94,-410.77,-181.76,4
2002-12-10,2002-12-12,LONG,123.94,122.46,417.12,-618.36,2
2002-12-12,2003-02-12,SHORT,122.46,121.34,-396.99,443.67,62
2003-02-12,2003-02-13,LONG,121.34,120.31,493.24,-509.22,1
2003-02-13,2003-03-21,SHORT,120.31,121.48,-475.25,-557.2,36
2003-03-21,2003-03-25,LONG,121.48,119.89,504.36,-803.13,4
2003-03-25,2003-04-11,SHORT,119.89,120.54,-469.36,-306.21,17
2003-04-11,2003-04-16,LONG,120.54,119.54,430.94,-431.97,5
2003-04-16,2003-04-21,SHORT,119.54,120.55,-416.91,-422.08,5
2003-04-21,2003-04-22,LONG,120.55,119.85,467.3,-328.23,1
2003-04-22,2003-04-23,SHORT,119.85,120.49,-472.9,-303.79,1
2003-04-23,2003-04-24,LONG,120.49,119.74,464.87,-349.77,1
2003-04-24,2003-04-28,SHORT,119.74,120.5,-471.33,-359.35,4
2003-04-28,2003-04-29,LONG,120.5,119.84,467.25,-309.51,1
2003-04-29,2003-07-29,SHORT,119.84,119.84,-464.75,-1.11,91
2003-07-29,2003-08-07,LONG,119.84,119.09,589.16,-443.27,9
2003-08-07,2003-08-18,SHORT,119.09,119.42,-555.38,-184.6,11
2003-08-18,2003-08-19,LONG,119.42,118.55,559.46,-488.06,1
2003-08-19,2004-04-30,SHORT,118.55,110.39,-536.99,4380.62,255
2004-04-30,2004-05-04,LONG,110.39,109.53,386.83,-333.52,4
2004-05-04,2004-05-07,SHORT,109.53,112.33,-433.58,-1214.98,3
2004-05-07,2004-06-18,LONG,112.33,108.7,383.52,-1393.03,42
2004-06-18,2004-06-22,SHORT,108.7,109.21,-354.48,-181.56,4
2004-06-22,2004-06-23,LONG,109.21,108.19,370.96,-379.18,1
2004-06-23,2004-06-30,SHORT,108.19,108.89,-382.26,-268.42,7
2004-06-30,2004-07-01,LONG,108.89,108.45,411.04,-181.75,1
2004-07-01,2004-07-05,SHORT,108.45,109.03,-414.89,-241.54,4
2004-07-05,2004-07-07,LONG,109.03,108.5,448.83,-238.86,2
2004-07-07,2004-07-08,SHORT,108.5,108.87,-452.94,-168.57,1
2004-07-08,2004-07-09,LONG,108.87,108.16,466.28,-332.06,1
2004-07-09,2004-07-14,SHORT,108.16,109.17,-455.22,-460.77,5
2004-07-14,2004-07-19,LONG,109.17,108.25,467.64,-431.24,5
2004-07-19,2004-07-20,SHORT,108.25,108.51,-450.23,-118.04,1
2004-07-20,2004-10-19,LONG,108.51,108.33,471.31,-85.86,91
2004-10-19,2005-03-28,SHORT,108.33,107.26,-570.37,609.07,160
2005-03-28,2005-04-22,LONG,107.26,105.93,604.04,-804.65,25
2005-04-22,2005-05-12,SHORT,105.93,106.84,-529.79,-483.25,20
2005-05-12,2006-04-24,LONG,106.84,114.58,625.3,4838.4,347
2006-04-24,2006-06-22,SHORT,114.58,116.1,-508.23,-773.69,59
2006-06-22,2006-06-29,LONG,116.1,115.13,528.44,-513.81,7
2006-06-29,2006-07-17,SHORT,115.13,117.1,-556.37,-1097.35,18
2006-07-17,2006-07-21,LONG,117.1,116.1,469.27,-470.36,4
2006-07-21,2006-07-24,SHORT,116.1,116.77,-475.23,-319.51,3
2006-07-24,2006-07-27,LONG,116.77,115.73,473.25,-493.28,3
2006-07-27,2006-08-11,SHORT,115.73,116.3,-487.92,-279.25,15
2006-08-11,2006-08-15,LONG,116.3,115.92,462.93,-176.99,4
2006-08-15,2006-08-22,SHORT,115.92,116.49,-475.49,-272.13,7
2006-08-22,2006-11-24,LONG,116.49,115.87,502.99,-313.02,94
2006-11-24,2006-11-29,SHORT,115.87,116.45,-522.51,-304.27,5
2006-11-29,2006-11-30,LONG,116.45,115.66,532.49,-421.9,1
2006-11-30,2006-12-08,SHORT,115.66,116.31,-513.75,-335.13,8
2006-12-08,2007-03-02,LONG,116.31,117.17,460.01,394.53,84
2007-03-02,2007-03-09,SHORT,117.17,118.34,-416.1,-487.82,7
2007-03-09,2007-03-13,LONG,118.34,116.0,334.39,-783.25,4
2007-03-13,2007-03-22,SHORT,116.0,118.11,-315.57,-666.6,9
2007-03-22,2007-03-28,LONG,118.11,116.85,328.42,-414.57,6
2007-03-28,2007-03-29,SHORT,116.85,118.0,-377.41,-434.91,1
2007-03-29,2007-07-26,LONG,118.0,118.44,371.48,162.57,119
2007-07-26,2007-08-08,SHORT,118.44,119.71,-425.19,-541.01,13
2007-08-08,2007-08-09,LONG,119.71,118.27,356.77,-514.6,1
2007-08-09,2008-07-08,SHORT,118.27,109.43,-349.72,3090.76,334
2008-07-08,2008-07-09,LONG,109.43,106.851,431.21,-1113.02,1
2008-07-09,2008-07-23,SHORT,106.851,107.91,-373.67,-396.53,14
2008-07-23,2008-09-04,LONG,107.91,106.71,325.12,-390.84,43
2008-09-04,2008-09-05,SHORT,106.71,107.7,-359.38,-356.56,1
2008-09-05,2008-09-15,LONG,107.7,104.231,344.16,-1194.6,10
2008-09-15,2008-09-19,SHORT,104.231,107.44,-276.07,-886.52,4
2008-09-19,2008-09-22,LONG,107.44,105.54,222.62,-423.44,3
2008-09-22,2008-10-08,SHORT,105.54,110.11,-213.54,-976.35,16
2008-10-08,2008-10-09,LONG,110.11,99.49,168.38,-1788.53,1
2008-10-09,2008-12-08,SHORT,99.49,109.26,-133.9,-1308.46,60
2008-12-08,2008-12-09,LONG,109.26,92.283,150.16,-2549.56,1
2008-12-09,2009-04-02,SHORT,92.283,99.58,-102.68,-749.43,114
2009-04-02,2009-04-20,LONG,99.58,98.046,233.27,-358.3,18
2009-04-20,2009-04-30,SHORT,98.046,98.71,-345.74,-230.25,10
2009-04-30,2009-05-11,LONG,98.71,97.48,324.28,-399.49,11
2009-05-11,2009-06-05,SHORT,97.48,98.83,-350.59,-473.99,25
2009-06-05,2009-06-16,LONG,98.83,96.48,293.03,-689.19,11
2009-06-16,2009-06-18,SHORT,96.48,96.59,-269.16,-30.13,2
2009-06-18,2009-06-22,LONG,96.59,95.83,289.44,-220.53,4
2009-06-22,2009-06-30,SHORT,95.83,96.351,-311.46,-162.87,8
2009-06-30,2009-07-02,LONG,96.351,95.932,344.06,-144.82,2
2009-07-02,2009-07-03,SHORT,95.932,96.16,-348.57,-80.14,1
2009-07-03,2009-07-06,LONG,96.16,95.15,361.33,-365.63,3
2009-07-06,2009-07-30,SHORT,95.15,95.58,-365.33,-157.79,24
2009-07-30,2009-07-31,LONG,95.58,94.62,479.21,-460.95,1
2009-07-31,2009-08-03,SHORT,94.62,95.187,-478.97,-272.49,3
2009-08-03,2009-08-05,LONG,95.187,94.776,493.83,-203.9,2
2009-08-05,2009-08-06,SHORT,94.776,95.504,-578.59,-422.32,1
2009-08-06,2009-08-14,LONG,95.504,94.84,585.76,-390.05,8
2009-08-14,2010-03-24,SHORT,94.84,92.034,-425.13,1192.14,222
2010-03-24,2010-05-06,LONG,92.034,90.81,463.52,-568.19,43
2010-05-06,2010-05-07,SHORT,90.81,91.6,-304.05,-240.75,1
2010-05-07,2010-05-20,LONG,91.6,89.35,277.63,-625.17,13
2010-05-20,2010-05-28,SHORT,89.35,91.072,-221.32,-381.52,8
2010-05-28,2010-06-17,LONG,91.072,90.82,315.44,-80.06,20
2010-06-17,2010-06-21,SHORT,90.82,91.015,-435.87,-85.79,4
2010-06-21,2010-06-22,LONG,91.015,90.52,433.78,-215.51,1
