Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1997-04-07,1998-10-05,LONG,126.12,117.33,187.47,-1648.27,546
1998-10-05,1999-05-17,SHORT,117.33,124.04,-74.38,-499.27,224
1999-05-17,1999-07-19,LONG,124.04,116.7,142.82,-1048.63,63
1999-07-19,2000-02-14,SHORT,116.7,110.7,-170.6,1023.22,210
2000-02-14,2001-09-10,LONG,110.7,117.63,163.67,1133.82,574
2001-09-10,2001-12-03,SHORT,117.63,125.72,-186.87,-1512.22,84
2001-12-03,2002-05-13,LONG,125.72,125.93,190.86,39.6,161
2002-05-13,2004-03-01,SHORT,125.93,112.12,-175.15,2418.48,658
2004-03-01,2004-10-25,LONG,112.12,105.74,261.72,-1670.35,238
2004-10-25,2005-03-28,SHORT,105.74,107.67,-270.08,-521.84,154
2005-03-28,2006-05-01,LONG,107.67,112.05,251.18,1099.62,399
2006-05-01,2006-10-02,SHORT,112.05,118.97,-206.53,-1429.67,154
2006-10-02,2007-08-13,LONG,118.97,113.93,252.7,-1274.18,315
2007-08-13,2008-06-02,SHORT,113.93,109.62,-201.0,865.87,294
2008-06-02,2008-10-06,LONG,109.62,100.68,115.29,-1030.95,126
2008-10-06,2010-03-29,SHORT,100.68,94.56,-139.37,852.67,539
2010-03-29,2010-06-28,LONG,94.56,87.72,220.22,-1506.66,91
2010-06-28,2011-04-04,SHORT,87.72,84.98,-179.84,492.47,280
2011-04-04,2011-07-25,LONG,84.98,77.71,246.88,-1795.21,112
2011-07-25,2012-02-13,SHORT,77.71,79.88,-332.62,-722.32,203
2012-02-13,2016-02-08,LONG,79.88,113.65,445.14,15031.49,1456
2016-02-08,2016-11-14,SHORT,113.65,110.993,-213.41,566.56,280
2016-11-14,2017-04-10,LONG,110.993,108.303,212.71,-572.64,147
2017-04-10,2018-07-09,SHORT,108.303,112.4,-215.54,-883.54,455
2018-07-09,2018-12-31,LONG,112.4,108.505,362.79,-1413.87,175
2018-12-31,2020-02-17,SHORT,108.505,111.57,-333.49,-1022.89,413
2020-02-17,2020-03-02,LONG,111.57,105.29,402.94,-2531.29,14
2020-03-02,2021-02-22,SHORT,105.29,106.55,-300.62,-379.43,357
2021-02-22,2023-01-09,LONG,106.55,127.85,457.05,9734.04,686
2023-01-09,2023-05-15,SHORT,127.85,137.98,-120.26,-1218.55,126
2023-05-15,2023-12-25,LONG,137.98,141.0,190.76,575.57,224
2023-12-25,2024-04-08,SHORT,141.0,153.29,-214.55,-2637.53,105
2024-04-08,2024-09-09,LONG,153.29,140.81,243.06,-3034.06,154
2024-09-09,2025-10-06,SHORT,140.81,151.2,-132.33,-1375.36,392
2025-10-06,2026-05-25,LONG,151.2,159.314,194.81,1580.07,231
