Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1997-01-27,1997-02-03,LONG,121.1,123.13,178.17,361.25,7
1997-02-03,1997-02-10,LONG,123.17,124.39,165.55,201.56,7
1997-02-10,1997-02-17,LONG,124.43,123.22,201.49,-244.3,7
1997-02-17,1997-02-24,LONG,123.26,120.38,157.3,-453.4,7
1997-02-24,1997-03-03,SHORT,120.38,122.13,-80.98,-141.91,7
1997-03-03,1997-03-10,LONG,122.13,123.25,86.85,97.06,7
1997-03-10,1997-03-17,LONG,123.29,122.73,85.72,-48.21,7
1997-03-17,1997-03-24,LONG,122.77,123.63,88.02,75.48,7
1997-03-24,1997-03-31,LONG,123.67,124.2,82.6,43.57,7
1997-03-31,1997-04-07,LONG,124.24,126.08,74.28,136.48,7
1997-04-07,1997-04-14,LONG,126.12,125.82,66.85,-20.22,7
1997-04-14,1997-04-21,LONG,125.86,126.14,47.99,13.32,7
1997-04-21,1997-04-28,LONG,126.18,126.53,48.34,16.8,7
1997-04-28,1997-05-05,LONG,126.57,119.98,63.22,-416.78,7
1997-05-05,1997-05-12,SHORT,119.98,115.47,-44.94,202.58,7
1997-05-12,1997-05-19,SHORT,115.43,115.5,-67.21,-4.86,7
1997-05-19,1997-05-26,SHORT,115.46,116.04,-80.08,-46.63,7
1997-05-26,1997-06-02,SHORT,116.0,114.2,-69.95,125.75,7
1997-06-02,1997-06-09,SHORT,114.16,115.02,-94.64,-81.61,7
1997-06-09,1997-06-16,SHORT,114.98,115.17,-83.94,-16.14,7
1997-06-16,1997-06-23,SHORT,115.13,114.54,-112.37,66.04,7
1997-06-23,1997-06-30,SHORT,114.5,114.17,-111.13,36.42,7
1997-06-30,1997-07-07,SHORT,114.13,114.18,-117.16,-6.13,7
1997-07-07,1997-07-14,SHORT,114.14,115.55,-126.45,-178.59,7
1997-07-14,1997-07-21,SHORT,115.51,116.85,-68.3,-91.68,7
1997-07-21,1997-07-28,SHORT,116.81,118.65,-38.47,-70.87,7
1997-07-28,1997-08-04,LONG,118.65,114.66,53.67,-214.26,7
1997-08-04,1997-08-11,SHORT,114.66,117.07,-34.61,-83.49,7
1997-08-11,1997-08-18,SHORT,117.03,118.38,-37.43,-50.61,7
1997-08-18,1997-08-25,LONG,118.38,120.46,41.15,85.49,7
1997-08-25,1997-09-01,LONG,120.5,121.2,58.26,40.64,7
1997-09-01,1997-09-08,LONG,121.24,120.86,72.89,-27.88,7
1997-09-08,1997-09-15,LONG,120.9,121.78,71.88,63.08,7
1997-09-15,1997-09-22,LONG,121.82,121.23,81.96,-48.56,7
1997-09-22,1997-09-29,LONG,121.27,122.1,62.36,51.6,7
1997-09-29,1997-10-06,LONG,122.14,120.28,59.77,-111.32,7
1997-10-06,1997-10-13,LONG,120.32,120.52,41.51,8.2,7
1997-10-13,1997-10-20,LONG,120.56,122.08,85.74,130.11,7
1997-10-20,1997-10-27,LONG,122.12,120.44,81.69,-137.43,7
1997-10-27,1997-11-03,LONG,120.48,124.08,40.97,147.37,7
1997-11-03,1997-11-10,LONG,124.12,126.03,45.86,87.48,7
1997-11-10,1997-11-17,LONG,126.07,126.48,58.36,23.78,7
1997-11-17,1997-11-24,LONG,126.52,127.77,68.6,85.57,7
1997-11-24,1997-12-01,LONG,127.81,129.81,71.23,142.27,7
1997-12-01,1997-12-08,LONG,129.85,130.33,93.87,44.81,7
1997-12-08,1997-12-15,LONG,130.37,129.38,90.17,-89.5,7
1997-12-15,1997-12-22,LONG,129.42,129.86,100.07,43.77,7
1997-12-22,1997-12-29,LONG,129.9,132.18,103.36,235.38,7
1997-12-29,1998-01-05,LONG,132.22,131.5,107.65,-77.79,7
1998-01-05,1998-01-12,LONG,131.54,128.75,121.23,-338.54,7
1998-01-12,1998-01-19,LONG,128.79,125.4,52.04,-176.53,7
1998-01-19,1998-02-02,SHORT,125.4,124.28,-35.73,39.92,14
1998-02-02,1998-02-09,SHORT,124.24,125.69,-34.4,-49.96,7
1998-02-09,1998-02-16,SHORT,125.65,127.97,-37.49,-87.08,7
1998-02-16,1998-02-23,SHORT,127.93,126.07,-35.5,65.94,7
1998-02-23,1998-03-02,SHORT,126.03,127.65,-35.53,-57.65,7
1998-03-02,1998-03-09,SHORT,127.61,127.77,-34.01,-5.53,7
1998-03-09,1998-03-16,SHORT,127.73,130.38,-35.31,-93.65,7
1998-03-16,1998-03-30,LONG,130.38,135.1,33.41,157.62,14
1998-03-30,1998-04-06,LONG,135.14,128.97,69.78,-430.75,7
1998-04-06,1998-04-13,SHORT,128.97,131.92,-30.21,-89.2,7
1998-04-13,1998-04-20,LONG,131.92,130.88,37.7,-39.31,7
1998-04-20,1998-04-27,LONG,130.92,133.41,30.88,76.81,7
1998-04-27,1998-05-04,LONG,133.45,133.08,31.96,-11.91,7
1998-05-04,1998-05-11,LONG,133.12,134.75,41.04,66.79,7
1998-05-11,1998-05-18,LONG,134.79,136.23,42.77,61.47,7
1998-05-18,1998-05-25,LONG,136.27,138.48,49.33,108.89,7
1998-05-25,1998-06-01,LONG,138.52,140.04,47.94,72.74,7
1998-06-01,1998-06-08,LONG,140.08,144.18,56.06,229.68,7
1998-06-08,1998-06-15,LONG,144.22,138.17,52.03,-314.93,7
1998-06-15,1998-06-22,LONG,138.21,142.38,43.79,182.47,7
1998-06-22,1998-06-29,LONG,142.42,139.33,45.81,-141.67,7
1998-06-29,1998-07-06,LONG,139.37,143.73,32.55,141.84,7
1998-07-06,1998-07-13,LONG,143.77,139.68,37.13,-151.97,7
1998-07-13,1998-07-20,LONG,139.72,141.39,26.99,45.0,7
1998-07-20,1998-07-27,LONG,141.43,144.83,27.48,93.34,7
1998-07-27,1998-08-03,LONG,144.87,146.28,27.04,38.04,7
1998-08-03,1998-08-10,LONG,146.32,146.24,26.96,-2.24,7
1998-08-10,1998-08-17,LONG,146.28,145.04,26.55,-33.0,7
1998-08-17,1998-08-24,LONG,145.08,141.13,25.42,-100.49,7
1998-08-24,1998-08-31,LONG,141.17,133.78,24.26,-179.32,7
1998-08-31,1998-09-07,SHORT,133.78,131.42,-24.92,58.75,7
1998-09-07,1998-09-14,SHORT,131.38,133.3,-21.74,-41.81,7
1998-09-14,1998-09-21,SHORT,133.26,136.46,-31.29,-100.22,7
1998-09-21,1998-09-28,SHORT,136.42,135.72,-22.68,15.82,7
1998-09-28,1998-10-05,SHORT,135.68,117.37,-23.31,426.69,7
1998-10-05,1998-10-12,SHORT,117.33,114.19,-51.03,160.12,7
1998-10-12,1998-10-19,SHORT,114.15,118.26,-56.54,-232.5,7
1998-10-19,1998-10-26,SHORT,118.22,115.25,-44.89,133.22,7
1998-10-26,1998-11-02,SHORT,115.21,119.34,-45.45,-187.81,7
1998-11-02,1998-11-09,SHORT,119.3,122.26,-32.8,-97.16,7
1998-11-09,1998-11-16,SHORT,122.22,120.63,-18.71,29.7,7
1998-11-16,1998-11-23,SHORT,120.59,123.29,-17.63,-47.64,7
