Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1997-02-24,1997-03-03,SHORT,120.38,122.13,-203.25,-356.19,7
1997-03-03,1997-05-05,LONG,122.13,119.98,207.22,-446.02,63
1997-05-05,1997-07-28,SHORT,119.98,118.65,-179.01,237.66,84
1997-07-28,1997-08-04,LONG,118.65,114.66,150.27,-599.91,7
1997-08-04,1997-08-18,SHORT,114.66,118.38,-137.73,-512.7,14
1997-08-18,1998-01-19,LONG,118.38,125.4,160.96,1129.5,154
1998-01-19,1998-03-16,SHORT,125.4,130.38,-143.01,-712.54,56
1998-03-16,1998-04-06,LONG,130.38,128.97,133.04,-187.93,21
1998-04-06,1998-04-13,SHORT,128.97,131.92,-120.39,-355.47,7
1998-04-13,1998-08-31,LONG,131.92,133.78,118.47,220.03,140
1998-08-31,2000-02-14,SHORT,133.78,110.7,-88.18,2035.08,532
2000-02-14,2000-02-28,LONG,110.7,107.63,168.05,-516.28,14
2000-02-28,2000-07-17,SHORT,107.63,108.89,-174.01,-219.63,140
2000-07-17,2000-07-31,LONG,108.89,108.57,197.9,-63.76,14
2000-07-31,2000-10-02,SHORT,108.57,108.83,-216.69,-56.81,63
2000-10-02,2000-10-09,LONG,108.83,107.64,278.74,-332.3,7
2000-10-09,2000-10-16,SHORT,107.64,109.0,-287.94,-392.22,7
2000-10-16,2000-10-23,LONG,109.0,108.71,288.83,-84.39,7
2000-10-23,2000-11-13,SHORT,108.71,108.94,-294.36,-68.34,21
2000-11-13,2001-02-19,LONG,108.94,115.87,288.5,1998.66,98
2001-02-19,2001-02-26,SHORT,115.87,119.31,-194.95,-671.11,7
2001-02-26,2001-05-21,LONG,119.31,120.44,188.7,212.77,84
2001-05-21,2001-06-04,SHORT,120.44,120.87,-156.99,-67.88,14
2001-06-04,2001-08-13,LONG,120.87,120.32,157.8,-87.17,70
2001-08-13,2001-10-08,SHORT,120.32,120.93,-190.34,-116.57,56
2001-10-08,2002-03-04,LONG,120.93,128.18,180.83,1310.58,147
2002-03-04,2002-03-18,SHORT,128.18,132.94,-176.37,-839.98,14
2002-03-18,2002-04-01,LONG,132.94,131.64,171.41,-223.28,14
2002-04-01,2002-09-09,SHORT,131.64,121.83,-177.56,1741.46,161
2002-09-09,2002-10-28,LONG,121.83,122.19,175.67,62.81,49
2002-10-28,2002-11-18,SHORT,122.19,123.12,-194.23,-181.11,21
2002-11-18,2002-12-09,LONG,123.12,120.7,200.37,-485.37,21
2002-12-09,2004-03-01,SHORT,120.7,112.12,-189.66,1626.82,448
2004-03-01,2004-03-15,LONG,112.12,106.89,269.79,-1411.59,14
2004-03-15,2004-04-26,SHORT,106.89,110.42,-244.25,-862.73,42
2004-04-26,2004-05-24,LONG,110.42,110.28,188.29,-26.78,28
2004-05-24,2004-05-31,SHORT,110.28,110.97,-168.28,-116.49,7
2004-05-31,2004-06-07,LONG,110.97,110.26,165.56,-117.91,7
2004-06-07,2004-07-26,SHORT,110.26,111.25,-169.51,-168.19,49
2004-07-26,2004-08-16,LONG,111.25,109.26,187.79,-374.1,21
2004-08-16,2004-08-30,SHORT,109.26,110.56,-206.23,-268.55,14
2004-08-30,2004-09-06,LONG,110.56,109.32,225.27,-279.83,7
2004-09-06,2004-09-20,SHORT,109.32,110.65,-232.06,-309.15,14
2004-09-20,2004-10-04,LONG,110.65,109.44,255.93,-310.23,14
2004-10-04,2005-02-14,SHORT,109.44,105.66,-259.53,980.48,133
2005-02-14,2005-02-21,LONG,105.66,104.78,224.51,-198.04,7
2005-02-21,2005-03-21,SHORT,104.78,106.4,-230.97,-374.66,28
2005-03-21,2005-04-18,LONG,106.4,105.58,256.84,-211.15,28
2005-04-18,2005-05-09,SHORT,105.58,107.41,-277.78,-508.93,21
2005-05-09,2005-08-08,LONG,107.41,109.33,277.91,532.97,91
2005-08-08,2005-09-12,SHORT,109.33,111.4,-252.98,-524.23,35
2005-09-12,2005-12-12,LONG,111.4,115.54,217.55,900.15,91
2005-12-12,2006-09-11,SHORT,115.54,117.75,-209.67,-463.87,273
2006-09-11,2006-09-18,LONG,117.75,116.5,254.89,-319.21,7
2006-09-18,2006-09-25,SHORT,116.5,118.08,-247.41,-391.5,7
2006-09-25,2006-10-23,LONG,118.08,117.5,247.23,-143.97,28
2006-10-23,2006-12-11,SHORT,117.5,118.04,-272.13,-147.59,49
2006-12-11,2007-02-12,LONG,118.04,119.32,271.07,346.32,63
2007-02-12,2007-02-19,SHORT,119.32,120.97,-254.36,-420.31,7
2007-02-19,2007-02-26,LONG,120.97,116.07,244.23,-1197.32,7
2007-02-26,2007-04-30,SHORT,116.07,120.03,-216.45,-857.66,63
2007-04-30,2007-07-09,LONG,120.03,122.09,183.59,377.75,70
2007-07-09,2008-06-02,SHORT,122.09,109.62,-289.63,3611.01,329
2008-06-02,2008-06-16,LONG,109.62,107.41,118.55,-262.26,14
2008-06-16,2008-07-21,SHORT,107.41,107.84,-129.43,-55.93,35
2008-07-21,2008-09-08,LONG,107.84,106.272,158.52,-248.9,49
2008-09-08,2009-03-30,SHORT,106.272,100.479,-166.95,966.81,203
2009-03-30,2009-04-20,LONG,100.479,96.68,130.72,-496.84,21
2009-04-20,2009-04-27,SHORT,96.68,99.02,-143.17,-335.3,7
2009-04-27,2009-05-04,LONG,99.02,98.62,142.88,-57.43,7
2009-05-04,2012-02-20,SHORT,98.62,81.47,-144.07,2470.61,1022
2012-02-20,2012-04-02,LONG,81.47,81.202,450.62,-121.5,42
2012-04-02,2012-11-12,SHORT,81.202,81.432,-324.68,-75.21,224
2012-11-12,2013-03-25,LONG,81.432,94.26,431.34,5532.35,133
2013-03-25,2013-04-01,SHORT,94.26,98.449,-221.79,-929.53,7
2013-04-01,2013-06-03,LONG,98.449,98.336,197.08,-22.66,63
2013-06-03,2013-06-24,SHORT,98.336,99.4,-182.44,-194.48,21
2013-06-24,2013-07-22,LONG,99.4,98.056,165.64,-222.95,28
2013-07-22,2013-07-29,SHORT,98.056,98.917,-176.19,-152.05,7
2013-07-29,2013-08-05,LONG,98.917,96.292,175.85,-461.94,7
2013-08-05,2013-08-19,SHORT,96.292,98.73,-170.43,-415.84,14
2013-08-19,2013-08-26,LONG,98.73,98.361,171.65,-63.68,7
2013-08-26,2013-09-02,SHORT,98.361,99.911,-174.63,-271.03,7
2013-09-02,2013-09-23,LONG,99.911,97.883,176.0,-357.28,21
2013-09-23,2013-10-28,SHORT,97.883,98.714,-228.23,-190.11,35
2013-10-28,2014-01-20,LONG,98.714,102.057,264.07,882.26,84
2014-01-20,2014-08-18,SHORT,102.057,104.255,-313.71,-690.18,210
2014-08-18,2014-10-06,LONG,104.255,107.243,514.11,1535.07,49
