Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2004-01-12,2004-01-14,LONG,82.74,82.19,545.17,-300.74,2
2004-01-14,2004-01-21,SHORT,82.19,82.63,-418.52,-184.84,7
2004-01-21,2004-01-23,LONG,82.63,82.23,362.09,-145.43,2
2004-01-23,2004-02-10,SHORT,82.23,82.34,-385.97,-43.09,18
2004-02-10,2004-03-03,LONG,82.34,82.442,501.04,50.28,22
2004-03-03,2004-03-04,SHORT,82.442,83.475,-475.94,-492.44,1
2004-03-04,2004-03-11,LONG,83.475,81.432,457.75,-935.93,7
2004-03-11,2004-08-10,SHORT,81.432,79.291,-343.68,735.27,152
2004-08-10,2004-08-11,LONG,79.291,79.073,756.65,-166.15,1
2004-08-11,2004-08-13,SHORT,79.073,79.396,-756.85,-245.66,2
2004-08-13,2004-08-17,LONG,79.396,78.67,765.8,-557.17,4
2004-08-17,2004-08-19,SHORT,78.67,79.317,-788.76,-511.57,2
2004-08-19,2004-08-20,LONG,79.317,78.956,718.12,-260.37,1
2004-08-20,2004-09-23,SHORT,78.956,79.09,-725.84,-98.41,34
2004-09-23,2004-10-18,LONG,79.09,79.205,642.54,72.87,25
2004-10-18,2004-10-20,SHORT,79.205,79.55,-635.49,-220.25,2
2004-10-20,2004-10-21,LONG,79.55,79.252,654.83,-196.18,1
2004-10-21,2004-10-22,SHORT,79.252,79.766,-657.76,-339.14,1
2004-10-22,2004-10-27,LONG,79.766,79.44,653.53,-214.09,5
2004-10-27,2004-11-03,SHORT,79.44,80.21,-662.69,-511.34,7
2004-11-03,2004-11-30,LONG,80.21,79.54,653.67,-439.0,27
2004-11-30,2004-12-27,SHORT,79.54,80.097,-686.81,-383.66,27
2004-12-27,2005-01-03,LONG,80.097,79.77,665.47,-218.67,7
2005-01-03,2005-01-06,SHORT,79.77,79.95,-749.33,-136.08,3
2005-01-06,2005-01-07,LONG,79.95,79.397,797.44,-442.25,1
2005-01-07,2005-01-26,SHORT,79.397,79.84,-777.89,-345.85,19
2005-01-26,2005-01-28,LONG,79.84,79.652,583.35,-110.6,2
2005-01-28,2005-01-31,SHORT,79.652,80.26,-591.51,-360.59,3
2005-01-31,2005-03-22,LONG,80.26,82.11,590.56,1091.56,50
2005-03-22,2005-03-28,SHORT,82.11,82.35,-658.69,-159.17,6
2005-03-28,2005-04-19,LONG,82.35,82.38,701.58,19.89,22
2005-04-19,2005-04-20,SHORT,82.38,82.79,-885.56,-364.54,1
2005-04-20,2005-04-25,LONG,82.79,82.33,865.78,-399.68,5
2005-04-25,2005-04-26,SHORT,82.33,82.5,-833.32,-143.04,1
2005-04-26,2005-04-27,LONG,82.5,82.1,864.05,-347.04,1
2005-04-27,2005-04-28,SHORT,82.1,82.55,-844.01,-381.19,1
2005-04-28,2005-04-29,LONG,82.55,81.763,849.7,-670.11,1
2005-04-29,2005-05-27,SHORT,81.763,82.454,-783.63,-542.78,28
2005-05-27,2005-05-30,LONG,82.454,82.1,848.67,-301.82,3
2005-05-30,2005-06-09,SHORT,82.1,82.47,-843.03,-313.31,10
2005-06-09,2005-07-05,LONG,82.47,82.85,815.65,308.6,26
2005-07-05,2005-07-12,SHORT,82.85,83.843,-665.96,-662.41,7
2005-07-12,2005-08-15,LONG,83.843,84.01,672.08,111.11,34
2005-08-15,2005-08-16,SHORT,84.01,84.36,-666.51,-234.4,1
2005-08-16,2005-08-17,LONG,84.36,83.4,666.18,-640.64,1
2005-08-17,2005-09-08,SHORT,83.4,85.344,-620.1,-1206.53,22
2005-09-08,2005-11-08,LONG,85.344,86.09,775.16,576.93,61
2005-11-08,2005-11-09,SHORT,86.09,86.67,-823.26,-478.92,1
2005-11-09,2005-11-10,LONG,86.67,86.1,790.5,-451.94,1
2005-11-10,2005-11-11,SHORT,86.1,86.446,-779.45,-271.04,1
2005-11-11,2005-12-14,LONG,86.446,88.66,782.79,1731.7,33
2005-12-14,2006-01-31,SHORT,88.66,88.9,-589.75,-142.59,48
2006-01-31,2006-02-06,LONG,88.9,88.29,613.24,-375.16,6
2006-02-06,2006-05-04,SHORT,88.29,87.54,-632.23,473.07,87
2006-05-04,2006-05-05,LONG,87.54,86.882,510.14,-336.56,1
2006-05-05,2006-07-13,SHORT,86.882,86.92,-489.1,-19.44,69
2006-07-13,2006-08-01,LONG,86.92,87.61,770.23,530.1,19
2006-08-01,2006-08-04,SHORT,87.61,87.818,-687.73,-144.25,3
2006-08-04,2006-08-08,LONG,87.818,87.59,741.93,-170.46,4
2006-08-08,2006-08-09,SHORT,87.59,88.3,-744.3,-529.77,1
2006-08-09,2006-08-18,LONG,88.3,88.017,690.77,-196.7,9
2006-08-18,2006-08-21,SHORT,88.017,88.37,-654.0,-232.01,3
2006-08-21,2006-09-07,LONG,88.37,88.26,638.89,-71.41,17
2006-09-07,2006-09-14,SHORT,88.26,88.684,-736.53,-313.6,7
2006-09-14,2006-09-15,LONG,88.684,88.461,741.7,-166.71,1
2006-09-15,2006-09-18,SHORT,88.461,89.08,-721.7,-448.02,3
2006-09-18,2006-09-19,LONG,89.08,88.355,693.8,-504.23,1
2006-09-19,2006-10-10,SHORT,88.355,88.981,-665.52,-417.8,21
2006-10-10,2006-11-10,LONG,88.981,90.164,776.32,916.99,31
2006-11-10,2006-11-16,SHORT,90.164,90.61,-873.8,-391.3,6
2006-11-16,2006-11-23,LONG,90.61,90.07,863.05,-467.6,7
2006-11-23,2006-11-27,SHORT,90.07,90.36,-763.34,-222.75,4
2006-11-27,2006-12-05,LONG,90.36,90.32,776.09,-32.45,8
2006-12-05,2006-12-06,SHORT,90.32,90.5,-633.92,-115.26,1
2006-12-06,2007-01-05,LONG,90.5,92.589,646.34,1349.01,30
2007-01-05,2007-01-09,SHORT,92.589,93.14,-399.45,-220.84,4
2007-01-09,2007-01-25,LONG,93.14,94.0,398.15,341.66,16
2007-01-25,2007-02-08,SHORT,94.0,94.63,-548.55,-346.62,14
2007-02-08,2007-02-12,LONG,94.63,93.93,569.63,-399.82,4
2007-02-12,2007-02-13,SHORT,93.93,94.43,-532.0,-267.01,1
2007-02-13,2007-02-15,LONG,94.43,93.47,603.44,-580.43,2
2007-02-15,2007-02-20,SHORT,93.47,94.56,-571.12,-623.6,5
2007-02-20,2007-02-27,LONG,94.56,92.78,587.77,-1047.33,7
2007-02-27,2007-03-19,SHORT,92.78,94.23,-457.53,-664.28,20
2007-03-19,2007-03-28,LONG,94.23,94.09,263.26,-37.35,9
2007-03-28,2007-03-29,SHORT,94.09,95.23,-342.11,-390.66,1
2007-03-29,2007-07-10,LONG,95.23,104.15,340.31,3034.82,103
2007-07-10,2007-07-11,SHORT,104.15,105.44,-397.67,-513.83,1
2007-07-11,2007-07-26,LONG,105.44,103.19,374.54,-843.49,15
2007-07-26,2007-10-01,SHORT,103.19,103.57,-295.73,-112.99,67
2007-10-01,2007-10-02,LONG,103.57,102.231,271.38,-363.94,1
2007-10-02,2007-10-03,SHORT,102.231,102.9,-263.69,-176.95,1
2007-10-03,2007-10-17,LONG,102.9,103.73,263.03,217.77,14
2007-10-17,2007-10-26,SHORT,103.73,104.68,-261.09,-248.58,9
2007-10-26,2007-11-07,LONG,104.68,104.06,234.92,-146.14,12
2007-11-07,2008-05-16,SHORT,104.06,99.441,-209.13,965.58,191
2008-05-16,2008-05-20,LONG,99.441,99.12,303.64,-98.07,4
2008-05-20,2008-05-22,SHORT,99.12,99.6,-314.02,-151.36,2
2008-05-22,2008-05-23,LONG,99.6,99.095,345.56,-175.19,1
2008-05-23,2008-05-27,SHORT,99.095,99.9,-353.34,-285.15,4
2008-05-27,2008-06-02,LONG,99.9,99.63,376.88,-102.51,6
2008-06-02,2008-06-03,SHORT,99.63,100.01,-448.52,-171.33,1
2008-06-03,2008-07-30,LONG,100.01,101.98,439.48,864.87,57
2008-07-30,2008-09-19,SHORT,101.98,89.551,-464.02,5766.47,51
2008-09-19,2008-09-22,LONG,89.551,89.173,127.08,-48.26,3
2008-09-22,2009-04-02,SHORT,89.173,71.37,-128.31,2284.1,192
2009-04-02,2009-04-20,LONG,71.37,68.588,257.42,-716.49,18
2009-04-20,2009-04-30,SHORT,68.588,71.717,-250.87,-785.33,10
2009-04-30,2009-05-15,LONG,71.717,71.186,223.45,-118.97,15
2009-05-15,2009-05-18,SHORT,71.186,73.8146,-235.64,-619.75,3
2009-05-18,2009-07-07,LONG,73.8146,74.682,219.3,189.9,50
2009-07-07,2009-07-15,SHORT,74.682,75.604,-291.81,-269.49,8
2009-07-15,2009-07-16,LONG,75.604,75.33,255.65,-70.43,1
2009-07-16,2009-07-17,SHORT,75.33,75.668,-252.01,-85.56,1
2009-07-17,2009-09-01,LONG,75.668,76.51,258.43,217.2,46
2009-09-01,2009-09-03,SHORT,76.51,77.8147,-569.38,-743.75,2
2009-09-03,2009-10-30,LONG,77.8147,81.114,575.1,1896.51,57
2009-10-30,2009-11-02,SHORT,81.114,81.8,-366.91,-252.3,3
2009-11-02,2009-11-19,LONG,81.8,81.6935,328.53,-35.52,17
2009-11-19,2009-11-23,SHORT,81.6935,82.08,-363.83,-141.22,4
2009-11-23,2009-11-24,LONG,82.08,81.5636,396.91,-205.61,1
2009-11-24,2009-12-04,SHORT,81.5636,82.834,-424.8,-540.36,10
2009-12-04,2009-12-07,LONG,82.834,81.697,298.15,-339.48,3
2009-12-07,2009-12-29,SHORT,81.697,82.13,-293.09,-127.39,22
2009-12-29,2010-01-21,LONG,82.13,81.73,408.68,-164.14,23
2010-01-21,2010-03-11,SHORT,81.73,82.99,-316.35,-399.12,49
2010-03-11,2010-03-15,LONG,82.99,82.49,356.54,-178.86,4
2010-03-15,2010-03-16,SHORT,82.49,82.989,-394.02,-197.27,1
2010-03-16,2010-04-16,LONG,82.989,85.143,397.16,854.8,31
2010-04-16,2010-04-20,SHORT,85.143,86.74,-416.43,-665.76,4
2010-04-20,2010-04-27,LONG,86.74,85.295,384.71,-556.57,7
2010-04-27,2010-04-28,SHORT,85.295,86.86,-343.8,-538.64,1
2010-04-28,2010-05-04,LONG,86.86,86.0888,322.63,-249.36,6
2010-05-04,2010-11-04,SHORT,86.0888,81.376,-296.9,1398.75,184
2010-11-04,2010-11-24,LONG,81.376,81.08,371.06,-110.44,20
2010-11-24,2010-11-25,SHORT,81.08,82.258,-402.06,-474.29,1
2010-11-25,2010-11-30,LONG,82.258,80.925,404.01,-539.2,5
2010-11-30,2010-12-02,SHORT,80.925,81.272,-365.02,-127.26,2
2010-12-02,2011-01-12,LONG,81.272,81.85,360.08,207.54,41
