Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2004-01-09,2004-03-11,LONG,82.64,81.432,436.13,-527.56,62
2004-03-11,2004-07-05,SHORT,81.432,77.81,-349.04,1263.7,116
2004-07-05,2004-08-24,LONG,77.81,77.34,534.08,-251.84,50
2004-08-24,2004-09-22,SHORT,77.34,78.18,-671.8,-565.36,29
2004-09-22,2004-12-08,LONG,78.18,78.61,670.06,287.07,77
2004-12-08,2005-02-02,SHORT,78.61,80.6,-662.4,-1319.24,56
2005-02-02,2005-04-29,LONG,80.6,81.763,640.01,743.28,86
2005-04-29,2005-06-10,SHORT,81.763,82.739,-852.21,-833.17,42
2005-06-10,2005-08-17,LONG,82.739,83.4,851.95,561.71,68
2005-08-17,2005-09-08,SHORT,83.4,85.344,-689.72,-1342.0,22
2005-09-08,2005-12-16,LONG,85.344,86.03,862.19,589.98,99
2005-12-16,2006-01-25,SHORT,86.03,87.2,-546.23,-640.04,40
2006-01-25,2006-02-27,LONG,87.2,85.7,683.69,-1026.71,33
2006-02-27,2006-04-19,SHORT,85.7,87.57,-622.46,-1165.09,51
2006-04-19,2006-05-12,LONG,87.57,84.984,593.62,-1536.12,23
2006-05-12,2006-07-05,SHORT,84.984,85.71,-547.99,-398.78,54
2006-07-05,2006-09-22,LONG,85.71,87.667,911.91,1783.01,79
2006-09-22,2006-10-12,SHORT,87.667,89.72,-696.32,-1430.79,20
2006-10-12,2007-02-27,LONG,89.72,92.78,865.56,2647.0,138
2007-02-27,2007-04-02,SHORT,92.78,96.16,-527.33,-1783.39,34
2007-04-02,2007-07-27,LONG,96.16,101.01,423.37,2052.47,116
2007-07-27,2007-09-18,SHORT,101.01,98.51,-310.16,774.79,53
2007-09-18,2007-11-12,LONG,98.51,96.39,240.15,-509.59,55
2007-11-12,2008-02-18,SHORT,96.39,99.14,-206.95,-569.52,98
2008-02-18,2008-03-10,LONG,99.14,92.84,336.49,-2120.51,21
2008-03-10,2008-04-17,SHORT,92.84,96.05,-290.02,-931.52,38
2008-04-17,2008-07-31,LONG,96.05,101.351,303.76,1609.6,105
2008-07-31,2008-12-31,SHORT,101.351,63.962,-511.18,19111.89,153
2008-12-31,2009-01-13,LONG,63.962,59.5946,390.64,-1706.57,13
2009-01-13,2009-02-24,SHORT,59.5946,62.96,-301.38,-1014.64,42
2009-02-24,2009-07-08,LONG,62.96,72.04,273.53,2483.29,134
2009-07-08,2009-07-30,SHORT,72.04,78.85,-341.94,-2329.16,22
2009-07-30,2009-09-01,LONG,78.85,76.51,540.1,-1264.65,33
2009-09-01,2009-10-08,SHORT,76.51,80.231,-697.22,-2595.49,37
2009-10-08,2009-11-26,LONG,80.231,76.98,796.76,-2591.48,49
2009-11-26,2009-12-31,SHORT,76.98,83.484,-403.36,-2624.11,35
2009-12-31,2010-01-26,LONG,83.484,80.61,474.76,-1365.23,26
2010-01-26,2010-03-24,SHORT,80.61,83.87,-353.95,-1154.46,57
2010-03-24,2010-05-06,LONG,83.87,80.4948,491.21,-1658.71,43
2010-05-06,2010-06-21,SHORT,80.4948,79.7528,-245.7,181.92,46
2010-06-21,2010-10-20,LONG,79.7528,79.11,282.31,-181.92,121
2010-10-20,2010-11-05,SHORT,79.11,82.0,-509.32,-1472.77,16
2010-11-05,2011-01-31,LONG,82.0,80.987,404.31,-410.22,87
2011-01-31,2011-02-18,SHORT,80.987,84.28,-602.89,-1986.35,18
2011-02-18,2011-03-17,LONG,84.28,77.468,756.28,-5152.94,27
2011-03-17,2011-03-30,SHORT,77.468,84.82,-318.52,-2342.33,13
2011-03-30,2011-08-03,LONG,84.82,82.91,202.66,-387.41,126
2011-08-03,2011-10-28,SHORT,82.91,81.234,-326.68,546.99,86
2011-10-28,2011-11-18,LONG,81.234,76.77,247.3,-1104.33,21
2011-11-18,2012-01-26,SHORT,76.77,82.3677,-280.03,-1568.0,69
2012-01-26,2012-04-09,LONG,82.3677,83.62,473.18,591.76,74
2012-04-09,2012-06-18,SHORT,83.62,79.975,-288.75,1052.02,70
2012-06-18,2012-08-31,LONG,79.975,80.69,298.71,213.09,74
2012-08-31,2012-10-23,SHORT,80.69,82.66,-652.66,-1286.81,53
2012-10-23,2013-06-06,LONG,82.66,94.1013,493.68,5647.36,226
2013-06-06,2013-09-09,SHORT,94.1013,91.937,-269.36,582.47,95
2013-09-09,2014-01-20,LONG,91.937,91.417,311.66,-162.63,133
2014-01-20,2014-03-07,SHORT,91.417,93.821,-538.64,-1295.9,46
2014-03-07,2014-05-21,LONG,93.821,93.477,371.82,-128.6,75
2014-05-21,2014-07-02,SHORT,93.477,96.3823,-609.42,-1771.72,42
2014-07-02,2014-07-18,LONG,96.3823,94.56,828.29,-1510.95,16
2014-07-18,2014-08-21,SHORT,94.56,96.294,-706.11,-1225.76,34
2014-08-21,2014-09-24,LONG,96.294,96.077,692.16,-151.53,34
2014-09-24,2014-10-31,SHORT,96.077,96.383,-495.28,-152.51,37
2014-10-31,2014-12-11,LONG,96.383,98.047,362.24,602.06,41
2014-12-11,2015-03-24,SHORT,98.047,94.316,-365.84,1364.27,103
2015-03-24,2015-04-02,LONG,94.316,90.911,420.04,-1430.99,9
2015-04-02,2015-10-09,SHORT,90.911,87.149,-381.68,1435.21,190
2015-10-09,2015-12-14,LONG,87.149,86.59,309.48,-173.54,66
2015-12-14,2016-03-14,SHORT,86.59,86.03,-336.48,187.85,91
2016-03-14,2017-03-22,LONG,86.03,85.564,258.11,-120.72,373
2017-03-22,2017-06-16,SHORT,85.564,84.178,-570.31,789.49,86
2017-06-16,2017-08-11,LONG,84.178,85.808,543.36,884.75,56
2017-08-11,2017-09-21,SHORT,85.808,90.244,-564.66,-2505.87,41
2017-09-21,2017-11-14,LONG,90.244,86.467,487.76,-1843.11,54
2017-11-14,2018-07-13,SHORT,86.467,83.456,-613.93,1847.52,241
2018-07-13,2018-08-13,LONG,83.456,80.597,478.83,-1369.75,31
2018-08-13,2018-09-21,SHORT,80.597,81.974,-507.17,-699.21,39
2018-09-21,2018-10-11,LONG,81.974,79.159,436.67,-1229.92,20
2018-10-11,2018-11-07,SHORT,79.159,82.123,-539.82,-1600.91,27
2018-11-07,2018-12-10,LONG,82.123,80.76,441.76,-602.83,33
2018-12-10,2019-01-31,SHORT,80.76,79.06,-454.8,772.43,52
2019-01-31,2019-05-06,LONG,79.06,77.117,574.95,-1118.02,95
2019-05-06,2019-07-01,SHORT,77.117,76.132,-583.35,573.72,56
2019-07-01,2019-07-29,LONG,76.132,75.0,697.99,-791.17,28
2019-07-29,2019-09-10,SHORT,75.0,73.699,-865.41,1124.62,43
2019-09-10,2020-02-27,LONG,73.699,72.228,466.5,-686.9,170
2020-02-27,2020-04-09,SHORT,72.228,67.913,-533.99,2303.45,42
2020-04-09,2020-09-24,LONG,67.913,74.409,255.05,1656.4,168
2020-09-24,2020-12-03,SHORT,74.409,77.468,-465.18,-1423.7,70
2020-12-03,2021-07-19,LONG,77.468,81.13,699.02,2558.69,228
2021-07-19,2021-10-08,SHORT,81.13,81.714,-478.92,-280.47,81
2021-10-08,2021-11-18,LONG,81.714,82.976,505.82,637.51,41
2021-11-18,2022-03-03,SHORT,82.976,84.267,-481.52,-622.45,105
2022-03-03,2022-05-10,LONG,84.267,90.682,409.98,2629.3,68
2022-05-10,2022-06-03,SHORT,90.682,94.416,-242.29,-905.15,24
2022-06-03,2022-09-28,LONG,94.416,93.083,310.24,-414.13,117
2022-09-28,2023-02-15,SHORT,93.083,92.93,-349.53,52.83,140
2023-02-15,2023-03-10,LONG,92.93,89.836,405.58,-1255.59,23
2023-03-10,2023-06-19,SHORT,89.836,97.51,-476.59,-3658.27,101
2023-06-19,2023-07-28,LONG,97.51,93.173,322.46,-1399.1,39
2023-07-28,2023-11-02,SHORT,93.173,96.729,-330.8,-1176.97,97
2023-11-02,2024-07-18,LONG,96.729,104.754,445.57,3574.73,259
2024-07-18,2024-09-02,SHORT,104.754,99.08,-403.45,2288.37,46
2024-09-02,2024-11-27,LONG,99.08,99.031,371.13,-18.92,86
2024-11-27,2025-05-12,SHORT,99.031,93.64,-351.59,1894.76,166
2025-05-12,2026-05-29,LONG,93.64,114.06,414.39,8460.82,382
