Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2003-02-25,2003-04-15,SHORT,126.19,129.91,-436.68,-1625.59,49
2003-04-15,2003-06-23,LONG,129.91,135.95,532.16,3212.79,69
2003-06-23,2003-11-28,SHORT,135.95,131.42,-331.2,1499.48,158
2003-11-28,2004-01-16,LONG,131.42,132.21,413.75,325.77,49
2004-01-16,2004-02-17,SHORT,132.21,135.82,-342.9,-1238.79,32
2004-02-17,2004-03-17,LONG,135.82,132.36,386.79,-1339.32,29
2004-03-17,2004-04-29,SHORT,132.36,131.45,-246.18,223.38,43
2004-04-29,2004-06-09,LONG,131.45,132.94,311.2,462.86,41
2004-06-09,2004-07-08,SHORT,132.94,134.92,-314.56,-623.67,29
2004-07-08,2004-08-24,LONG,134.92,132.47,387.39,-950.13,47
2004-08-24,2004-09-21,SHORT,132.47,135.32,-418.65,-1194.28,28
2004-09-21,2004-11-19,LONG,135.32,134.37,495.12,-471.7,59
2004-11-19,2004-12-08,SHORT,134.37,138.79,-479.03,-2118.62,19
2004-12-08,2005-01-07,LONG,138.79,137.05,568.45,-990.65,30
2005-01-07,2005-02-10,SHORT,137.05,136.28,-475.1,364.54,34
2005-02-10,2005-04-25,LONG,136.28,137.34,426.97,451.42,74
2005-04-25,2005-06-30,SHORT,137.34,134.01,-508.93,1693.38,66
2005-06-30,2005-12-16,LONG,134.01,138.89,412.08,2009.78,169
2005-12-16,2006-01-24,SHORT,138.89,141.125,-413.08,-924.4,39
2006-01-24,2006-02-24,LONG,141.125,138.74,480.01,-1146.16,31
2006-02-24,2006-03-13,SHORT,138.74,142.01,-465.86,-1524.69,17
2006-03-13,2007-03-01,LONG,142.01,155.0,424.83,5517.19,353
2007-03-01,2007-04-03,SHORT,155.0,158.36,-391.47,-1316.59,33
2007-04-03,2007-07-26,LONG,158.36,162.83,378.6,1691.11,114
2007-07-26,2007-09-18,SHORT,162.83,162.05,-405.73,315.16,54
2007-09-18,2007-11-12,LONG,162.05,159.2,258.99,-738.93,55
2007-11-12,2007-12-10,SHORT,159.2,164.46,-244.53,-1287.05,28
2007-12-10,2008-01-02,LONG,164.46,160.76,270.87,-1003.1,23
2008-01-02,2008-02-25,SHORT,160.76,160.26,-323.87,160.89,54
2008-02-25,2008-03-14,LONG,160.26,154.62,367.03,-2071.18,18
2008-03-14,2008-04-02,SHORT,154.62,160.37,-253.69,-1459.52,19
2008-04-02,2008-08-26,LONG,160.37,160.5,180.98,22.95,146
2008-08-26,2008-12-18,SHORT,160.5,127.96,-264.73,8613.5,114
2008-12-18,2009-01-12,LONG,127.96,119.438,185.69,-1582.9,25
2009-01-12,2009-02-20,SHORT,119.438,120.67,-239.45,-295.59,39
2009-02-20,2009-04-27,LONG,120.67,125.64,203.08,1008.79,66
2009-04-27,2009-05-08,SHORT,125.64,134.29,-227.19,-1965.77,11
2009-05-08,2009-07-08,LONG,134.29,128.74,229.15,-1272.37,61
2009-07-08,2009-08-03,SHORT,128.74,137.144,-234.64,-1972.58,26
2009-08-03,2009-09-01,LONG,137.144,131.697,383.64,-2090.7,29
2009-09-01,2009-09-21,SHORT,131.697,135.15,-522.19,-1804.52,20
2009-09-21,2009-09-28,LONG,135.15,131.392,765.01,-2876.94,7
2009-09-28,2009-10-15,SHORT,131.392,135.867,-599.71,-2685.31,17
2009-10-15,2009-11-26,LONG,135.867,127.45,515.61,-4341.17,42
2009-11-26,2010-03-31,SHORT,127.45,126.36,-260.32,283.09,125
2010-03-31,2010-04-27,LONG,126.36,122.66,309.07,-1144.31,27
2010-04-27,2010-07-27,SHORT,122.66,114.084,-248.19,2127.95,91
2010-07-27,2010-08-12,LONG,114.084,109.36,261.61,-1236.42,16
2010-08-12,2010-10-04,SHORT,109.36,114.83,-274.28,-1500.93,53
2010-10-04,2010-10-20,LONG,114.83,112.007,256.72,-725.29,16
2010-10-20,2011-01-21,SHORT,112.007,111.704,-325.0,97.75,93
2011-01-21,2011-03-17,LONG,111.704,109.837,276.78,-517.35,55
2011-03-17,2011-03-30,SHORT,109.837,116.31,-237.62,-1538.69,13
2011-03-30,2011-05-09,LONG,116.31,115.8,176.84,-90.6,40
2011-05-09,2012-01-26,SHORT,115.8,101.936,-221.19,3066.08,262
2012-01-26,2012-04-09,LONG,101.936,106.382,329.0,1462.02,74
2012-04-09,2012-09-14,SHORT,106.382,100.9,-255.74,1401.44,158
2012-09-14,2013-02-26,LONG,100.9,120.72,451.31,8943.95,165
2013-02-26,2013-04-08,SHORT,120.72,128.313,-201.66,-1531.75,41
2013-04-08,2013-06-07,LONG,128.313,128.862,182.14,99.52,60
2013-06-07,2013-07-19,SHORT,128.862,131.806,-249.94,-736.47,42
2013-07-19,2013-08-12,LONG,131.806,128.121,324.64,-1197.14,24
2013-08-12,2013-08-23,SHORT,128.121,132.071,-310.6,-1227.68,11
2013-08-23,2013-10-08,LONG,132.071,131.27,316.95,-254.71,46
2013-10-08,2013-11-20,SHORT,131.27,135.897,-341.06,-1579.03,43
2013-11-20,2014-01-27,LONG,135.897,139.669,344.63,1298.99,68
2014-01-27,2014-03-07,SHORT,139.669,142.842,-347.8,-1104.57,39
2014-03-07,2014-07-18,LONG,142.842,136.815,304.93,-1838.62,133
2014-07-18,2014-09-03,SHORT,136.815,138.194,-639.84,-884.1,47
2014-09-03,2014-10-13,LONG,138.194,135.649,646.69,-1647.58,40
2014-10-13,2014-11-03,SHORT,135.649,141.096,-403.28,-2197.8,21
2014-11-03,2015-01-05,LONG,141.096,143.84,270.79,742.27,63
2015-01-05,2015-05-18,SHORT,143.84,136.583,-384.1,2786.34,133
2015-05-18,2015-06-29,LONG,136.583,134.536,231.68,-474.88,42
2015-06-29,2015-12-04,SHORT,134.536,133.904,-260.98,164.24,158
2015-12-04,2016-01-01,LONG,133.904,130.592,356.94,-1183.13,28
2016-01-01,2016-11-23,SHORT,130.592,118.04,-451.72,5668.86,327
2016-11-23,2017-02-27,LONG,118.04,118.364,408.81,131.49,96
2017-02-27,2017-05-04,SHORT,118.364,122.819,-483.99,-2157.35,66
2017-05-04,2018-02-09,LONG,122.819,133.044,305.83,3126.29,281
2018-02-09,2018-07-10,SHORT,133.044,130.46,-297.8,768.74,151
2018-07-10,2018-08-06,LONG,130.46,128.587,445.46,-835.5,27
2018-08-06,2018-09-14,SHORT,128.587,130.974,-452.6,-1081.55,39
2018-09-14,2018-10-19,LONG,130.974,128.48,349.71,-873.07,35
2018-10-19,2019-02-26,SHORT,128.48,126.226,-428.48,964.71,130
2019-02-26,2019-05-06,LONG,126.226,123.736,651.01,-1622.62,69
2019-05-06,2019-12-13,SHORT,123.736,122.403,-595.25,792.01,221
2019-12-13,2020-01-27,LONG,122.403,119.93,692.18,-1713.43,45
2020-01-27,2020-05-29,SHORT,119.93,119.24,-507.69,349.1,123
2020-05-29,2021-08-18,LONG,119.24,128.237,411.92,3705.0,446
2021-08-18,2021-10-14,SHORT,128.237,131.406,-787.6,-2497.97,57
2021-10-14,2021-11-16,LONG,131.406,129.67,457.05,-794.63,33
2021-11-16,2021-12-24,SHORT,129.67,129.655,-509.96,6.33,38
2021-12-24,2022-01-21,LONG,129.655,128.938,466.74,-335.86,28
2022-01-21,2022-03-23,SHORT,128.938,133.847,-457.61,-2247.61,61
2022-03-23,2022-08-02,LONG,133.847,134.982,227.81,257.95,132
2022-08-02,2022-09-01,SHORT,134.982,139.852,-217.5,-1059.86,30
2022-09-01,2023-07-28,LONG,139.852,152.411,267.9,3363.79,330
2023-07-28,2023-08-31,SHORT,152.411,159.688,-250.58,-1824.29,34
2023-08-31,2023-12-04,LONG,159.688,159.367,381.11,-123.55,95
