Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2004-01-12,2004-01-13,LONG,196.8,196.35,281.46,-127.77,1
2004-01-13,2004-01-21,SHORT,196.35,195.76,-278.86,163.43,8
2004-01-21,2004-01-23,LONG,195.76,195.03,195.43,-143.43,2
2004-01-23,2004-02-09,SHORT,195.03,196.8,-190.99,-338.81,17
2004-02-09,2004-03-10,LONG,196.8,199.94,260.8,817.86,30
2004-03-10,2004-05-07,SHORT,199.94,200.95,-173.17,-175.6,58
2004-05-07,2004-05-11,LONG,200.95,198.76,216.19,-474.32,4
2004-05-11,2004-05-12,SHORT,198.76,200.3,-205.84,-317.82,1
2004-05-12,2004-05-20,LONG,200.3,200.14,193.76,-31.78,8
2004-05-20,2004-05-21,SHORT,200.14,201.03,-190.14,-169.99,1
2004-05-21,2004-05-31,LONG,201.03,200.63,189.51,-76.56,10
2004-05-31,2004-06-01,SHORT,200.63,203.22,-225.63,-585.3,1
2004-06-01,2004-06-11,LONG,203.22,199.93,226.73,-746.84,10
2004-06-11,2004-06-14,SHORT,199.93,201.37,-200.67,-289.77,3
2004-06-14,2004-06-15,LONG,201.37,200.55,197.35,-162.62,1
2004-06-15,2004-07-06,SHORT,200.55,201.37,-191.97,-158.19,21
2004-07-06,2004-07-20,LONG,201.37,200.96,231.12,-95.69,14
2004-07-20,2004-07-21,SHORT,200.96,202.1,-268.69,-307.39,1
2004-07-21,2004-08-17,LONG,202.1,200.91,273.56,-326.64,27
2004-08-17,2004-09-28,SHORT,200.91,201.85,-292.36,-276.0,42
2004-09-28,2004-09-29,LONG,201.85,199.82,298.37,-606.88,1
2004-09-29,2004-12-08,SHORT,199.82,201.51,-276.16,-467.82,70
2004-12-08,2004-12-22,LONG,201.51,199.3,302.12,-668.89,14
2004-12-22,2005-02-14,SHORT,199.3,198.34,-276.75,264.58,54
2005-02-14,2005-02-15,LONG,198.34,198.1,340.38,-83.04,1
2005-02-15,2005-02-16,SHORT,198.1,198.69,-335.09,-199.04,1
2005-02-16,2005-03-09,LONG,198.69,199.92,331.53,406.45,21
2005-03-09,2005-03-11,SHORT,199.92,200.55,-345.43,-219.0,2
2005-03-11,2005-03-15,LONG,200.55,199.93,342.13,-213.49,4
2005-03-15,2005-03-16,SHORT,199.93,200.79,-353.6,-305.52,1
2005-03-16,2005-03-21,LONG,200.79,199.39,366.37,-514.38,5
2005-03-21,2005-03-29,SHORT,199.39,201.29,-376.3,-716.49,8
2005-03-29,2005-04-27,LONG,201.29,201.54,353.69,87.0,29
2005-04-27,2005-04-28,SHORT,201.54,202.26,-404.94,-293.2,1
2005-04-28,2005-04-29,LONG,202.26,199.67,415.56,-1077.96,1
2005-04-29,2005-06-27,SHORT,199.67,199.88,-361.58,-77.38,59
2005-06-27,2005-06-30,LONG,199.88,198.39,365.81,-546.5,3
2005-06-30,2005-08-08,SHORT,198.39,199.96,-368.25,-579.62,39
2005-08-08,2005-08-10,LONG,199.96,198.71,273.0,-342.33,2
2005-08-10,2005-08-31,SHORT,198.71,199.53,-310.73,-256.04,21
2005-08-31,2005-09-15,LONG,199.53,199.86,424.94,138.53,15
2005-09-15,2005-09-16,SHORT,199.86,201.29,-285.27,-409.08,1
2005-09-16,2005-09-22,LONG,201.29,199.95,276.44,-371.54,6
2005-09-22,2005-10-04,SHORT,199.95,201.04,-276.27,-302.24,12
2005-10-04,2005-10-07,LONG,201.04,200.47,341.25,-195.88,3
2005-10-07,2005-10-13,SHORT,200.47,200.84,-373.96,-139.87,6
2005-10-13,2005-12-15,LONG,200.84,205.27,409.69,1813.23,63
2005-12-15,2006-01-26,SHORT,205.27,207.16,-226.67,-429.34,42
2006-01-26,2006-02-07,LONG,207.16,205.53,296.56,-484.61,12
2006-02-07,2006-02-21,SHORT,205.53,207.36,-266.43,-488.67,14
2006-02-21,2006-02-22,LONG,207.36,206.43,229.73,-214.6,1
2006-02-22,2006-04-12,SHORT,206.43,207.32,-232.78,-208.14,49
2006-04-12,2006-04-24,LONG,207.32,204.77,314.48,-803.23,12
2006-04-24,2006-04-28,SHORT,204.77,207.68,-306.48,-893.14,4
2006-04-28,2006-05-01,LONG,207.68,207.22,271.11,-125.83,3
2006-05-01,2006-05-02,SHORT,207.22,208.46,-267.6,-332.94,1
2006-05-02,2006-05-08,LONG,208.46,207.47,261.38,-259.85,6
2006-05-08,2006-05-11,SHORT,207.47,208.17,-216.14,-152.2,3
2006-05-11,2006-05-15,LONG,208.17,207.62,223.63,-123.92,4
2006-05-15,2006-05-17,SHORT,207.62,208.77,-236.51,-272.97,2
2006-05-17,2006-09-07,LONG,208.77,218.33,231.01,2207.49,113
2006-09-07,2006-09-12,SHORT,218.33,220.92,-284.31,-737.62,5
2006-09-12,2007-01-04,LONG,220.92,230.82,275.41,2725.25,114
2007-01-04,2007-01-09,SHORT,230.82,231.29,-291.43,-138.32,5
2007-01-09,2007-01-10,LONG,231.29,230.88,278.67,-115.55,1
2007-01-10,2007-01-11,SHORT,230.88,233.96,-283.22,-873.66,1
2007-01-11,2007-02-05,LONG,233.96,235.68,247.12,423.87,25
2007-02-05,2007-02-06,SHORT,235.68,236.6,-253.87,-234.76,1
2007-02-06,2007-02-13,LONG,236.6,235.9,247.05,-174.1,7
2007-02-13,2007-02-14,SHORT,235.9,236.33,-198.53,-86.3,1
2007-02-14,2007-02-15,LONG,236.33,232.93,205.37,-699.22,1
2007-02-15,2007-02-21,SHORT,232.93,236.3,-188.8,-637.16,6
2007-02-21,2007-02-27,LONG,236.3,231.72,181.0,-829.83,6
2007-02-27,2007-04-06,SHORT,231.72,236.75,-163.94,-825.41,38
2007-04-06,2007-04-09,LONG,236.75,233.86,226.62,-655.98,3
2007-04-09,2007-04-11,SHORT,233.86,235.72,-216.43,-403.57,2
2007-04-11,2007-05-10,LONG,235.72,237.17,215.4,311.3,29
2007-05-10,2007-05-11,SHORT,237.17,238.17,-286.4,-287.76,1
2007-05-11,2007-06-07,LONG,238.17,239.04,285.56,247.07,27
2007-06-07,2007-06-08,SHORT,239.04,239.5,-326.75,-151.87,1
2007-06-08,2007-07-26,LONG,239.5,242.53,297.6,900.28,48
2007-07-26,2008-07-18,SHORT,242.53,213.73,-212.83,6128.68,358
2008-07-18,2008-08-01,LONG,213.73,212.33,257.21,-361.18,14
2008-08-01,2008-08-06,SHORT,212.33,213.22,-224.57,-200.83,5
2008-08-06,2008-08-07,LONG,213.22,212.45,263.55,-204.05,1
2008-08-07,2009-04-03,SHORT,212.45,148.81,-273.48,17403.52,239
2009-04-03,2009-04-07,LONG,148.81,148.36,177.19,-80.26,4
2009-04-07,2009-04-13,SHORT,148.36,148.5,-167.0,-23.87,6
2009-04-13,2009-04-14,LONG,148.5,147.51,184.34,-183.04,1
2009-04-14,2009-04-15,SHORT,147.51,148.844,-190.53,-254.73,1
2009-04-15,2009-04-16,LONG,148.844,148.16,181.59,-124.75,1
2009-04-16,2009-05-01,SHORT,148.16,147.85,-183.32,56.29,15
2009-05-01,2009-05-11,LONG,147.85,147.568,167.4,-47.7,10
2009-05-11,2009-05-18,SHORT,147.568,147.83,-191.02,-50.61,7
2009-05-18,2009-07-06,LONG,147.83,154.81,182.64,1274.25,49
2009-07-06,2009-07-23,SHORT,154.81,156.77,-210.89,-414.01,17
2009-07-23,2009-07-24,LONG,156.77,155.74,184.51,-190.62,1
2009-07-24,2009-07-27,SHORT,155.74,156.85,-198.17,-220.6,3
2009-07-27,2009-07-28,LONG,156.85,154.86,206.47,-411.51,1
2009-07-28,2009-07-30,SHORT,154.86,157.75,-229.36,-663.57,2
2009-07-30,2009-08-14,LONG,157.75,156.85,266.19,-240.41,15
2009-08-14,2009-08-18,SHORT,156.85,157.36,-372.99,-191.4,4
