Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2004-01-09,2004-03-16,LONG,196.4,197.02,239.56,147.58,67
2004-03-16,2004-05-04,SHORT,197.02,196.73,-165.81,47.43,49
2004-05-04,2004-06-23,LONG,196.73,196.55,238.15,-43.8,50
2004-06-23,2004-07-15,SHORT,196.55,203.37,-226.73,-1547.2,22
2004-07-15,2004-08-18,LONG,203.37,199.5,257.06,-995.85,34
2004-08-18,2004-09-23,SHORT,199.5,198.95,-282.09,154.03,36
2004-09-23,2004-10-19,LONG,198.95,195.41,305.76,-1083.59,26
2004-10-19,2004-11-10,SHORT,195.41,197.51,-388.02,-816.37,22
2004-11-10,2004-11-17,LONG,197.51,193.44,355.77,-1449.35,7
2004-11-17,2004-12-01,SHORT,193.44,198.16,-328.11,-1550.0,14
2004-12-01,2004-12-31,LONG,198.16,196.71,290.81,-422.82,30
2004-12-31,2005-02-10,SHORT,196.71,197.69,-283.77,-279.22,41
2005-02-10,2005-03-23,LONG,197.69,198.07,325.12,122.26,41
2005-03-23,2005-04-04,SHORT,198.07,203.19,-353.13,-1809.47,12
2005-04-04,2005-04-29,LONG,203.19,199.67,334.32,-1178.14,25
2005-04-29,2005-06-15,SHORT,199.67,199.05,-352.68,217.26,47
2005-06-15,2005-07-07,LONG,199.05,195.11,370.47,-1461.08,22
2005-07-07,2005-08-01,SHORT,195.11,198.42,-325.87,-1079.92,25
2005-08-01,2005-12-22,LONG,198.42,202.61,274.79,1150.24,143
2005-12-22,2006-01-24,SHORT,202.61,205.18,-201.47,-518.6,33
2006-01-24,2006-02-27,LONG,205.18,202.11,292.35,-898.7,34
2006-02-27,2006-04-13,SHORT,202.11,207.76,-234.72,-1327.16,45
2006-04-13,2007-02-15,LONG,207.76,232.93,313.79,7896.72,308
2007-02-15,2007-04-03,SHORT,232.93,234.43,-200.69,-301.97,47
2007-04-03,2007-07-26,LONG,234.43,242.53,224.05,1813.7,114
2007-07-26,2007-10-01,SHORT,242.53,236.7,-236.2,1375.94,67
2007-10-01,2007-11-12,LONG,236.7,225.14,177.14,-2048.49,42
2007-11-12,2008-04-18,SHORT,225.14,206.03,-144.56,2762.03,158
2008-04-18,2008-08-12,LONG,206.03,207.08,161.71,169.13,116
2008-08-12,2009-01-06,SHORT,207.08,139.211,-265.98,18050.74,147
2009-01-06,2009-01-13,LONG,139.211,129.686,187.19,-1783.46,7
