Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1995-02-14,1995-02-17,LONG,482.5502,481.9698,175.66,-103.64,3
1995-02-17,1995-02-21,SHORT,481.9698,482.7202,-169.52,-128.84,4
1995-02-21,1995-02-27,LONG,482.7202,483.8098,175.82,189.87,6
1995-02-27,1995-02-28,SHORT,483.8098,487.3902,-183.25,-657.91,1
1995-02-28,1995-03-07,LONG,487.3902,482.1198,172.81,-912.46,7
1995-03-07,1995-03-10,SHORT,482.1198,489.5702,-144.83,-1080.43,3
1995-03-10,1995-05-18,LONG,489.5702,519.5798,136.84,4105.24,69
1995-05-18,1995-05-22,SHORT,519.5798,523.6502,-129.15,-527.04,4
1995-05-22,1995-05-26,LONG,523.6502,523.6498,121.14,-1.32,4
1995-05-26,1995-05-31,SHORT,523.6498,533.4002,-121.57,-1186.67,5
1995-05-31,1995-06-09,LONG,533.4002,527.9398,105.01,-574.49,9
1995-06-09,1995-06-12,SHORT,527.9398,530.8802,-95.06,-280.52,3
1995-06-12,1995-08-11,LONG,530.8802,555.1098,95.51,2313.09,60
1995-08-11,1995-08-14,SHORT,555.1098,559.7402,-125.86,-584.18,3
1995-08-14,1995-10-09,LONG,559.7402,578.3698,126.09,2347.61,56
1995-10-09,1995-10-12,SHORT,578.3698,583.1002,-124.53,-590.52,3
1995-10-12,1995-10-25,LONG,583.1002,582.4698,124.46,-79.91,13
1995-10-25,1995-10-30,SHORT,582.4698,583.2502,-126.27,-100.02,5
1995-10-30,1995-10-31,LONG,583.2502,581.4998,115.37,-203.29,1
1995-10-31,1995-11-01,SHORT,581.4998,584.2202,-110.22,-301.12,1
1995-11-01,1995-12-18,LONG,584.2202,606.8098,110.67,2498.76,47
1995-12-18,1995-12-19,SHORT,606.8098,611.9302,-115.53,-593.0,1
1995-12-19,1995-12-20,LONG,611.9302,605.9398,106.91,-641.72,1
1995-12-20,1995-12-21,SHORT,605.9398,610.4902,-98.92,-451.33,1
1995-12-21,1996-01-09,LONG,610.4902,609.4498,96.06,-101.11,19
1996-01-09,1996-01-19,SHORT,609.4498,611.8302,-96.22,-230.21,10
1996-01-19,1996-02-29,LONG,611.8302,640.4298,75.27,2151.76,41
1996-02-29,1996-03-01,SHORT,640.4298,644.3702,-65.91,-260.56,1
1996-03-01,1996-03-08,LONG,644.3702,633.4998,64.61,-703.17,7
1996-03-08,1996-03-18,SHORT,633.4998,652.6502,-53.9,-1032.86,10
1996-03-18,1996-04-08,LONG,652.6502,644.2398,56.02,-471.86,21
1996-04-08,1996-04-22,SHORT,644.2398,647.8902,-85.56,-313.44,14
1996-04-22,1996-05-02,LONG,647.8902,643.3798,80.08,-362.24,10
1996-05-02,1996-05-10,SHORT,643.3798,652.0902,-97.18,-847.71,8
1996-05-10,1996-06-18,LONG,652.0902,662.0598,76.24,759.05,39
1996-06-18,1996-06-21,SHORT,662.0598,666.8402,-86.02,-412.36,3
1996-06-21,1996-06-26,LONG,666.8402,664.3898,90.03,-221.8,5
1996-06-26,1996-06-27,SHORT,664.3898,668.5502,-97.52,-407.03,1
1996-06-27,1996-07-05,LONG,668.5502,657.4398,102.07,-1135.37,8
1996-07-05,1996-08-02,SHORT,657.4398,662.4902,-91.69,-464.3,28
1996-08-02,1996-08-29,LONG,662.4902,657.3998,49.14,-250.81,27
1996-08-29,1996-09-09,SHORT,657.3998,663.7602,-107.1,-682.6,11
1996-09-09,1996-10-25,LONG,663.7602,700.9198,83.37,3096.99,46
1996-10-25,1996-10-31,SHORT,700.9198,705.2702,-89.16,-389.16,6
1996-10-31,1996-12-04,LONG,705.2702,745.0998,87.19,3471.57,34
1996-12-04,1996-12-09,SHORT,745.0998,749.7602,-75.69,-353.9,5
1996-12-09,1996-12-11,LONG,749.7602,740.7298,65.65,-593.81,2
1996-12-11,1996-12-19,SHORT,740.7298,745.7602,-60.19,-303.66,8
1996-12-19,1996-12-31,LONG,745.7602,740.7398,46.51,-234.18,12
1996-12-31,1997-01-03,SHORT,740.7398,748.0302,-52.62,-384.43,3
1997-01-03,1997-03-13,LONG,748.0302,789.5598,54.79,2274.47,69
1997-03-13,1997-03-17,SHORT,789.5598,795.7102,-53.96,-332.72,4
1997-03-17,1997-03-18,LONG,795.7102,789.6598,52.54,-318.71,1
1997-03-18,1997-04-29,SHORT,789.6598,794.0502,-53.48,-235.67,42
1997-04-29,1997-08-12,LONG,794.0502,926.5298,46.7,6185.68,105
1997-08-12,1997-08-20,SHORT,926.5298,939.3502,-43.34,-556.4,8
1997-08-20,1997-08-21,LONG,939.3502,925.0498,35.04,-501.74,1
1997-08-21,1997-09-04,SHORT,925.0498,930.8702,-34.59,-201.97,14
1997-09-04,1997-09-10,LONG,930.8702,919.0298,34.59,-410.14,6
1997-09-10,1997-09-16,SHORT,919.0298,945.6402,-38.16,-1016.15,6
1997-09-16,1997-10-17,LONG,945.6402,944.1598,35.97,-53.92,31
1997-10-17,1997-10-20,SHORT,944.1598,955.6102,-43.91,-503.65,3
1997-10-20,1997-10-24,LONG,955.6102,941.6398,42.12,-589.18,4
