Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1995-02-02,1996-01-10,LONG,472.7902,598.4798,160.37,20154.49,342
1996-01-10,1996-01-30,SHORT,598.4798,630.1502,-105.52,-3343.08,20
1996-01-30,1996-03-08,LONG,630.1502,633.4998,111.0,370.41,38
1996-03-08,1996-05-13,SHORT,633.4998,661.5102,-61.15,-1713.73,66
1996-05-13,1996-06-18,LONG,661.5102,662.0598,82.29,44.14,36
1996-06-18,1996-08-07,SHORT,662.0598,664.1602,-98.38,-207.93,50
1996-08-07,1996-12-16,LONG,664.1602,720.9798,73.55,4178.1,131
1996-12-16,1997-01-10,SHORT,720.9798,759.5002,-60.39,-2327.1,25
1997-01-10,1997-03-27,LONG,759.5002,773.8798,65.28,937.74,76
1997-03-27,1997-04-29,SHORT,773.8798,794.0502,-55.67,-1123.83,33
1997-04-29,1997-08-15,LONG,794.0502,900.8098,52.97,5654.49,108
1997-08-15,1997-09-16,SHORT,900.8098,945.6402,-42.72,-1915.76,32
1997-09-16,1997-10-27,LONG,945.6402,876.9898,40.72,-2796.32,41
1997-10-27,1997-11-21,SHORT,876.9898,963.0902,-32.46,-2795.09,25
1997-11-21,1998-04-27,LONG,963.0902,1086.5398,40.73,5027.2,157
1998-04-27,1998-06-24,SHORT,1086.5398,1132.8802,-45.76,-2121.5,58
1998-06-24,1998-08-03,LONG,1132.8802,1112.4397,38.83,-794.62,40
1998-08-03,1998-10-30,SHORT,1112.4397,1098.6702,-34.01,467.49,88
1998-10-30,1999-05-24,LONG,1098.6702,1306.6498,29.83,6202.49,206
1999-05-24,1999-06-21,SHORT,1306.6498,1349.0002,-28.69,-1215.77,28
1999-06-21,1999-07-30,LONG,1349.0002,1328.7198,34.05,-691.54,39
1999-07-30,1999-08-25,SHORT,1328.7198,1381.7902,-33.14,-1759.55,26
1999-08-25,1999-09-23,LONG,1381.7902,1280.4098,31.61,-3205.73,29
1999-09-23,1999-10-28,SHORT,1280.4098,1342.4401,-28.69,-1780.32,35
1999-10-28,2000-01-28,LONG,1342.4401,1360.1598,23.41,414.1,92
2000-01-28,2000-03-16,SHORT,1360.1598,1458.4702,-22.33,-2196.07,48
2000-03-16,2000-04-14,LONG,1458.4702,1356.5599,17.14,-1747.2,29
2000-04-14,2000-06-02,SHORT,1356.5599,1477.2602,-14.09,-1700.66,49
2000-06-02,2000-07-28,LONG,1477.2602,1419.8898,17.7,-1015.84,56
2000-07-28,2000-08-21,SHORT,1419.8898,1499.4802,-28.76,-2289.85,24
2000-08-21,2000-09-15,LONG,1499.4802,1465.8099,30.73,-1035.53,25
2000-09-15,2001-01-23,SHORT,1465.8099,1360.4002,-32.12,3385.17,130
2001-01-23,2001-02-16,LONG,1360.4002,1301.5298,20.89,-1230.11,24
2001-02-16,2001-04-12,SHORT,1301.5298,1183.5002,-28.66,3382.12,55
2001-04-12,2001-06-14,LONG,1183.5002,1219.8698,18.59,675.55,63
2001-06-14,2001-11-06,SHORT,1219.8698,1118.8602,-32.6,3292.65,145
2001-11-06,2001-12-13,LONG,1118.8602,1119.3798,28.04,13.94,37
2001-12-13,2002-03-01,SHORT,1119.3798,1131.7802,-34.91,-433.74,78
2002-03-01,2002-04-03,LONG,1131.7802,1125.3998,32.13,-205.71,33
2002-04-03,2002-08-15,SHORT,1125.3998,930.2502,-42.33,8259.93,134
2002-08-15,2002-09-18,LONG,930.2502,869.4598,21.2,-1288.95,34
2002-09-18,2002-10-21,SHORT,869.4598,899.7202,-28.83,-873.02,33
2002-10-21,2002-12-19,LONG,899.7202,884.2498,21.73,-336.61,59
2002-12-19,2003-01-06,SHORT,884.2498,929.0102,-36.8,-1647.75,18
2003-01-06,2003-01-24,LONG,929.0102,861.3998,39.28,-2656.18,18
2003-01-24,2003-03-17,SHORT,861.3998,862.7902,-36.53,-51.43,52
2003-03-17,2003-08-05,LONG,862.7902,965.4598,34.07,3497.22,141
2003-08-05,2003-09-02,SHORT,965.4598,1021.9902,-41.25,-2332.85,28
2003-09-02,2004-03-10,LONG,1021.9902,1123.8898,56.35,5740.71,190
2004-03-10,2004-06-07,SHORT,1123.8898,1140.4202,-58.18,-963.0,89
2004-06-07,2004-07-06,LONG,1140.4202,1116.2098,54.58,-1322.71,29
2004-07-06,2004-09-02,SHORT,1116.2098,1118.3103,-62.54,-132.76,58
2004-09-02,2005-01-20,LONG,1118.3103,1175.4098,61.05,3484.6,140
2005-01-20,2005-02-04,SHORT,1175.4098,1203.0302,-53.73,-1485.25,15
2005-02-04,2005-03-22,LONG,1203.0302,1171.7098,60.25,-1888.44,46
2005-03-22,2005-05-18,SHORT,1171.7098,1185.5603,-54.66,-758.37,57
2005-05-18,2005-06-27,LONG,1185.5603,1190.6897,45.72,233.42,40
2005-06-27,2005-07-12,SHORT,1190.6897,1222.2102,-66.69,-2103.86,15
2005-07-12,2005-08-16,LONG,1222.2102,1219.3398,55.61,-160.98,35
2005-08-16,2005-09-09,SHORT,1219.3398,1241.4802,-57.53,-1275.08,24
2005-09-09,2005-10-05,LONG,1241.4802,1196.3898,55.84,-2519.27,26
2005-10-05,2005-11-02,SHORT,1196.3898,1214.7602,-49.63,-912.95,28
2005-11-02,2005-12-30,LONG,1214.7602,1248.2898,39.23,1314.31,58
2005-12-30,2006-01-06,SHORT,1248.2898,1285.4502,-68.25,-2538.13,7
2006-01-06,2006-02-07,LONG,1285.4502,1254.7798,59.95,-1840.13,32
2006-02-07,2006-02-16,SHORT,1254.7798,1289.3802,-52.78,-1827.48,9
2006-02-16,2006-05-17,LONG,1289.3802,1270.3197,52.38,-999.74,90
2006-05-17,2006-08-16,SHORT,1270.3197,1295.4303,-47.27,-1188.11,91
2006-08-16,2007-02-27,LONG,1295.4303,1399.0398,40.96,4242.68,195
2007-02-27,2007-04-05,SHORT,1399.0398,1443.7602,-41.61,-1862.09,37
2007-04-05,2007-06-07,LONG,1443.7602,1490.7198,41.78,1960.85,63
2007-06-07,2007-07-12,SHORT,1490.7198,1547.7002,-42.47,-2421.18,35
2007-07-12,2007-07-26,LONG,1547.7002,1482.6598,32.61,-2122.11,14
2007-07-26,2007-09-18,SHORT,1482.6598,1519.7802,-27.78,-1032.07,54
2007-09-18,2007-10-19,LONG,1519.7802,1500.6298,23.81,-456.61,31
2007-10-19,2007-12-10,SHORT,1500.6298,1515.9602,-32.35,-496.85,52
2007-12-10,2008-01-04,LONG,1515.9602,1411.6298,23.02,-2402.47,25
2008-01-04,2008-04-01,SHORT,1411.6298,1370.1803,-25.29,1047.74,88
2008-04-01,2008-05-23,LONG,1370.1803,1375.9299,16.16,92.45,52
2008-05-23,2008-08-08,SHORT,1375.9299,1296.3201,-28.76,2288.94,77
2008-08-08,2008-09-04,LONG,1296.3201,1236.8298,22.72,-1352.0,27
2008-09-04,2009-01-02,SHORT,1236.8298,931.8002,-25.96,7918.14,120
2009-01-02,2009-01-14,LONG,931.8002,842.6198,22.59,-2015.12,12
2009-01-14,2009-03-23,SHORT,842.6198,822.9202,-26.5,521.64,68
2009-03-23,2009-07-07,LONG,822.9202,881.0298,18.39,1068.4,106
2009-07-07,2009-07-15,SHORT,881.0298,932.6802,-34.13,-1763.23,8
2009-07-15,2010-01-22,LONG,932.6802,1091.7598,32.56,5179.44,191
2010-01-22,2010-03-01,SHORT,1091.7598,1115.7102,-39.64,-950.37,38
2010-03-01,2010-05-04,LONG,1115.7102,1173.5998,40.42,2338.66,64
2010-05-04,2010-07-23,SHORT,1173.5998,1102.6602,-33.1,2347.66,80
2010-07-23,2010-08-24,LONG,1102.6602,1051.8698,29.31,-1489.24,32
2010-08-24,2010-09-13,SHORT,1051.8698,1121.9002,-36.67,-2569.06,20
2010-09-13,2011-03-15,LONG,1121.9002,1281.8698,35.29,5643.95,183
2011-03-15,2011-04-01,SHORT,1281.8698,1332.4102,-31.08,-1571.59,17
2011-04-01,2011-05-23,LONG,1332.4102,1317.3698,36.59,-551.24,52
2011-05-23,2011-06-30,SHORT,1317.3698,1320.6402,-37.21,-122.68,38
2011-06-30,2011-07-29,LONG,1320.6402,1292.2798,35.32,-1002.72,29
2011-07-29,2011-10-14,SHORT,1292.2798,1224.5802,-35.08,2374.1,77
2011-10-14,2011-11-21,LONG,1224.5802,1192.9798,19.85,-627.77,38
2011-11-21,2012-01-03,SHORT,1192.9798,1277.0603,-23.8,-2001.71,43
2012-01-03,2012-04-10,LONG,1277.0603,1358.5898,32.99,2688.98,98
2012-04-10,2012-06-15,SHORT,1358.5898,1342.8402,-40.38,634.89,66
2012-06-15,2012-10-12,LONG,1342.8402,1428.5898,29.64,2541.13,119
2012-10-12,2012-12-11,SHORT,1428.5898,1427.8402,-45.58,32.86,60
2012-12-11,2013-02-25,LONG,1427.8402,1487.8498,50.39,3022.35,76
2013-02-25,2013-03-05,SHORT,1487.8498,1539.7902,-46.97,-2441.22,8
2013-03-05,2013-06-05,LONG,1539.7902,1608.8998,38.25,2641.93,92
2013-06-05,2013-07-11,SHORT,1608.8998,1675.0202,-32.02,-2118.36,36
2013-07-11,2013-08-15,LONG,1675.0202,1661.3197,33.77,-463.83,35
2013-08-15,2013-09-16,SHORT,1661.3197,1697.6002,-47.01,-1707.12,32
2013-09-16,2013-10-08,LONG,1697.6002,1655.4498,40.79,-1720.68,22
2013-10-08,2013-10-17,SHORT,1655.4498,1733.1502,-40.19,-3123.88,9
2013-10-17,2014-01-24,LONG,1733.1502,1790.2898,30.46,1739.44,99
2014-01-24,2014-02-24,SHORT,1790.2898,1847.6102,-36.87,-2114.79,31
2014-02-24,2014-04-10,LONG,1847.6102,1833.0798,33.64,-489.99,45
2014-04-10,2014-05-12,SHORT,1833.0798,1896.6502,-28.52,-1814.19,32
2014-05-12,2014-07-31,LONG,1896.6502,1930.6698,36.75,1248.91,80
2014-07-31,2014-08-21,SHORT,1930.6698,1992.3702,-35.8,-2210.2,21
2014-08-21,2014-09-25,LONG,1992.3702,1965.9898,34.49,-911.32,35
2014-09-25,2014-10-30,SHORT,1965.9898,1994.6502,-33.95,-974.39,35
2014-10-30,2014-12-10,LONG,1994.6502,2026.1398,18.45,580.11,41
2014-12-10,2014-12-23,SHORT,2026.1398,2082.1701,-36.05,-2021.39,13
2014-12-23,2015-03-11,LONG,2082.1701,2040.2398,20.25,-849.87,78
2015-03-11,2015-04-23,SHORT,2040.2398,2112.9301,-34.52,-2510.68,43
2015-04-23,2015-06-08,LONG,2112.9301,2079.2798,29.26,-985.89,46
2015-06-08,2015-10-15,SHORT,2079.2798,2023.8602,-34.76,1925.1,129
2015-10-15,2015-12-11,LONG,2023.8602,2012.3698,18.69,-215.51,57
2015-12-11,2016-02-25,SHORT,2012.3698,1951.7002,-20.52,1244.08,76
2016-02-25,2016-06-24,LONG,1951.7002,2037.4098,16.51,1414.7,120
2016-06-24,2016-07-08,SHORT,2037.4098,2129.9001,-24.13,-2232.97,14
2016-07-08,2016-09-09,LONG,2129.9001,2127.8099,17.63,-37.6,63
2016-09-09,2016-11-09,SHORT,2127.8099,2163.2602,-33.03,-1172.44,61
2016-11-09,2017-03-21,LONG,2163.2602,2344.0198,25.3,4572.03,132
2017-03-21,2017-04-25,SHORT,2344.0198,2388.6103,-37.77,-1685.79,35
2017-04-25,2017-08-10,LONG,2388.6103,2438.2098,29.62,1467.65,107
2017-08-10,2017-09-11,SHORT,2438.2098,2488.1103,-42.17,-2106.2,32
2017-09-11,2018-02-05,LONG,2488.1103,2648.9397,33.45,5378.38,147
2018-02-05,2018-05-10,SHORT,2648.9397,2723.0703,-17.03,-1263.74,94
2018-05-10,2018-10-10,LONG,2723.0703,2785.6797,16.69,1043.9,153
2018-10-10,2019-01-16,SHORT,2785.6797,2616.1003,-20.71,3510.32,98
2019-01-16,2019-05-13,LONG,2616.1003,2811.8699,13.59,2660.22,117
2019-05-13,2019-06-18,SHORT,2811.8699,2917.7502,-16.34,-1730.96,36
2019-06-18,2019-08-01,LONG,2917.7502,2953.5599,19.99,714.7,44
2019-08-01,2019-09-05,SHORT,2953.5599,2976.0002,-22.8,-513.05,35
2019-09-05,2019-10-02,LONG,2976.0002,2887.6099,14.73,-1302.45,27
2019-10-02,2019-10-25,SHORT,2887.6099,3022.5502,-18.77,-2533.86,23
2019-10-25,2020-02-25,LONG,3022.5502,3128.2098,21.78,2300.37,123
2020-02-25,2020-04-09,SHORT,3128.2098,2789.8203,-13.78,4662.11,44
2020-04-09,2020-09-21,LONG,2789.8203,3281.0599,5.06,2485.36,165
2020-09-21,2020-10-08,SHORT,3281.0599,3446.8303,-7.97,-1322.32,17
2020-10-08,2020-10-28,LONG,3446.8303,3271.0298,10.01,-1760.17,20
2020-10-28,2020-11-09,SHORT,3271.0298,3550.5002,-11.2,-3132.12,12
2020-11-09,2021-03-04,LONG,3550.5002,3768.4698,8.04,1751.87,115
2021-03-04,2021-03-15,SHORT,3768.4698,3968.9401,-9.71,-1948.21,11
2021-03-15,2021-05-12,LONG,3968.9401,4063.0398,8.07,758.29,58
2021-05-12,2021-06-10,SHORT,4063.0398,4239.1804,-13.28,-2341.11,29
2021-06-10,2021-09-20,LONG,4239.1804,4357.7298,19.93,2361.5,102
2021-09-20,2021-10-18,SHORT,4357.7298,4486.4602,-14.09,-1814.85,28
2021-10-18,2021-11-30,LONG,4486.4602,4566.9998,10.19,819.71,43
2021-11-30,2021-12-27,SHORT,4566.9998,4791.1901,-11.85,-2657.91,27
2021-12-27,2022-01-20,LONG,4791.1901,4482.7298,8.81,-2718.74,24
2022-01-20,2022-03-18,SHORT,4482.7298,4463.1203,-8.13,158.78,57
2022-03-18,2022-04-22,LONG,4463.1203,4271.7796,5.9,-1129.83,35
2022-04-22,2022-07-20,SHORT,4271.7796,3959.9001,-7.5,2337.15,89
2022-07-20,2022-08-26,LONG,3959.9001,4057.6597,7.76,757.91,37
2022-08-26,2022-10-25,SHORT,4057.6597,3859.1103,-9.21,1826.97,60
2022-10-25,2022-12-15,LONG,3859.1103,3895.7498,6.41,234.52,51
2022-12-15,2023-01-23,SHORT,3895.7498,4019.8103,-7.97,-988.94,39
2023-01-23,2023-03-09,LONG,4019.8103,3918.3199,9.27,-941.4,45
2023-03-09,2023-03-31,SHORT,3918.3199,4109.3103,-10.22,-1953.62,22
2023-03-31,2023-08-15,LONG,4109.3103,4437.8597,8.82,2898.28,137
2023-08-15,2023-11-10,SHORT,4437.8597,4415.2404,-11.83,266.48,87
2023-11-10,2024-04-15,LONG,4415.2404,5061.8196,11.16,7216.58,157
2024-04-15,2024-05-09,SHORT,5061.8196,5214.0803,-10.06,-1533.37,24
2024-05-09,2024-07-24,LONG,5214.0803,5427.1297,10.57,2250.25,76
2024-07-24,2024-08-19,SHORT,5427.1297,5608.2502,-10.31,-1868.74,26
2024-08-19,2025-01-10,LONG,5608.2502,5827.0398,5.78,1265.0,144
2025-01-10,2025-01-22,SHORT,5827.0398,6086.3703,-7.07,-1833.82,12
2025-01-22,2025-02-27,LONG,6086.3703,5861.5696,7.89,-1774.41,36
2025-02-27,2025-05-02,SHORT,5861.5696,5686.6701,-9.1,1591.2,64
2025-05-02,2025-11-18,LONG,5686.6701,6617.3196,5.24,4874.18,200
2025-11-18,2025-12-05,SHORT,6617.3196,6870.4001,-7.26,-1838.16,17
2025-12-05,2026-03-13,LONG,6870.4001,6632.1897,7.0,-1667.79,98
2026-03-13,2026-04-09,SHORT,6632.1897,6824.6604,-5.99,-1153.38,27
