Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1995-08-04,1995-09-01,SHORT,558.9398,563.8402,-48.04,-235.95,28
1995-09-01,1996-01-12,LONG,563.8402,601.8098,50.89,1931.52,133
1996-01-12,1996-01-19,SHORT,601.8098,611.8302,-46.56,-467.16,7
1996-01-19,1996-07-12,LONG,611.8302,646.1898,45.3,1556.04,175
1996-07-12,1996-08-02,SHORT,646.1898,662.4902,-33.19,-541.47,21
1996-08-02,1997-04-04,LONG,662.4902,757.8998,27.29,2602.94,245
1997-04-04,1997-04-18,SHORT,757.8998,766.3402,-22.87,-193.36,14
1997-04-18,1998-01-09,LONG,766.3402,927.6898,21.46,3462.23,266
1998-01-09,1998-01-16,SHORT,927.6898,961.5102,-14.74,-498.78,7
1998-01-16,1998-08-07,LONG,961.5102,1089.4498,14.24,1821.34,203
1998-08-07,1998-10-30,SHORT,1089.4498,1098.6702,-15.18,-140.28,84
1998-10-30,1999-09-24,LONG,1098.6702,1277.3598,10.51,1877.68,329
1999-09-24,1999-10-08,SHORT,1277.3598,1336.0202,-11.32,-664.59,14
1999-10-08,1999-10-15,LONG,1336.0202,1247.4098,11.34,-1004.84,7
1999-10-15,1999-10-22,SHORT,1247.4098,1301.6502,-10.54,-571.82,7
1999-10-22,2000-10-13,LONG,1301.6502,1374.1698,10.16,736.43,357
2000-10-13,2000-10-20,SHORT,1374.1698,1396.9303,-10.33,-235.51,7
2000-10-20,2000-11-10,LONG,1396.9303,1365.9798,9.67,-299.45,21
2000-11-10,2001-05-04,SHORT,1365.9798,1266.6102,-9.24,918.14,175
2001-05-04,2001-05-11,LONG,1266.6102,1245.6698,9.04,-189.62,7
2001-05-11,2001-05-18,SHORT,1245.6698,1291.9602,-9.38,-434.32,7
2001-05-18,2001-06-15,LONG,1291.9602,1214.3598,9.38,-727.79,28
2001-06-15,2002-11-22,SHORT,1214.3598,930.5502,-10.05,2852.28,525
2002-11-22,2002-12-06,LONG,930.5502,912.2298,11.34,-207.97,14
2002-12-06,2003-01-10,SHORT,912.2298,927.5702,-11.47,-176.14,35
2003-01-10,2003-01-17,LONG,927.5702,901.7798,12.95,-334.12,7
2003-01-17,2003-05-02,SHORT,901.7798,930.0802,-13.06,-369.77,105
2003-05-02,2004-04-30,LONG,930.0802,1107.2998,13.9,2463.68,364
2004-04-30,2004-05-28,SHORT,1107.2998,1120.6803,-21.29,-285.29,28
2004-05-28,2004-07-09,LONG,1120.6803,1112.8099,20.74,-163.73,42
2004-07-09,2004-09-03,SHORT,1112.8099,1113.6302,-23.3,-19.63,56
2004-09-03,2004-09-24,LONG,1113.6302,1110.1098,22.02,-78.01,21
2004-09-24,2004-10-01,SHORT,1110.1098,1131.5002,-23.89,-511.48,7
2004-10-01,2004-10-15,LONG,1131.5002,1108.1998,23.29,-543.29,14
2004-10-15,2004-10-29,SHORT,1108.1998,1130.2002,-23.25,-512.13,14
2004-10-29,2005-04-15,LONG,1130.2002,1142.6198,22.03,273.12,168
2005-04-15,2005-05-06,SHORT,1142.6198,1171.3502,-21.45,-616.73,21
2005-05-06,2005-05-13,LONG,1171.3502,1154.0498,21.57,-373.68,7
2005-05-13,2005-05-20,SHORT,1154.0498,1189.2802,-21.08,-743.19,7
2005-05-20,2006-06-23,LONG,1189.2802,1244.4998,20.3,1120.53,399
2006-06-23,2006-06-30,SHORT,1244.4998,1270.2002,-19.42,-499.62,7
2006-06-30,2006-07-14,LONG,1270.2002,1236.1998,18.85,-641.27,14
2006-07-14,2006-07-28,SHORT,1236.1998,1278.5502,-18.49,-783.7,14
2006-07-28,2007-03-02,LONG,1278.5502,1387.1698,17.58,1908.66,217
2007-03-02,2007-03-09,SHORT,1387.1698,1402.8402,-20.56,-322.78,7
2007-03-09,2007-03-16,LONG,1402.8402,1386.9498,20.0,-318.44,7
2007-03-16,2007-03-23,SHORT,1386.9498,1436.1102,-19.06,-937.77,7
2007-03-23,2007-07-27,LONG,1436.1102,1458.9498,17.88,407.75,126
2007-07-27,2007-08-24,SHORT,1458.9498,1479.3702,-14.94,-305.48,28
2007-08-24,2007-09-07,LONG,1479.3702,1453.5498,12.13,-313.56,14
2007-09-07,2007-09-14,SHORT,1453.5498,1484.2502,-11.97,-367.81,7
2007-09-14,2007-11-09,LONG,1484.2502,1453.6998,11.84,-361.97,56
2007-11-09,2007-11-30,SHORT,1453.6998,1481.1402,-11.17,-306.8,21
2007-11-30,2007-12-14,LONG,1481.1402,1467.9498,10.6,-140.13,14
2007-12-14,2007-12-21,SHORT,1467.9498,1484.4602,-10.52,-174.04,7
2007-12-21,2007-12-28,LONG,1484.4602,1478.4898,10.52,-63.15,7
2007-12-28,2009-04-17,SHORT,1478.4898,869.6002,-10.88,6625.72,476
2009-04-17,2010-05-21,LONG,869.6002,1087.6897,8.35,1820.76,399
2010-05-21,2010-06-18,SHORT,1087.6897,1117.5102,-12.96,-386.73,28
