Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1995-06-02,1998-08-28,LONG,532.5102,1027.1398,57.09,28237.19,1183
1998-08-28,1998-11-27,SHORT,1027.1398,1192.3302,-15.72,-2597.81,91
1998-11-27,1999-10-15,LONG,1192.3302,1247.4098,13.29,731.58,322
1999-10-15,1999-11-19,SHORT,1247.4098,1422.0002,-12.16,-2123.46,35
1999-11-19,2001-02-23,LONG,1422.0002,1245.8598,11.85,-2086.71,462
2001-02-23,2003-05-16,SHORT,1245.8598,944.3002,-10.39,3131.91,812
2003-05-16,2004-08-06,LONG,944.3002,1063.9698,16.95,2028.42,448
2004-08-06,2004-11-05,SHORT,1063.9698,1166.1702,-24.5,-2504.24,91
2004-11-05,2005-04-15,LONG,1166.1702,1142.6198,23.6,-556.39,161
2005-04-15,2005-07-22,SHORT,1142.6198,1233.6803,-23.99,-2185.5,98
2005-07-22,2008-01-11,LONG,1233.6803,1401.0198,25.71,4302.26,903
2008-01-11,2009-06-05,SHORT,1401.0198,940.0902,-12.48,5751.92,511
2009-06-05,2010-07-02,LONG,940.0902,1022.5798,11.39,938.97,392
2010-07-02,2010-10-08,SHORT,1022.5798,1165.1502,-13.79,-1965.79,98
2010-10-08,2011-08-05,LONG,1165.1502,1199.3798,16.3,557.43,301
2011-08-05,2012-01-20,SHORT,1199.3798,1315.3802,-14.42,-1673.13,168
2012-01-20,2014-10-17,LONG,1315.3802,1886.7598,12.53,7160.93,1001
2014-10-17,2014-11-07,SHORT,1886.7598,2031.9202,-16.05,-2329.92,21
2014-11-07,2015-08-21,LONG,2031.9202,1970.8898,14.61,-892.32,287
2015-08-21,2016-07-08,SHORT,1970.8898,2129.9001,-12.83,-2040.0,322
2016-07-08,2018-10-26,LONG,2129.9001,2658.6897,11.44,6048.11,840
2018-10-26,2019-03-15,SHORT,2658.6897,2822.4802,-10.1,-1655.11,140
2019-03-15,2020-03-13,LONG,2822.4802,2711.0198,7.92,-883.04,364
2020-03-13,2020-08-07,SHORT,2711.0198,3351.2802,-5.04,-3227.68,147
2020-08-07,2022-05-13,LONG,3351.2802,4023.8897,4.55,3062.9,644
2022-05-13,2023-02-03,SHORT,4023.8897,4136.4802,-3.82,-430.53,266
2023-02-03,2023-10-27,LONG,4136.4802,4117.3699,4.07,-78.18,266
2023-10-27,2023-12-15,SHORT,4117.3699,4719.1901,-5.7,-3431.45,49
2023-12-15,2025-03-14,LONG,4719.1901,5638.9397,5.75,5287.77,455
2025-03-14,2025-06-27,SHORT,5638.9397,6173.07,-3.94,-2103.54,105
2025-06-27,2026-03-20,LONG,6173.07,6506.4798,3.13,1042.9,266
2026-03-20,2026-04-17,SHORT,6506.4798,7126.0603,-3.96,-2452.4,28
2026-04-17,2026-05-29,LONG,7126.0603,7580.0601,3.19,1448.78,42
