Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1996-01-12,1996-01-19,SHORT,601.8098,611.8302,-44.0,-441.44,7
1996-01-19,1996-07-19,LONG,611.8302,638.7298,44.19,1188.18,182
1996-07-19,1996-08-02,SHORT,638.7298,662.4902,-29.95,-711.92,14
1996-08-02,1996-12-13,LONG,662.4902,728.6398,26.02,1720.92,133
1996-12-13,1996-12-20,SHORT,728.6398,748.8702,-28.73,-581.72,7
1996-12-20,1997-03-28,LONG,748.8702,773.8798,27.14,678.46,98
1997-03-28,1997-05-02,SHORT,773.8798,812.9702,-21.6,-844.62,35
1997-05-02,1997-08-15,LONG,812.9702,900.8098,18.07,1586.96,105
1997-08-15,1997-08-22,SHORT,900.8098,923.5402,-18.58,-422.71,7
1997-08-22,1997-08-29,LONG,923.5402,899.4698,17.24,-415.18,7
1997-08-29,1997-09-05,SHORT,899.4698,929.0502,-16.68,-493.77,7
1997-09-05,1997-10-31,LONG,929.0502,914.6198,15.83,-228.67,56
1997-10-31,1997-11-07,SHORT,914.6198,927.5102,-13.05,-168.48,7
1997-11-07,1998-01-09,LONG,927.5102,927.6898,12.8,2.06,63
1998-01-09,1998-01-16,SHORT,927.6898,961.5102,-12.83,-434.1,7
1998-01-16,1998-05-29,LONG,961.5102,1090.8197,12.06,1559.29,133
1998-05-29,1998-06-05,SHORT,1090.8197,1113.8602,-17.05,-393.27,7
1998-06-05,1998-06-12,LONG,1113.8602,1098.8398,16.47,-247.82,7
1998-06-12,1998-06-26,SHORT,1098.8398,1133.2002,-15.69,-539.62,14
1998-06-26,1998-07-31,LONG,1133.2002,1120.6698,14.87,-186.65,35
1998-07-31,1998-10-30,SHORT,1120.6698,1098.6702,-14.29,313.99,91
1998-10-30,1999-08-06,LONG,1098.6702,1300.2898,8.19,1651.31,280
1999-08-06,1999-08-13,SHORT,1300.2898,1327.6803,-10.92,-299.32,7
1999-08-13,1999-09-24,LONG,1327.6803,1277.3598,10.52,-529.69,42
1999-09-24,1999-10-08,SHORT,1277.3598,1336.0202,-10.43,-612.31,14
1999-10-08,1999-10-15,LONG,1336.0202,1247.4098,10.78,-955.58,7
1999-10-15,1999-10-22,SHORT,1247.4098,1301.6502,-9.6,-521.19,7
1999-10-22,2000-01-28,LONG,1301.6502,1360.1598,9.02,527.79,98
2000-01-28,2000-02-04,SHORT,1360.1598,1424.3702,-9.86,-633.1,7
2000-02-04,2000-02-11,LONG,1424.3702,1387.1198,9.89,-368.66,7
2000-02-11,2000-03-17,SHORT,1387.1198,1464.4702,-9.52,-736.69,35
2000-03-17,2000-04-14,LONG,1464.4702,1356.5599,7.6,-819.91,28
2000-04-14,2000-04-21,SHORT,1356.5599,1434.5402,-5.87,-458.26,7
2000-04-21,2000-05-12,LONG,1434.5402,1420.9598,5.58,-75.96,21
2000-05-12,2000-06-02,SHORT,1420.9598,1477.2602,-5.55,-312.73,21
2000-06-02,2000-07-28,LONG,1477.2602,1419.8898,5.29,-303.88,56
2000-07-28,2000-08-04,SHORT,1419.8898,1462.9303,-8.62,-371.14,7
2000-08-04,2000-09-29,LONG,1462.9303,1436.5098,8.94,-236.57,56
