Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1995-06-02,1998-08-28,LONG,532.5102,1027.1398,52.1,25766.66,1183
1998-08-28,1998-11-27,SHORT,1027.1398,1192.3302,-14.55,-2403.15,91
1998-11-27,1999-10-15,LONG,1192.3302,1247.4098,10.66,586.76,322
1999-10-15,1999-11-19,SHORT,1247.4098,1422.0002,-11.88,-2074.87,35
1999-11-19,2001-02-23,LONG,1422.0002,1245.8598,11.43,-2014.45,462
2001-02-23,2003-05-16,SHORT,1245.8598,944.3002,-10.1,3044.2,812
2003-05-16,2004-08-06,LONG,944.3002,1063.9698,17.05,2039.87,448
2004-08-06,2004-11-05,SHORT,1063.9698,1166.1702,-24.99,-2554.42,91
2004-11-05,2005-04-15,LONG,1166.1702,1142.6198,22.92,-540.29,161
2005-04-15,2005-07-22,SHORT,1142.6198,1233.6803,-23.83,-2170.69,98
2005-07-22,2008-01-11,LONG,1233.6803,1401.0198,25.82,4320.38,903
2008-01-11,2009-06-05,SHORT,1401.0198,940.0902,-11.52,5310.01,511
2009-06-05,2010-07-02,LONG,940.0902,1022.5798,12.48,1029.2,392
2010-07-02,2010-10-08,SHORT,1022.5798,1165.1502,-12.1,-1725.56,98
2010-10-08,2011-08-05,LONG,1165.1502,1199.3798,17.1,584.92,301
2011-08-05,2012-01-20,SHORT,1199.3798,1315.3802,-13.74,-1594.03,168
2012-01-20,2014-10-17,LONG,1315.3802,1886.7598,12.88,7356.12,1001
2014-10-17,2014-11-07,SHORT,1886.7598,2031.9202,-15.52,-2253.28,21
2014-11-07,2015-08-21,LONG,2031.9202,1970.8898,13.88,-847.52,287
2015-08-21,2016-07-08,SHORT,1970.8898,2129.9001,-13.5,-2146.99,322
2016-07-08,2018-10-26,LONG,2129.9001,2658.6897,12.77,6753.95,840
2018-10-26,2019-03-15,SHORT,2658.6897,2822.4802,-10.72,-1757.23,140
2019-03-15,2020-03-13,LONG,2822.4802,2711.0198,7.41,-826.42,364
2020-03-13,2020-08-07,SHORT,2711.0198,3351.2802,-4.87,-3121.56,147
2020-08-07,2022-05-13,LONG,3351.2802,4023.8897,4.84,3257.71,644
2022-05-13,2023-02-03,SHORT,4023.8897,4136.4802,-3.51,-395.2,266
2023-02-03,2023-10-27,LONG,4136.4802,4117.3699,4.29,-82.37,266
2023-10-27,2023-12-15,SHORT,4117.3699,4719.1901,-5.81,-3494.9,49
2023-12-15,2025-03-14,LONG,4719.1901,5638.9397,5.56,5116.11,455
2025-03-14,2025-06-27,SHORT,5638.9397,6173.07,-3.67,-1958.65,105
2025-06-27,2026-03-20,LONG,6173.07,6506.4798,2.46,818.82,266
2026-03-20,2026-04-17,SHORT,6506.4798,7126.0603,-4.18,-2592.02,28
2026-04-17,2026-05-29,LONG,7126.0603,7580.0601,3.04,1381.6,42
