Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2000-09-28,2000-10-20,SHORT,30.3,34.3,-305.14,-1222.67,22
2000-12-01,2001-01-12,SHORT,32.05,30.05,-488.3,973.65,42
2001-01-12,2001-01-26,LONG,30.05,29.78,500.88,-138.23,14
2001-02-27,2001-03-23,SHORT,28.12,27.3,-612.14,498.61,24
2001-04-02,2001-04-04,SHORT,25.59,27.12,-539.0,-827.6,2
2001-04-10,2001-05-02,LONG,28.48,27.8,551.94,-378.4,22
2001-06-20,2001-07-25,SHORT,26.5,26.84,-587.12,-202.78,35
2001-08-07,2001-08-21,LONG,27.94,27.85,680.57,-65.06,14
2001-09-14,2001-09-24,LONG,29.53,22.01,618.54,-4654.17,10
2001-09-24,2001-10-22,SHORT,22.01,21.76,-389.63,95.7,28
2001-11-02,2001-12-04,SHORT,20.18,19.65,-624.02,328.27,32
2002-01-04,2002-01-10,LONG,21.62,20.38,504.29,-627.39,6
2002-01-17,2002-01-29,SHORT,18.04,19.57,-490.81,-752.88,12
2002-03-07,2002-04-12,LONG,23.78,23.45,557.31,-186.54,36
2002-04-12,2002-04-24,SHORT,23.45,26.43,-393.23,-1173.91,12
2002-05-14,2002-05-15,LONG,29.3,28.2,464.77,-513.88,1
2002-05-28,2002-06-28,SHORT,25.18,26.86,-445.68,-751.14,31
2002-08-14,2002-08-29,LONG,28.15,28.92,593.89,453.85,15
2002-10-21,2002-12-10,SHORT,28.38,27.75,-547.97,342.17,50
2002-12-10,2003-01-27,LONG,27.75,32.29,627.97,2846.92,48
2003-02-11,2003-03-06,LONG,35.44,37.0,459.12,712.83,23
2003-03-18,2003-04-03,SHORT,31.67,28.97,-269.47,726.0,16
2003-04-23,2003-06-02,SHORT,26.65,30.71,-354.54,-1441.63,40
2003-06-02,2003-06-26,LONG,30.71,29.01,481.95,-822.11,24
2003-09-04,2003-10-02,SHORT,28.98,29.84,-510.63,-442.2,28
2003-10-02,2003-10-30,LONG,29.84,28.47,644.45,-886.58,28
2003-10-30,2003-11-14,SHORT,28.47,32.37,-561.83,-2194.78,15
2003-11-14,2004-01-23,LONG,32.37,34.94,575.55,1475.12,70
2004-02-19,2004-02-24,LONG,36.0,34.58,413.79,-590.45,5
2004-02-27,2004-03-09,LONG,36.16,36.28,454.12,51.19,11
2004-04-01,2004-04-22,SHORT,34.27,36.71,-369.15,-903.44,21
2004-05-04,2004-05-25,LONG,38.98,41.14,419.44,902.53,21
2004-07-08,2004-08-30,LONG,40.33,42.28,374.13,726.38,53
2004-08-30,2004-09-08,SHORT,42.28,42.77,-303.34,-151.24,9
2004-09-22,2004-11-09,LONG,48.35,47.37,281.2,-278.25,48
2004-11-09,2005-01-05,SHORT,47.37,43.39,-248.75,987.85,57
2005-01-13,2005-02-14,LONG,48.04,47.44,249.98,-152.37,32
2005-02-22,2005-04-06,LONG,51.15,55.85,338.23,1585.88,43
2005-04-12,2005-05-10,SHORT,51.86,52.07,-245.28,-54.07,28
2005-05-12,2005-06-01,SHORT,48.54,54.6,-243.21,-1476.53,20
2005-06-01,2005-07-12,LONG,54.6,60.62,287.87,1729.46,41
2005-08-08,2005-09-26,LONG,63.94,65.82,312.78,583.91,49
2005-10-06,2005-10-27,SHORT,61.36,61.09,-195.68,50.44,21
2005-11-17,2005-11-28,SHORT,56.33,57.36,-288.91,-300.9,11
2006-01-03,2006-02-08,LONG,63.14,62.55,303.56,-182.9,36
2006-02-08,2006-03-09,SHORT,62.55,60.47,-271.55,561.54,29
2006-03-28,2006-05-15,LONG,66.07,69.41,268.39,892.69,48
2006-06-30,2006-07-25,LONG,73.98,73.75,346.06,-84.71,25
2006-08-17,2006-10-30,SHORT,70.06,58.36,-287.66,3362.23,74
2007-01-03,2007-02-02,SHORT,58.32,59.02,-331.4,-235.9,30
2007-02-02,2007-02-16,LONG,59.02,59.39,205.55,73.61,14
2007-03-26,2007-04-20,LONG,62.91,63.38,289.67,132.47,25
2007-06-07,2007-06-08,LONG,66.93,64.76,314.89,-687.39,1
2007-06-15,2007-06-27,LONG,68.0,68.97,305.95,292.54,12
2007-06-29,2007-08-21,LONG,70.68,69.47,303.32,-371.24,53
2007-08-21,2007-09-05,SHORT,69.47,75.73,-233.09,-1462.7,15
2007-09-05,2007-10-10,LONG,75.73,81.3,274.96,1527.06,35
2007-10-15,2007-11-30,LONG,86.13,88.71,218.87,560.81,46
2007-11-30,2007-12-20,SHORT,88.71,91.06,-147.27,-348.77,20
2007-12-27,2008-06-02,LONG,96.62,127.76,166.81,5190.33,158
2008-07-03,2008-07-17,LONG,145.29,129.29,109.54,-1755.4,14
2008-07-17,2008-12-29,SHORT,129.29,40.02,-91.51,8168.36,165
2009-02-26,2009-04-07,LONG,45.22,49.15,159.3,624.47,40
2009-05-06,2009-06-26,LONG,56.34,69.16,215.1,2754.6,51
2009-07-07,2009-08-03,SHORT,62.93,71.58,-187.21,-1622.03,27
2009-08-03,2009-08-11,LONG,71.58,69.45,201.01,-430.96,8
2009-10-15,2009-11-11,LONG,77.58,79.28,227.12,382.5,27
2009-11-13,2009-11-18,SHORT,76.35,79.58,-216.53,-702.85,5
2009-12-09,2010-01-04,SHORT,70.67,81.51,-200.78,-2179.72,26
2010-01-04,2010-01-27,LONG,81.51,73.67,277.26,-2177.8,23
2010-01-27,2010-02-18,SHORT,73.67,79.06,-265.44,-1434.93,22
2010-02-18,2010-02-26,LONG,79.06,79.66,190.51,111.27,8
2010-04-05,2010-04-13,LONG,86.62,84.05,275.1,-711.65,8
2010-05-06,2010-06-15,SHORT,77.11,76.94,-201.64,31.17,40
2010-06-15,2010-06-24,LONG,76.94,76.51,181.29,-80.73,9
2010-08-20,2010-09-09,SHORT,73.46,74.25,-286.64,-230.71,20
2010-09-30,2010-10-20,LONG,79.97,81.77,249.07,444.24,20
2010-11-04,2011-01-14,LONG,86.49,91.54,245.74,1236.46,71
2011-01-25,2011-02-22,SHORT,86.19,93.57,-259.87,-1922.7,28
2011-02-22,2011-05-05,LONG,93.57,99.8,198.76,1234.32,72
2011-05-05,2011-06-06,SHORT,99.8,99.01,-158.95,122.42,32
2011-06-15,2011-07-11,SHORT,94.81,95.15,-177.94,-63.89,26
2011-08-03,2011-09-07,SHORT,91.93,89.34,-201.51,518.3,35
2011-09-22,2011-10-18,SHORT,80.51,88.34,-162.13,-1272.36,26
2011-10-18,2011-12-14,LONG,88.34,94.95,159.81,1053.33,57
2011-12-14,2012-01-03,SHORT,94.95,102.96,-181.31,-1456.07,20
2012-01-03,2012-01-18,LONG,102.96,100.59,192.48,-460.05,15
2012-02-21,2012-03-14,LONG,105.84,105.43,238.99,-103.03,22
2012-03-29,2012-04-19,SHORT,102.78,102.27,-230.27,112.72,21
2012-05-04,2012-07-03,SHORT,98.49,87.66,-254.78,2754.84,60
2012-07-03,2012-07-27,LONG,87.66,90.13,166.69,408.73,24
2012-08-16,2012-09-19,LONG,95.6,91.98,240.34,-874.45,34
2012-09-19,2012-10-12,SHORT,91.98,91.86,-212.45,21.59,23
2012-10-23,2012-11-13,SHORT,86.67,85.38,-216.92,276.12,21
2012-12-26,2013-02-20,LONG,90.98,94.46,342.13,1184.15,56
2013-02-20,2013-03-20,SHORT,94.46,92.96,-320.16,474.28,28
2013-03-26,2013-04-11,LONG,96.34,93.51,342.86,-976.72,16
2013-04-12,2013-05-03,SHORT,91.29,95.61,-285.58,-1239.17,21
2013-05-03,2013-05-14,LONG,95.61,94.21,217.63,-308.79,11
2013-07-03,2013-08-07,LONG,101.24,104.37,253.37,787.75,35
2013-08-28,2013-09-03,LONG,110.1,108.54,256.51,-405.72,6
2013-10-21,2013-12-03,SHORT,99.22,96.04,-272.05,859.88,43
2013-12-03,2014-01-03,LONG,96.04,93.96,312.66,-656.22,31
2014-01-03,2014-01-29,SHORT,93.96,97.36,-392.27,-1341.38,26
2014-02-18,2014-03-10,LONG,102.43,101.12,323.51,-430.35,20
