Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2000-09-28,2000-10-09,SHORT,30.3,31.88,-305.14,-484.08,11
2000-11-14,2000-11-28,LONG,34.85,34.25,599.48,-363.81,14
2000-12-01,2000-12-18,SHORT,32.05,29.65,-490.13,1173.39,17
2000-12-20,2000-12-22,SHORT,25.67,26.18,-308.53,-158.97,2
2001-01-12,2001-01-23,LONG,30.05,29.57,502.93,-244.39,11
2001-02-27,2001-03-02,SHORT,28.12,27.84,-614.01,168.49,3
2001-03-20,2001-03-23,SHORT,25.9,27.3,-611.8,-859.88,3
2001-05-18,2001-05-24,LONG,29.91,28.41,636.55,-958.45,6
2001-06-27,2001-07-03,SHORT,25.61,26.24,-563.26,-357.82,6
2001-08-07,2001-08-08,LONG,27.94,27.54,675.09,-273.77,1
2001-09-14,2001-09-17,LONG,29.53,28.81,612.25,-444.36,3
2001-09-24,2001-10-08,SHORT,22.01,22.45,-402.92,-179.1,14
2001-11-02,2001-11-08,SHORT,20.18,21.17,-643.48,-639.78,6
2001-11-15,2001-11-16,SHORT,17.45,18.03,-450.78,-263.09,1
2001-12-26,2001-12-31,LONG,21.27,19.84,535.44,-767.82,5
2002-01-04,2002-01-07,LONG,21.62,21.48,509.26,-73.49,3
2002-01-17,2002-01-24,SHORT,18.04,19.72,-498.58,-839.58,7
2002-03-05,2002-03-25,LONG,23.17,25.02,581.1,1072.11,20
2002-03-27,2002-04-05,LONG,25.87,26.22,588.2,202.77,9
2002-04-12,2002-04-17,SHORT,23.45,25.92,-405.32,-1003.25,5
2002-05-14,2002-05-15,LONG,29.3,28.2,480.11,-530.84,1
2002-05-28,2002-06-11,SHORT,25.18,24.18,-460.39,458.16,14
2002-07-12,2002-07-15,LONG,27.47,27.07,623.95,-252.97,3
2002-08-15,2002-08-27,LONG,29.06,28.83,593.19,-139.86,12
2002-10-21,2002-10-23,SHORT,28.38,28.18,-568.29,110.44,2
2002-10-25,2002-11-18,SHORT,27.05,26.71,-579.42,193.9,24
2002-12-13,2002-12-31,LONG,28.44,31.2,671.37,1848.78,18
2003-01-21,2003-01-22,LONG,34.61,32.85,395.67,-698.98,1
2003-02-11,2003-02-21,LONG,35.44,35.58,467.06,62.06,10
2003-02-26,2003-02-27,LONG,37.7,37.2,372.06,-188.81,1
2003-03-18,2003-03-31,SHORT,31.67,31.04,-271.7,169.48,13
2003-04-28,2003-05-07,SHORT,25.49,26.23,-354.07,-263.88,9
2003-06-02,2003-06-04,LONG,30.71,30.05,489.15,-325.79,2
2003-06-06,2003-06-13,LONG,31.28,30.65,516.2,-328.38,7
2003-09-04,2003-09-24,SHORT,28.98,28.24,-519.24,381.29,20
2003-10-02,2003-10-17,LONG,29.84,30.68,661.08,551.24,15
2003-10-30,2003-11-05,SHORT,28.47,30.3,-585.26,-1074.59,6
2003-11-14,2003-11-21,LONG,32.37,31.61,607.34,-465.43,7
2004-01-12,2004-01-15,LONG,34.72,33.44,486.49,-625.98,3
2004-01-20,2004-01-21,LONG,36.2,34.58,429.33,-698.5,1
2004-02-19,2004-02-26,LONG,36.0,35.51,421.41,-209.49,7
2004-02-27,2004-03-02,LONG,36.16,36.66,464.45,228.81,4
2004-03-17,2004-03-18,LONG,38.18,37.93,423.39,-109.07,1
2004-04-01,2004-04-07,SHORT,34.27,36.15,-377.81,-713.02,6
2004-05-05,2004-05-18,LONG,39.57,40.54,429.13,412.76,13
2004-06-08,2004-06-10,SHORT,37.28,38.45,-280.26,-330.06,2
2004-07-08,2004-07-09,LONG,40.33,39.96,380.3,-143.76,1
2004-07-14,2004-07-20,LONG,40.97,40.86,373.52,-44.15,6
2004-07-28,2004-08-11,LONG,42.9,44.8,415.83,786.34,14
2004-08-12,2004-08-16,LONG,45.5,46.05,398.74,215.63,4
2004-08-18,2004-08-23,LONG,47.27,46.05,387.96,-476.89,5
2004-08-30,2004-09-09,SHORT,42.28,44.61,-306.97,-717.98,10
2004-09-22,2004-10-19,LONG,48.35,53.29,282.82,1394.09,27
2004-11-09,2004-11-10,SHORT,47.37,48.86,-254.76,-382.09,1
