Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2000-09-28,2000-11-14,SHORT,30.3,34.85,-305.14,-1390.54,47
2000-11-14,2000-12-01,LONG,34.85,32.05,594.02,-1667.08,17
2000-12-01,2001-01-12,SHORT,32.05,30.05,-479.21,955.52,42
2001-01-12,2001-02-27,LONG,30.05,28.12,491.55,-951.47,46
2001-02-27,2001-04-10,SHORT,28.12,28.48,-595.73,-217.87,42
2001-04-10,2001-06-20,LONG,28.48,26.5,537.72,-1067.55,71
2001-06-20,2001-08-07,SHORT,26.5,27.94,-567.85,-820.89,48
2001-08-07,2001-09-24,LONG,27.94,22.01,653.92,-3880.65,48
2001-09-24,2001-12-26,SHORT,22.01,21.27,-377.1,277.44,93
2001-12-26,2002-01-17,LONG,21.27,18.04,508.34,-1643.77,22
2002-01-17,2002-02-11,SHORT,18.04,21.32,-468.92,-1540.07,25
2002-02-11,2002-04-12,LONG,21.32,23.45,549.65,1168.16,60
2002-04-12,2002-05-08,SHORT,23.45,27.73,-377.92,-1619.59,26
2002-05-08,2002-05-28,LONG,27.73,25.18,457.44,-1168.78,20
2002-05-28,2002-07-12,SHORT,25.18,27.47,-422.62,-970.13,45
2002-07-12,2002-10-21,LONG,27.47,28.38,563.58,509.65,101
2002-10-21,2002-12-10,SHORT,28.38,27.75,-518.54,323.79,50
2002-12-10,2003-03-18,LONG,27.75,31.67,594.25,2325.67,98
2003-03-18,2003-06-02,SHORT,31.67,30.71,-252.04,240.4,76
2003-06-02,2003-09-02,LONG,30.71,29.41,455.45,-594.77,92
2003-09-02,2003-10-02,SHORT,29.41,29.84,-458.43,-199.87,30
2003-10-02,2003-10-30,LONG,29.84,28.47,611.8,-841.66,28
2003-10-30,2003-11-14,SHORT,28.47,32.37,-533.36,-2083.57,15
2003-11-14,2004-04-01,LONG,32.37,34.27,546.38,1034.38,139
2004-04-01,2004-05-04,SHORT,34.27,38.98,-351.06,-1656.25,33
2004-05-04,2004-06-08,LONG,38.98,37.28,395.16,-674.73,35
2004-06-08,2004-07-06,SHORT,37.28,39.65,-254.19,-604.46,28
2004-07-06,2004-08-30,LONG,39.65,42.28,357.6,937.46,55
2004-08-30,2004-09-22,SHORT,42.28,48.35,-279.54,-1699.53,23
2004-09-22,2004-11-09,LONG,48.35,47.37,254.32,-251.65,48
2004-11-09,2005-01-13,SHORT,47.37,48.04,-224.97,-152.9,65
2005-01-13,2005-04-12,LONG,48.04,51.86,223.24,850.44,89
2005-04-12,2005-06-01,SHORT,51.86,54.6,-217.92,-599.48,50
2005-06-01,2005-10-06,LONG,54.6,61.36,258.15,1741.9,127
2005-10-06,2006-01-03,SHORT,61.36,63.14,-174.8,-313.35,89
2006-01-03,2006-02-08,LONG,63.14,62.55,270.87,-163.21,36
2006-02-08,2006-03-24,SHORT,62.55,64.26,-242.32,-417.48,44
2006-03-24,2006-08-17,LONG,64.26,70.06,229.13,1325.71,146
2006-08-17,2006-11-29,SHORT,70.06,62.46,-255.75,1940.49,104
2006-11-29,2007-01-03,LONG,62.46,58.32,249.11,-1034.22,35
2007-01-03,2007-02-02,SHORT,58.32,59.02,-287.61,-204.73,30
2007-02-02,2007-08-21,LONG,59.02,69.47,178.38,1861.62,200
2007-08-21,2007-09-05,SHORT,69.47,75.73,-207.94,-1304.85,15
2007-09-05,2007-11-30,LONG,75.73,88.71,245.29,3179.48,86
2007-11-30,2007-12-27,SHORT,88.71,96.62,-133.36,-1057.44,27
2007-12-27,2008-07-17,LONG,96.62,129.29,149.79,4889.81,203
2008-07-17,2009-02-26,SHORT,129.29,45.22,-83.81,7044.95,224
2009-02-26,2009-04-20,LONG,45.22,45.88,145.25,94.53,53
2009-04-20,2009-05-04,SHORT,45.88,54.47,-166.42,-1431.35,14
2009-05-04,2009-07-06,LONG,54.47,64.05,197.82,1892.61,63
2009-07-06,2009-08-03,SHORT,64.05,71.58,-165.45,-1248.18,28
2009-08-03,2009-09-24,LONG,71.58,65.89,179.14,-1021.66,52
2009-09-24,2009-10-12,SHORT,65.89,73.27,-192.84,-1425.98,18
2009-10-12,2009-11-13,LONG,73.27,76.35,182.63,559.71,32
2009-11-13,2010-01-04,SHORT,76.35,81.51,-189.37,-980.22,52
2010-01-04,2010-01-27,LONG,81.51,73.67,246.43,-1935.65,23
2010-01-27,2010-02-18,SHORT,73.67,79.06,-235.93,-1275.38,22
2010-02-18,2010-05-05,LONG,79.06,79.97,169.33,151.38,76
2010-05-05,2010-06-15,SHORT,79.97,76.94,-195.87,590.47,41
2010-06-15,2010-08-20,LONG,76.94,73.46,163.31,-570.73,66
2010-08-20,2010-09-13,SHORT,73.46,77.19,-256.85,-962.01,24
2010-09-13,2011-01-25,LONG,77.19,86.19,209.9,1885.48,134
2011-01-25,2011-02-22,SHORT,86.19,93.57,-231.94,-1716.06,28
2011-02-22,2011-05-05,LONG,93.57,99.8,177.4,1101.66,72
2011-05-05,2011-10-18,SHORT,99.8,88.34,-141.86,1623.26,166
2011-10-18,2011-12-14,LONG,88.34,94.95,146.1,962.97,57
2011-12-14,2012-01-03,SHORT,94.95,102.96,-165.76,-1331.15,20
2012-01-03,2012-02-02,LONG,102.96,96.36,175.96,-1164.76,30
2012-02-02,2012-02-17,SHORT,96.36,103.24,-196.33,-1354.81,15
2012-02-17,2012-03-29,LONG,103.24,102.78,209.45,-100.65,41
2012-03-29,2012-05-01,SHORT,102.78,106.16,-205.8,-699.97,33
2012-05-01,2012-05-04,LONG,106.16,98.49,271.95,-2091.19,3
2012-05-04,2012-07-03,SHORT,98.49,87.66,-220.54,2384.55,60
2012-07-03,2012-09-19,LONG,87.66,91.98,144.29,620.67,78
2012-09-19,2012-12-26,SHORT,91.98,90.98,-185.96,182.58,98
2012-12-26,2013-02-20,LONG,90.98,94.46,299.24,1035.7,56
2013-02-20,2013-03-25,SHORT,94.46,94.81,-280.02,-103.32,33
2013-03-25,2013-04-12,LONG,94.81,91.29,300.42,-1062.97,18
2013-04-12,2013-05-03,SHORT,91.29,95.61,-247.82,-1075.35,21
2013-05-03,2013-09-23,LONG,95.61,103.59,188.86,1503.18,143
2013-09-23,2013-12-03,SHORT,103.59,96.04,-218.42,1644.88,71
2013-12-03,2014-01-03,LONG,96.04,93.96,278.26,-584.02,31
2014-01-03,2014-02-07,SHORT,93.96,99.88,-349.11,-2073.72,35
2014-02-07,2014-03-12,LONG,99.88,97.99,267.56,-510.93,33
2014-03-12,2014-04-08,SHORT,97.99,102.56,-247.94,-1138.18,27
2014-04-08,2014-07-09,LONG,102.56,102.29,295.24,-85.76,92
2014-07-09,2015-02-03,SHORT,102.29,53.05,-332.53,16370.15,209
2015-02-03,2015-03-12,LONG,53.05,47.05,175.28,-1053.32,37
2015-03-12,2015-04-07,SHORT,47.05,53.98,-248.97,-1728.08,26
2015-04-07,2015-07-06,LONG,53.98,52.53,197.18,-287.99,90
2015-07-06,2015-08-31,SHORT,52.53,49.2,-275.4,914.37,56
2015-08-31,2015-10-27,LONG,49.2,43.2,227.56,-1367.35,57
2015-10-27,2016-03-04,SHORT,43.2,35.92,-313.94,2283.25,129
2016-03-04,2016-06-16,LONG,35.92,46.21,262.82,2701.98,104
