Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2000-10-26,2000-11-15,SHORT,264.9,265.1,-252.71,-63.95,20
2001-01-04,2001-02-01,SHORT,267.3,268.5,-362.41,-454.37,28
2001-02-01,2001-02-08,LONG,268.5,260.1,400.08,-3381.51,7
2001-02-08,2001-03-07,SHORT,260.1,261.4,-242.71,-328.22,27
2001-03-09,2001-03-14,LONG,270.8,262.5,189.78,-1585.17,5
2001-04-02,2001-04-06,SHORT,255.6,260.0,-261.42,-1163.83,4
2001-04-19,2001-04-26,LONG,265.3,264.4,164.69,-156.93,7
2001-05-03,2001-07-02,LONG,266.3,269.4,250.72,763.72,60
2001-08-14,2001-08-27,LONG,276.3,272.6,201.42,-756.24,13
2001-09-19,2001-10-03,LONG,291.5,290.5,185.5,-196.28,14
2001-10-18,2001-11-05,SHORT,279.2,278.5,-173.21,111.59,18
2001-11-19,2001-11-30,SHORT,272.7,273.9,-393.04,-493.18,11
2001-12-18,2002-02-28,LONG,280.4,296.7,201.53,3273.05,72
2002-03-27,2002-05-15,LONG,302.2,308.7,281.75,1813.96,49
2002-05-21,2002-06-14,LONG,315.8,319.1,264.72,856.66,24
2002-07-26,2002-08-09,SHORT,303.4,314.2,-153.17,-1663.87,14
2002-09-05,2002-10-01,LONG,318.2,320.9,161.75,426.33,26
2002-10-15,2002-11-07,SHORT,312.6,320.5,-208.43,-1659.97,23
2002-11-07,2002-11-18,LONG,320.5,319.2,278.53,-379.88,11
2002-12-06,2003-02-18,LONG,326.3,344.2,188.33,3358.05,74
2003-02-18,2003-02-25,SHORT,344.2,352.3,-62.22,-508.4,7
2003-04-30,2003-06-19,LONG,339.1,361.3,156.23,3457.07,50
2003-06-26,2003-07-02,SHORT,343.9,351.3,-87.92,-656.77,6
2003-07-24,2003-08-08,LONG,362.2,356.3,650.21,-3882.6,15
2003-08-14,2003-10-03,LONG,366.0,369.4,115.93,385.59,50
2003-10-03,2003-10-08,SHORT,369.4,375.4,-112.89,-685.83,5
2003-10-24,2003-11-06,LONG,388.9,380.6,125.7,-1052.88,13
2003-11-12,2004-01-26,LONG,394.9,406.6,143.33,1665.31,75
2004-01-26,2004-02-18,SHORT,406.6,412.3,-550.11,-3180.99,23
2004-03-02,2004-03-09,SHORT,393.5,404.2,-95.2,-1026.39,7
2004-03-19,2004-04-12,LONG,412.5,420.1,138.5,1041.0,24
2004-04-14,2004-05-27,SHORT,399.8,394.9,-72.67,350.34,43
2004-05-27,2004-06-08,LONG,394.9,391.0,185.96,-739.79,12
