Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2000-10-26,2000-11-08,SHORT,264.9,265.0,-252.71,-38.67,13
2000-11-27,2000-11-29,LONG,270.1,266.4,636.04,-2387.25,2
2000-12-06,2000-12-08,LONG,274.3,272.2,248.25,-534.84,2
2001-01-10,2001-01-22,SHORT,264.7,266.4,-348.13,-610.37,12
2001-02-01,2001-02-02,LONG,268.5,267.1,387.61,-563.37,1
2001-02-15,2001-02-21,SHORT,255.1,258.2,-214.17,-675.0,6
2001-03-09,2001-03-12,LONG,270.8,271.6,188.54,140.59,3
2001-04-02,2001-04-05,SHORT,255.6,258.1,-264.47,-674.84,3
2001-04-16,2001-04-23,LONG,263.3,263.7,192.9,66.99,7
2001-05-02,2001-05-03,LONG,265.4,266.3,242.51,205.33,1
2001-05-09,2001-05-29,LONG,270.0,273.8,354.76,1328.63,20
2001-06-26,2001-06-27,LONG,276.2,272.1,153.2,-636.47,1
2001-08-09,2001-08-23,LONG,273.4,275.3,231.96,427.94,14
2001-09-14,2001-09-28,LONG,290.2,292.4,204.56,438.06,14
2001-10-18,2001-10-25,SHORT,279.2,277.8,-180.2,242.26,7
2001-11-15,2001-12-03,SHORT,275.1,276.9,-388.25,-720.36,18
2001-12-18,2001-12-19,LONG,280.4,275.5,209.49,-1038.05,1
2002-01-09,2002-01-18,LONG,283.4,283.1,241.98,-86.3,9
2002-02-04,2002-02-19,LONG,289.3,293.2,206.33,792.59,15
2002-03-15,2002-03-18,SHORT,289.9,292.1,-251.99,-569.12,3
2002-03-27,2002-04-08,LONG,302.2,300.5,280.04,-492.91,12
2002-04-25,2002-05-02,LONG,308.1,308.3,167.97,23.23,7
2002-05-22,2002-06-05,LONG,318.0,321.2,243.62,763.94,14
2002-07-02,2002-07-11,SHORT,312.8,317.2,-152.63,-681.25,9
2002-07-26,2002-08-07,SHORT,303.4,314.3,-147.46,-1616.59,12
2002-09-05,2002-09-11,LONG,318.2,316.6,155.69,-258.97,6
2002-09-24,2002-09-25,LONG,325.9,322.2,241.55,-909.31,1
2002-10-15,2002-10-22,SHORT,312.6,313.0,-197.2,-91.23,7
2002-10-24,2002-10-25,SHORT,310.7,313.4,-212.68,-587.56,1
2002-11-07,2002-11-13,LONG,320.5,318.7,266.09,-495.93,6
2002-12-05,2002-12-10,LONG,324.8,323.5,195.17,-266.36,5
2002-12-12,2003-01-02,LONG,331.4,346.1,142.95,2091.47,21
2003-01-16,2003-01-17,LONG,357.7,356.6,121.24,-142.01,1
2003-01-22,2003-02-06,LONG,359.7,370.1,154.42,1594.53,15
2003-02-18,2003-02-24,SHORT,344.2,356.3,-59.38,-722.79,6
2003-03-20,2003-03-31,SHORT,332.9,335.9,-121.71,-373.31,11
2003-04-30,2003-06-03,LONG,339.1,365.2,148.11,3854.94,34
2003-07-16,2003-07-18,SHORT,343.1,347.2,-338.78,-1412.53,2
2003-07-23,2003-08-01,LONG,358.6,346.1,603.75,-7588.67,9
2003-08-14,2003-08-18,LONG,366.0,358.4,104.93,-805.0,4
2003-09-05,2003-09-11,LONG,377.6,379.7,110.0,222.65,6
2003-09-22,2003-09-23,LONG,387.2,385.9,158.77,-218.66,1
2003-09-24,2003-09-25,LONG,387.5,385.0,153.53,-395.64,1
2003-10-03,2003-10-07,SHORT,369.4,377.2,-100.34,-790.22,4
2003-10-24,2003-10-28,LONG,388.9,383.2,111.49,-644.02,4
2003-11-14,2003-11-24,LONG,397.8,391.5,150.61,-960.62,10
2003-12-05,2003-12-16,LONG,406.4,407.7,97.68,119.01,11
2003-12-29,2004-01-14,LONG,414.8,421.7,103.51,705.47,16
2004-01-26,2004-01-28,SHORT,406.6,414.5,-480.27,-3833.96,2
2004-01-29,2004-01-30,SHORT,398.5,402.2,-149.11,-563.69,1
2004-03-02,2004-03-05,SHORT,393.5,401.3,-81.45,-641.89,3
2004-03-19,2004-04-02,LONG,412.5,421.6,118.86,1071.56,14
2004-04-14,2004-04-27,SHORT,399.8,398.6,-62.5,70.01,13
2004-04-28,2004-05-04,SHORT,385.4,391.4,-68.32,-415.26,6
2004-05-07,2004-05-17,SHORT,378.7,379.5,-82.11,-71.92,10
2004-05-18,2004-05-19,SHORT,375.8,382.9,-136.45,-979.26,1
2004-05-27,2004-06-03,LONG,394.9,388.1,156.52,-1076.51,7
2004-06-24,2004-06-29,LONG,403.1,392.5,89.62,-957.03,5
2004-07-23,2004-08-04,SHORT,390.5,392.2,-229.0,-407.28,12
2004-08-18,2004-08-24,LONG,404.3,403.0,88.02,-121.53,6
2004-09-23,2004-10-07,LONG,410.9,418.0,184.87,1297.13,14
2004-10-08,2004-10-12,LONG,423.1,415.1,113.89,-920.57,4
2004-11-11,2004-11-12,LONG,434.9,437.9,140.51,409.21,1
2004-11-16,2004-12-07,LONG,440.2,452.0,179.84,2105.84,21
2005-01-04,2005-01-18,SHORT,428.5,423.2,-112.86,588.61,14
2005-02-04,2005-02-11,SHORT,414.0,420.5,-121.08,-797.24,7
2005-02-22,2005-03-03,LONG,434.5,429.9,97.45,-456.66,9
2005-03-09,2005-03-14,LONG,442.1,441.1,141.57,-154.06,5
2005-03-23,2005-04-06,SHORT,425.2,427.1,-122.62,-243.46,14
2005-04-20,2005-04-21,LONG,435.3,433.0,109.93,-262.36,1
2005-04-26,2005-04-27,LONG,437.9,433.0,114.62,-571.57,1
2005-05-12,2005-05-26,SHORT,421.6,418.0,-171.55,603.23,14
2005-06-13,2005-07-14,LONG,429.3,419.6,108.04,-1057.01,31
2005-07-14,2005-07-19,SHORT,419.6,419.7,-141.32,-26.0,5
2005-08-01,2005-08-17,LONG,431.9,439.9,227.44,1799.53,16
2005-09-12,2005-09-30,LONG,449.7,469.0,212.88,4088.57,18
2005-10-07,2005-10-12,LONG,474.7,473.9,132.81,-118.84,5
2005-10-20,2005-10-21,SHORT,461.0,467.0,-91.7,-558.77,1
2005-11-16,2005-12-14,LONG,478.3,506.5,137.7,3869.12,28
2006-01-06,2006-01-18,LONG,539.7,543.7,59.39,231.09,12
2006-01-19,2006-01-23,LONG,558.4,558.3,87.41,-18.51,4
2006-01-25,2006-01-26,LONG,562.2,559.7,96.5,-252.05,1
2006-01-31,2006-02-07,LONG,570.8,551.0,107.41,-2138.56,7
2006-02-13,2006-02-17,SHORT,539.0,551.8,-46.08,-594.91,4
2006-03-29,2006-04-13,LONG,573.0,596.5,124.22,2904.27,15
2006-04-17,2006-05-15,LONG,615.4,683.6,47.16,3209.74,28
2006-06-01,2006-06-05,SHORT,627.6,643.2,-35.03,-550.9,4
2006-06-08,2006-06-22,SHORT,609.1,582.2,-31.01,830.43,14
2006-07-07,2006-07-18,LONG,632.8,628.3,53.57,-247.81,11
2006-08-18,2006-08-24,SHORT,612.1,619.5,-37.19,-279.79,6
2006-09-11,2006-09-12,SHORT,590.0,586.9,-56.86,169.58,1
2006-09-13,2006-09-22,SHORT,589.1,589.4,-61.53,-25.71,9
2006-11-01,2006-11-15,LONG,616.6,622.5,77.63,448.33,14
2006-11-28,2006-12-06,LONG,637.2,630.5,144.98,-989.65,8
2006-12-15,2006-12-20,SHORT,615.0,620.6,-55.01,-314.9,5
2007-01-05,2007-01-08,SHORT,604.9,607.5,-89.86,-244.56,3
2007-01-23,2007-02-02,LONG,645.2,646.2,97.89,85.23,10
2007-02-09,2007-02-15,LONG,667.5,667.3,56.67,-18.9,6
2007-02-21,2007-02-28,LONG,680.2,669.4,44.63,-487.96,7
2007-03-05,2007-03-06,SHORT,636.7,643.8,-41.18,-297.65,1
2007-04-04,2007-04-05,LONG,672.1,674.2,73.23,143.9,1
2007-04-13,2007-04-24,LONG,685.4,684.2,62.64,-83.74,11
2007-07-12,2007-07-17,LONG,666.7,664.7,98.19,-209.44,5
2007-07-18,2007-07-25,LONG,672.6,673.3,114.79,64.89,7
2007-09-04,2007-10-02,LONG,682.5,729.8,65.69,3097.32,28
2007-10-18,2007-11-12,LONG,764.1,805.8,56.23,2335.7,25
2007-12-28,2008-01-16,LONG,839.6,880.6,41.64,1700.1,19
2008-01-28,2008-01-29,LONG,927.1,925.1,31.65,-69.15,1
2008-02-21,2008-02-25,LONG,946.1,937.6,25.26,-219.47,4
2008-02-27,2008-03-06,LONG,958.2,975.0,30.21,501.63,8
2008-03-20,2008-03-25,SHORT,919.6,934.6,-22.75,-345.44,5
2008-04-01,2008-04-03,SHORT,882.9,905.0,-19.98,-445.26,2
2008-04-30,2008-05-08,SHORT,862.8,880.6,-29.25,-525.79,8
2008-05-21,2008-05-27,LONG,928.0,907.7,37.96,-777.39,6
2008-06-26,2008-07-03,LONG,913.1,931.9,27.55,512.87,7
2008-07-11,2008-07-16,LONG,959.5,961.8,28.78,60.65,5
2008-07-30,2008-08-21,SHORT,902.9,833.0,-31.5,2196.31,22
2008-09-10,2008-09-16,SHORT,757.9,776.5,-26.84,-503.38,6
2008-09-18,2008-09-19,LONG,892.7,860.6,19.83,-639.87,1
2008-10-21,2008-11-04,SHORT,766.1,756.0,-13.26,131.97,14
2008-11-21,2008-12-01,LONG,791.7,774.6,23.07,-398.04,10
2008-12-15,2008-12-30,LONG,835.4,869.3,20.3,684.63,15
2008-12-31,2009-01-02,LONG,883.6,878.8,22.2,-110.46,2
2009-01-14,2009-01-16,SHORT,808.2,839.3,-22.75,-711.31,2
2009-01-26,2009-02-03,LONG,908.5,892.0,21.01,-350.33,8
2009-02-11,2009-02-12,LONG,943.8,948.5,19.6,88.4,1
2009-02-17,2009-02-26,LONG,967.0,941.8,19.81,-503.07,9
2009-04-06,2009-04-13,SHORT,871.5,894.7,-17.89,-418.17,7
2009-05-13,2009-06-05,LONG,925.5,961.7,40.14,1445.3,23
2009-06-22,2009-06-24,SHORT,920.6,934.1,-27.53,-376.83,2
2009-07-20,2009-07-21,LONG,948.5,946.6,35.96,-75.13,1
2009-09-02,2009-09-18,LONG,976.6,1009.2,36.93,1196.35,16
2009-10-08,2009-10-22,LONG,1055.4,1057.8,33.57,73.46,14
2009-11-09,2009-12-04,LONG,1100.8001,1168.8,31.03,2102.92,25
2009-12-17,2009-12-23,SHORT,1106.8,1093.3001,-16.64,221.06,6
2010-01-11,2010-01-12,LONG,1150.7,1128.9,29.55,-650.97,1
2010-02-04,2010-02-08,SHORT,1062.4,1065.7,-24.38,-85.66,4
2010-03-03,2010-03-04,LONG,1142.7,1132.6,27.22,-281.07,1
2010-04-06,2010-04-16,LONG,1135.1,1136.3,39.76,38.68,10
2010-04-30,2010-05-19,LONG,1180.1,1192.6,36.0,441.45,19
2010-06-18,2010-06-21,LONG,1257.2,1239.6999,26.38,-468.18,3
2010-07-06,2010-07-13,SHORT,1194.8,1213.3001,-26.38,-494.49,7
2010-07-27,2010-07-30,SHORT,1158.0,1181.7,-39.57,-947.17,3
2010-08-12,2010-09-09,LONG,1214.8001,1248.9,34.95,1183.03,28
2010-09-14,2010-09-21,LONG,1269.7,1272.4,52.84,129.22,7
2010-09-22,2010-10-19,LONG,1290.2,1335.1,47.35,2113.24,27
2010-11-05,2010-11-12,LONG,1397.3001,1365.4,21.58,-694.19,7
2011-01-20,2011-01-24,SHORT,1346.5,1344.5,-27.55,47.69,4
2011-01-25,2011-01-31,SHORT,1332.3,1333.8001,-31.75,-56.09,6
2011-02-17,2011-03-08,LONG,1384.7,1426.9,32.07,1344.36,19
2011-04-08,2011-05-04,LONG,1473.4,1514.9,37.57,1547.94,26
2011-07-01,2011-07-05,SHORT,1482.3,1512.3001,-30.58,-926.58,4
2011-07-12,2011-08-01,LONG,1561.9,1619.0,25.77,1462.98,20
2011-08-02,2011-08-24,LONG,1641.9,1754.1,27.62,3089.52,22
2011-09-23,2011-10-06,SHORT,1637.5,1651.9,-10.1,-148.84,13
2011-10-27,2011-10-31,LONG,1746.7,1724.1999,16.58,-378.82,4
2011-11-03,2011-11-10,LONG,1764.2,1758.9,15.93,-90.03,7
2011-12-14,2011-12-30,SHORT,1584.3,1565.8001,-14.51,263.93,16
2012-01-18,2012-02-08,LONG,1659.5,1729.3,21.41,1487.17,21
2012-02-23,2012-02-29,LONG,1784.9,1709.9,21.29,-1604.01,6
2012-03-14,2012-03-19,SHORT,1642.5,1666.9,-17.4,-430.41,5
2012-05-08,2012-05-22,SHORT,1604.0,1576.3001,-30.32,830.22,14
