Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2000-10-25,2000-11-27,SHORT,266.2,270.1,-260.22,-1028.93,33
2000-11-27,2001-01-04,LONG,270.1,267.3,629.73,-1796.94,38
2001-01-04,2001-02-01,SHORT,267.3,268.5,-352.27,-441.66,28
2001-02-01,2001-02-08,LONG,268.5,260.1,388.89,-3286.88,7
2001-02-08,2001-03-09,SHORT,260.1,270.8,-235.92,-2537.15,29
2001-03-09,2001-04-02,LONG,270.8,255.6,180.07,-2746.33,24
2001-04-02,2001-04-16,SHORT,255.6,263.3,-244.59,-1896.24,14
2001-04-16,2001-10-18,LONG,263.3,279.2,175.8,2785.47,185
2001-10-18,2001-12-14,SHORT,279.2,278.0,-166.43,190.46,57
2001-12-14,2002-03-07,LONG,278.0,290.1,215.07,2589.89,83
2002-03-07,2002-03-27,SHORT,290.1,302.2,-182.84,-2223.37,20
2002-03-27,2002-06-28,LONG,302.2,313.5,264.18,2968.7,93
2002-06-28,2002-09-05,SHORT,313.5,318.2,-135.31,-644.58,69
2002-09-05,2002-10-10,LONG,318.2,316.5,154.01,-271.57,35
2002-10-10,2002-11-07,SHORT,316.5,320.5,-196.39,-798.17,28
2002-11-07,2003-02-18,LONG,320.5,344.2,265.51,6274.31,103
2003-02-18,2003-04-30,SHORT,344.2,339.1,-61.5,309.49,71
2003-04-30,2003-06-24,LONG,339.1,346.3,155.72,1110.41,55
2003-06-24,2003-07-23,SHORT,346.3,358.6,-79.47,-983.18,29
2003-07-23,2003-10-03,LONG,358.6,369.4,619.35,6643.24,72
2003-10-03,2003-10-24,SHORT,369.4,388.9,-121.25,-2373.73,21
2003-10-24,2004-01-26,LONG,388.9,406.6,132.86,2340.81,94
2004-01-26,2004-03-19,SHORT,406.6,412.5,-591.15,-3536.55,53
2004-03-19,2004-04-14,LONG,412.5,399.8,150.33,-1921.16,26
2004-04-14,2004-05-27,SHORT,399.8,394.9,-76.5,368.8,43
