Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1995-02-02,1995-07-03,LONG,472.7901,547.09,160.37,11897.68,151
1995-07-06,1995-08-01,LONG,553.99,559.64,128.43,711.26,26
1995-09-08,1995-10-04,LONG,572.68,581.4699,165.84,1438.4,26
1995-11-27,1996-01-08,LONG,601.3201,618.46,155.22,2641.28,42
1996-01-10,1996-01-18,SHORT,598.4799,608.24,-102.42,-1012.04,8
1996-01-30,1996-03-05,LONG,630.1501,655.7899,109.85,2802.22,35
1996-04-11,1996-04-23,SHORT,631.1799,651.5801,-88.62,-1819.44,12
1996-05-13,1996-06-04,LONG,661.5101,672.5599,83.07,906.71,22
1996-07-08,1996-08-07,SHORT,652.5399,664.16,-105.7,-1242.31,30
1996-08-07,1996-12-16,LONG,664.16,720.9799,74.12,4201.03,131
1996-12-16,1997-01-06,SHORT,720.9799,747.6501,-60.85,-1631.96,21
1997-01-17,1997-03-06,LONG,776.17,798.5599,61.98,1377.73,48
1997-03-27,1997-04-18,SHORT,773.88,766.3401,-56.63,418.31,22
1997-05-02,1997-07-01,LONG,812.97,891.03,54.54,4247.3,60
1997-07-03,1997-08-15,LONG,916.92,900.8099,51.38,-837.01,43
1997-08-15,1997-08-21,SHORT,900.8099,925.05,-43.17,-1054.42,6
1997-10-03,1997-10-27,LONG,965.0301,876.9899,50.98,-4497.42,24
1997-10-27,1997-11-21,SHORT,876.9899,963.0901,-32.58,-2811.33,25
1997-11-21,1997-11-24,LONG,963.0901,946.6699,40.88,-679.0,3
1997-12-03,1997-12-17,LONG,976.7701,965.5399,43.55,-497.43,14
1998-02-02,1998-04-27,LONG,1001.2701,1086.54,42.74,3635.53,84
1998-04-27,1998-05-05,SHORT,1086.54,1115.5001,-44.93,-1311.29,8
1998-07-01,1998-08-03,LONG,1148.5601,1112.4399,40.72,-1479.97,33
1998-08-03,1998-09-25,SHORT,1112.4399,1044.7501,-33.41,2254.39,53
1998-10-30,1999-01-25,LONG,1098.6701,1233.9799,29.76,4018.89,87
1999-03-11,1999-05-03,LONG,1297.6801,1354.63,28.33,1605.46,53
1999-05-24,1999-06-21,SHORT,1306.65,1349.0001,-28.49,-1214.14,28
1999-06-21,1999-06-28,LONG,1349.0001,1331.3499,33.81,-605.77,7
1999-06-30,1999-07-30,LONG,1372.71,1328.7199,31.28,-1384.51,30
1999-07-30,1999-08-25,SHORT,1328.7199,1381.7901,-32.54,-1736.03,26
1999-08-25,1999-09-08,LONG,1381.7901,1344.15,31.04,-1176.73,14
1999-09-23,1999-10-25,SHORT,1280.41,1293.6301,-28.65,-386.18,32
1999-10-29,1999-12-14,LONG,1362.9301,1403.17,22.09,882.64,46
1999-12-29,2000-01-13,LONG,1463.46,1449.68,36.02,-506.78,15
2000-01-28,2000-02-09,SHORT,1360.16,1411.71,-22.56,-1169.31,12
2000-02-18,2000-03-10,SHORT,1346.0899,1395.07,-24.29,-1196.71,21
2000-03-17,2000-04-14,LONG,1464.47,1356.56,17.74,-1919.16,28
2000-04-14,2000-05-17,SHORT,1356.56,1447.8001,-14.19,-1298.81,33
2000-06-02,2000-06-22,LONG,1477.2601,1452.18,17.89,-453.98,20
2000-07-14,2000-07-19,LONG,1509.98,1481.9599,30.53,-864.37,5
2000-07-28,2000-08-10,SHORT,1419.89,1460.2501,-29.0,-1178.83,13
2000-09-15,2000-11-06,SHORT,1465.81,1432.19,-33.05,1101.61,52
2000-11-22,2000-12-27,SHORT,1322.3599,1328.9201,-21.11,-144.07,35
2001-02-16,2001-04-12,SHORT,1301.53,1183.5001,-29.15,3433.38,55
2001-04-18,2001-05-09,LONG,1238.1601,1255.54,18.45,315.97,21
2001-05-21,2001-05-29,LONG,1312.83,1267.93,30.12,-1359.9,8
2001-06-14,2001-07-03,SHORT,1219.8699,1234.45,-32.65,-484.05,19
2001-07-06,2001-07-19,SHORT,1190.5899,1215.0201,-32.78,-808.87,13
2001-08-17,2001-08-28,SHORT,1161.9699,1161.5101,-34.77,7.91,11
2001-08-29,2001-10-17,SHORT,1148.56,1077.09,-33.73,2403.43,49
2001-11-19,2001-11-21,LONG,1151.0601,1137.03,31.75,-452.62,2
2002-01-29,2002-02-27,SHORT,1100.64,1109.8901,-36.84,-348.98,29
2002-03-04,2002-04-03,LONG,1153.84,1125.4,30.75,-881.55,30
2002-04-03,2002-05-21,SHORT,1125.4,1079.8801,-41.17,1865.17,48
2002-06-06,2002-08-13,SHORT,1029.15,884.2101,-35.69,5167.04,68
2002-08-22,2002-08-29,LONG,962.7001,917.7999,23.45,-1057.39,7
2002-09-18,2002-10-21,SHORT,869.46,899.72,-27.85,-847.67,33
2002-10-21,2002-11-19,LONG,899.72,896.7399,20.99,-66.31,29
2002-11-21,2002-12-05,LONG,933.7601,906.5499,30.88,-845.82,14
2003-01-06,2003-01-24,LONG,929.0101,861.4,38.26,-2593.37,18
2003-01-24,2003-03-03,SHORT,861.4,834.81,-35.58,940.26,38
2003-03-11,2003-03-17,SHORT,800.7299,862.79,-36.75,-2287.1,6
2003-03-17,2003-07-03,LONG,862.79,985.7,32.8,4024.93,108
2003-09-02,2003-09-15,LONG,1021.99,1014.8099,55.64,-410.83,13
2003-09-18,2003-09-23,LONG,1039.58,1029.03,53.52,-575.7,5
2003-10-14,2003-10-31,LONG,1049.48,1050.7099,48.28,49.23,17
2003-11-03,2003-11-10,LONG,1059.0201,1047.1099,53.9,-653.28,7
2003-12-01,2004-02-27,LONG,1070.12,1144.9399,53.05,3956.99,88
2004-03-11,2004-04-23,SHORT,1106.78,1140.6,-52.56,-1789.52,43
2004-04-30,2004-06-07,SHORT,1107.3,1140.4201,-42.51,-1417.79,38
2004-06-07,2004-06-16,LONG,1140.4201,1133.56,51.38,-364.1,9
2004-07-08,2004-09-02,SHORT,1109.1099,1118.3101,-56.61,-533.49,56
2004-09-02,2005-01-20,LONG,1118.3101,1175.41,57.7,3280.81,140
2005-01-20,2005-02-04,SHORT,1175.41,1203.0301,-50.76,-1414.28,15
2005-02-04,2005-02-24,LONG,1203.0301,1200.1999,56.91,-174.74,20
2005-03-04,2005-03-15,LONG,1222.12,1197.7499,55.48,-1365.23,11
2005-03-22,2005-05-12,SHORT,1171.7099,1159.36,-51.73,626.91,51
2005-05-19,2005-06-27,LONG,1191.08,1190.6899,46.62,-29.29,39
2005-06-27,2005-07-01,SHORT,1190.6899,1194.44,-63.72,-254.18,4
2005-07-14,2005-08-16,LONG,1226.5001,1219.3399,57.41,-425.07,33
2005-08-16,2005-08-22,SHORT,1219.3399,1221.73,-55.67,-146.67,6
2005-09-09,2005-09-20,LONG,1241.48,1221.3399,54.56,-1112.15,11
2005-10-05,2005-11-02,SHORT,1196.39,1214.7601,-49.07,-913.41,28
2005-11-02,2005-12-12,LONG,1214.7601,1260.43,38.78,1761.28,40
2005-12-30,2006-01-03,SHORT,1248.29,1268.8001,-67.75,-1406.66,4
2006-01-06,2006-01-19,LONG,1285.45,1285.04,60.09,-40.08,13
2006-02-07,2006-02-15,SHORT,1254.78,1280.0001,-53.76,-1369.63,8
2006-03-16,2006-03-23,LONG,1305.33,1301.67,51.76,-202.93,7
2006-05-17,2006-06-23,SHORT,1270.3199,1244.5001,-48.71,1245.66,37
2006-08-17,2006-12-08,LONG,1297.48,1409.8399,45.48,5096.9,113
