Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1995-02-02,1995-02-17,LONG,472.7901,481.97,160.37,1456.69,15
1995-02-23,1995-02-27,LONG,486.9101,483.8099,172.18,-550.45,4
1995-03-14,1995-04-11,LONG,492.8901,505.5299,140.33,1759.52,28
1995-04-13,1995-04-18,LONG,509.2301,505.3699,157.32,-623.19,5
1995-04-24,1995-04-25,LONG,512.8901,512.0999,145.98,-130.3,1
1995-04-27,1995-05-18,LONG,513.55,519.58,149.23,884.31,21
1995-06-16,1995-06-27,LONG,539.8301,542.4299,110.11,274.34,11
1995-07-06,1995-07-07,LONG,553.99,556.3699,118.2,268.15,1
1995-07-10,1995-07-19,LONG,557.1901,550.9799,122.55,-774.55,9
1995-09-01,1995-09-26,LONG,563.8401,581.4099,148.89,2598.6,25
1995-10-19,1995-10-20,LONG,590.6501,587.46,134.71,-445.56,1
1995-11-09,1995-11-22,LONG,593.2601,598.4,115.18,578.25,13
1995-11-27,1995-12-18,LONG,601.3201,606.8099,143.13,768.4,21
1996-01-10,1996-01-16,SHORT,598.4799,608.4401,-92.97,-937.34,6
1996-01-30,1996-02-20,LONG,630.1501,640.65,99.71,1034.15,21
1996-03-08,1996-03-11,SHORT,633.5,640.0201,-55.29,-367.57,3
1996-04-11,1996-04-12,SHORT,631.1799,636.7101,-79.03,-447.09,1
1996-05-20,1996-05-29,LONG,673.1501,667.9299,72.85,-390.02,9
1996-06-18,1996-06-24,SHORT,662.0599,668.85,-89.18,-617.48,6
1996-07-08,1996-07-10,SHORT,652.5399,656.06,-93.67,-342.02,2
1996-07-11,1996-07-25,SHORT,645.6699,631.17,-80.13,1151.69,14
1996-08-07,1996-08-16,LONG,664.16,665.21,66.9,61.34,9
1996-08-22,1996-08-23,LONG,670.68,667.03,119.6,-452.5,1
1996-09-13,1996-09-30,LONG,680.54,687.33,80.47,535.34,17
1996-10-02,1996-10-21,LONG,694.0101,709.8499,96.05,1507.71,19
1996-11-06,1996-12-04,LONG,724.5901,745.0999,84.14,1713.14,28
1996-12-16,1996-12-18,SHORT,720.9799,731.54,-54.68,-585.39,2
1997-01-17,1997-01-24,LONG,776.17,770.52,56.15,-325.89,7
1997-02-12,1997-02-26,LONG,802.7701,805.6799,55.27,151.92,14
1997-03-27,1997-04-14,SHORT,773.88,743.73,-50.63,1518.99,18
1997-04-29,1997-05-16,LONG,794.05,829.75,49.32,1752.66,17
1997-05-23,1997-05-27,LONG,847.0301,849.71,48.99,122.97,4
1997-06-06,1997-06-23,LONG,858.0101,878.6199,52.76,1078.04,17
1997-07-15,1997-07-18,LONG,925.7601,915.2999,44.92,-478.05,3
1997-07-31,1997-08-07,LONG,954.31,951.19,47.69,-157.88,7
1997-08-15,1997-08-19,SHORT,900.8099,926.0101,-38.73,-983.2,4
1997-10-07,1997-10-13,LONG,983.12,968.0999,50.48,-768.0,6
1997-10-27,1997-10-28,SHORT,876.9899,921.85,-30.12,-1356.66,1
1997-11-21,1997-11-24,LONG,963.0901,946.6699,38.23,-635.02,3
1997-12-01,1997-12-08,LONG,974.7701,982.3699,39.41,291.73,7
1998-01-29,1998-03-05,LONG,985.49,1035.05,34.58,1706.45,35
1998-03-10,1998-03-13,LONG,1064.2501,1068.6099,50.71,210.26,3
1998-03-16,1998-04-07,LONG,1079.2701,1109.55,51.2,1538.9,22
1998-07-01,1998-07-21,LONG,1148.5601,1165.0699,38.79,631.42,20
1998-08-03,1998-08-12,SHORT,1112.4399,1084.22,-32.42,907.76,9
1998-08-31,1998-09-08,SHORT,957.28,1023.4601,-21.48,-1425.73,8
1998-10-30,1998-11-19,LONG,1098.6701,1152.6099,28.19,1513.86,20
1998-11-20,1998-12-02,LONG,1163.5501,1171.2499,39.93,298.08,12
1998-12-23,1999-01-12,LONG,1228.5401,1239.51,30.33,325.16,20
1999-01-29,1999-02-01,LONG,1279.6401,1272.9999,23.63,-162.89,3
1999-03-11,1999-03-19,LONG,1297.6801,1299.29,26.4,35.64,8
1999-04-07,1999-04-14,LONG,1326.8901,1328.4399,27.6,35.44,7
1999-05-25,1999-05-28,SHORT,1284.4,1301.84,-25.94,-459.11,3
1999-06-29,1999-07-19,LONG,1351.45,1407.65,30.08,1682.2,20
1999-07-30,1999-08-13,SHORT,1328.7199,1327.6801,-31.09,24.07,14
1999-08-25,1999-08-27,LONG,1381.7901,1348.27,30.09,-1016.85,2
1999-09-23,1999-10-04,SHORT,1280.41,1304.6,-27.81,-679.9,11
1999-10-28,1999-11-29,LONG,1342.44,1407.8299,22.9,1490.81,32
1999-12-23,2000-01-04,LONG,1458.34,1399.42,33.13,-1961.47,12
2000-01-28,2000-02-01,SHORT,1360.16,1409.2801,-21.67,-1070.76,4
2000-02-18,2000-02-29,SHORT,1346.0899,1366.4201,-23.35,-481.14,11
2000-03-21,2000-03-30,LONG,1493.87,1487.92,16.05,-100.29,9
2000-04-14,2000-04-18,SHORT,1356.56,1441.61,-13.94,-1189.99,4
2000-07-12,2000-07-18,LONG,1492.9201,1493.7399,27.39,14.27,6
2000-07-28,2000-08-04,SHORT,1419.89,1462.9301,-28.87,-1250.84,7
2000-08-28,2000-09-05,LONG,1514.09,1507.0799,34.87,-254.93,8
2000-09-15,2000-09-28,SHORT,1465.81,1458.2901,-32.79,237.04,13
2000-10-06,2000-10-19,SHORT,1408.9899,1388.7601,-22.42,447.39,13
2000-11-22,2000-11-27,SHORT,1322.3599,1348.97,-20.86,-560.83,5
2000-11-30,2000-12-05,SHORT,1314.9499,1376.5401,-19.12,-1183.14,5
2000-12-20,2000-12-27,SHORT,1264.7399,1328.9201,-18.42,-1187.37,7
2001-01-23,2001-02-02,LONG,1360.4001,1349.4699,20.22,-226.51,10
2001-02-16,2001-03-06,SHORT,1301.53,1253.8001,-28.01,1329.75,18
2001-03-12,2001-03-26,SHORT,1180.16,1152.69,-19.46,530.1,14
2001-04-18,2001-05-02,LONG,1238.1601,1267.43,17.49,507.48,14
2001-05-17,2001-05-25,LONG,1288.49,1277.89,27.34,-296.79,8
2001-06-14,2001-06-28,SHORT,1219.8699,1226.2,-31.3,-205.82,14
2001-07-06,2001-07-09,SHORT,1190.5899,1198.7801,-31.51,-265.62,3
