Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1995-02-02,1996-01-10,LONG,472.7901,598.4799,160.37,20137.26,342
1996-01-10,1996-01-30,SHORT,598.4799,630.1501,-105.49,-3354.15,20
1996-01-30,1996-03-08,LONG,630.1501,633.5,110.95,357.62,38
1996-03-08,1996-05-13,SHORT,633.5,661.5101,-61.11,-1719.83,66
1996-05-13,1996-06-18,LONG,661.5101,662.0599,82.22,34.33,36
1996-06-18,1996-08-07,SHORT,662.0599,664.16,-98.28,-219.45,50
1996-08-07,1996-12-16,LONG,664.16,720.9799,73.47,4163.71,131
1996-12-16,1997-01-10,SHORT,720.9799,759.5,-60.31,-2332.26,25
1997-01-10,1997-03-27,LONG,759.5,773.88,65.19,927.31,76
1997-03-27,1997-04-29,SHORT,773.88,794.05,-55.58,-1129.95,33
1997-04-29,1997-08-15,LONG,794.05,900.8099,52.88,5636.07,108
1997-08-15,1997-09-16,SHORT,900.8099,945.6401,-42.64,-1919.41,32
1997-09-16,1997-10-27,LONG,945.6401,876.9899,40.64,-2797.15,41
1997-10-27,1997-11-21,SHORT,876.9899,963.0901,-32.39,-2794.81,25
1997-11-21,1998-04-27,LONG,963.0901,1086.54,40.64,5008.21,157
1998-04-27,1998-06-24,SHORT,1086.54,1132.8801,-45.65,-2125.87,58
1998-06-24,1998-08-03,LONG,1132.8801,1112.4399,38.74,-800.4,40
1998-08-03,1998-10-30,SHORT,1112.4399,1098.6701,-33.92,459.57,88
1998-10-30,1999-05-24,LONG,1098.6701,1306.65,29.75,6178.6,206
1999-05-24,1999-06-21,SHORT,1306.65,1349.0001,-28.61,-1219.27,28
1999-06-21,1999-07-30,LONG,1349.0001,1328.7199,33.95,-697.61,39
1999-07-30,1999-08-25,SHORT,1328.7199,1381.7901,-33.04,-1762.35,26
1999-08-25,1999-09-23,LONG,1381.7901,1280.41,31.51,-3202.7,29
1999-09-23,1999-10-28,SHORT,1280.41,1342.44,-28.59,-1781.27,35
1999-10-28,2000-01-28,LONG,1342.44,1360.16,23.32,406.97,92
2000-01-28,2000-03-16,SHORT,1360.16,1458.47,-22.25,-2194.11,48
2000-03-16,2000-04-14,LONG,1458.47,1356.56,17.08,-1744.98,29
2000-04-14,2000-06-02,SHORT,1356.56,1477.2601,-14.03,-1698.04,49
2000-06-02,2000-07-28,LONG,1477.2601,1419.89,17.63,-1016.49,56
2000-07-28,2000-08-21,SHORT,1419.89,1499.48,-28.65,-2288.69,24
2000-08-21,2000-09-15,LONG,1499.48,1465.81,30.6,-1039.43,25
2000-09-15,2001-01-23,SHORT,1465.81,1360.4001,-31.99,3363.21,130
2001-01-23,2001-02-16,LONG,1360.4001,1301.53,20.8,-1229.66,24
2001-02-16,2001-04-12,SHORT,1301.53,1183.5001,-28.53,3361.11,55
2001-04-12,2001-06-14,LONG,1183.5001,1219.8699,18.5,668.43,63
2001-06-14,2001-11-06,SHORT,1219.8699,1118.86,-32.45,3270.96,145
2001-11-06,2001-12-13,LONG,1118.86,1119.38,27.9,8.26,37
2001-12-13,2002-03-01,SHORT,1119.38,1131.7801,-34.75,-438.72,78
2002-03-01,2002-04-03,LONG,1131.7801,1125.4,31.97,-211.16,33
2002-04-03,2002-08-15,SHORT,1125.4,930.25,-42.12,8211.14,134
2002-08-15,2002-09-18,LONG,930.25,869.46,21.09,-1285.57,34
2002-09-18,2002-10-21,SHORT,869.46,899.72,-28.68,-873.09,33
2002-10-21,2002-12-19,LONG,899.72,884.25,21.62,-338.25,59
2002-12-19,2003-01-06,SHORT,884.25,929.0101,-36.6,-1645.01,18
2003-01-06,2003-01-24,LONG,929.0101,861.4,39.06,-2647.69,18
2003-01-24,2003-03-17,SHORT,861.4,862.79,-36.33,-56.77,52
2003-03-17,2003-08-05,LONG,862.79,965.46,33.88,3471.49,141
2003-08-05,2003-09-02,SHORT,965.46,1021.99,-41.01,-2326.92,28
2003-09-02,2004-03-10,LONG,1021.99,1123.89,56.02,5695.55,190
2004-03-10,2004-06-07,SHORT,1123.89,1140.4201,-57.82,-969.0,89
2004-06-07,2004-07-06,LONG,1140.4201,1116.2099,54.24,-1325.3,29
2004-07-06,2004-09-02,SHORT,1116.2099,1118.3101,-62.13,-144.39,58
2004-09-02,2005-01-20,LONG,1118.3101,1175.41,60.65,3448.59,140
2005-01-20,2005-02-04,SHORT,1175.41,1203.0301,-53.36,-1486.61,15
2005-02-04,2005-03-22,LONG,1203.0301,1171.7099,59.82,-1887.74,46
2005-03-22,2005-05-18,SHORT,1171.7099,1185.5601,-54.26,-764.43,57
2005-05-18,2005-06-27,LONG,1185.5601,1190.6899,45.38,221.97,40
2005-06-27,2005-07-12,SHORT,1190.6899,1222.21,-66.19,-2102.39,15
2005-07-12,2005-08-16,LONG,1222.21,1219.3399,55.17,-171.81,35
2005-08-16,2005-09-09,SHORT,1219.3399,1241.48,-57.06,-1277.54,24
