Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1995-02-02,1995-06-14,LONG,27.3554,31.2964,2949.08,11603.81,132
1995-06-19,1995-06-30,LONG,31.8818,31.7814,1830.21,-195.35,11
1995-07-06,1995-07-28,LONG,32.4294,32.8858,1986.57,893.53,22
1995-09-08,1995-10-03,LONG,33.616,34.2083,2649.12,1551.05,25
1995-11-28,1996-01-08,LONG,35.8141,36.5341,2404.68,1713.72,41
1996-01-10,1996-01-19,SHORT,35.4354,36.2017,-1479.09,-1144.18,9
1996-01-30,1996-03-05,LONG,37.2358,38.9254,1673.47,2814.47,35
1996-03-08,1996-03-21,SHORT,37.522,38.5697,-866.44,-914.46,13
1996-05-13,1996-06-04,LONG,39.3858,40.0813,1154.25,793.56,22
1996-07-08,1996-08-02,SHORT,38.9698,39.7157,-1419.79,-1070.21,25
1996-08-02,1996-08-30,LONG,39.7157,38.9792,826.57,-615.21,28
1996-08-30,1996-09-11,SHORT,38.9792,40.014,-1788.65,-1865.28,12
1996-09-12,1996-12-16,LONG,40.2937,43.406,1204.52,3738.4,95
1996-12-16,1997-01-06,SHORT,43.406,44.8624,-815.56,-1195.07,21
1997-01-22,1997-01-23,LONG,47.518,46.8588,875.0,-584.99,1
1997-02-12,1997-03-05,LONG,48.5162,48.5727,808.93,37.85,21
1997-03-27,1997-04-18,SHORT,46.5845,46.3198,-730.54,186.6,22
1997-05-02,1997-07-01,LONG,49.2691,54.2628,698.0,3478.04,60
1997-07-03,1997-07-09,LONG,55.914,55.3067,662.12,-409.44,6
1997-07-16,1997-07-21,LONG,56.939,55.4585,683.56,-1019.54,5
1997-07-30,1997-08-04,LONG,57.9449,57.812,729.5,-105.35,5
1997-08-15,1997-08-25,SHORT,54.5286,56.009,-568.97,-848.69,10
1997-10-03,1997-10-22,LONG,58.9099,59.0337,672.36,75.32,19
1997-10-27,1997-11-21,SHORT,53.1475,58.9765,-472.5,-2759.79,25
1997-12-05,1997-12-16,LONG,60.3101,59.3195,602.35,-603.82,11
1998-01-09,1998-01-16,SHORT,56.4955,58.9435,-539.32,-1326.62,7
1998-02-02,1998-04-20,LONG,61.162,68.8947,605.41,4673.06,77
1998-04-27,1998-05-04,SHORT,66.7273,68.933,-650.94,-1444.74,7
1998-07-06,1998-07-31,LONG,71.4229,68.8253,678.67,-1772.21,25
1998-07-31,1998-09-23,SHORT,68.8253,66.1141,-472.07,1273.65,54
1998-10-29,1999-01-25,LONG,67.6009,76.7565,373.36,3412.58,88
1999-03-11,1999-05-11,LONG,80.9799,84.3223,399.32,1327.96,61
1999-05-24,1999-06-15,SHORT,81.487,81.2928,-368.49,65.57,22
1999-06-30,1999-07-30,LONG,85.395,82.7459,442.9,-1180.62,30
1999-07-30,1999-08-25,SHORT,82.7459,86.2521,-477.05,-1680.86,26
1999-08-25,1999-09-08,LONG,86.2521,84.0315,424.71,-950.25,14
1999-09-23,1999-10-12,SHORT,79.9317,82.2562,-399.55,-935.34,19
1999-10-15,1999-10-25,SHORT,78.0565,80.9084,-365.17,-1047.33,10
1999-10-29,1999-12-09,LONG,85.6355,88.3898,326.69,894.01,41
2000-01-28,2000-02-10,SHORT,85.1408,88.7046,-320.35,-1147.35,13
2000-03-17,2000-04-14,LONG,92.3067,85.4357,260.09,-1791.56,28
2000-04-14,2000-05-18,SHORT,85.4357,90.0687,-201.34,-936.44,34
2000-06-02,2000-06-12,LONG,92.876,91.011,269.28,-507.11,10
2000-07-14,2000-07-19,LONG,95.2395,93.5472,438.44,-750.2,5
2000-07-28,2000-08-10,SHORT,89.474,92.3862,-438.37,-1284.73,13
2000-09-21,2000-11-06,SHORT,90.0736,90.764,-399.81,-283.3,46
2000-11-22,2000-12-14,SHORT,83.4158,84.8459,-300.68,-435.12,22
2000-12-20,2000-12-29,SHORT,79.9416,83.068,-240.87,-757.08,9
2001-02-16,2001-04-17,SHORT,82.5695,75.7189,-399.68,2731.97,60
2001-04-17,2001-05-11,LONG,75.7189,79.4585,274.14,1020.82,24
2001-05-21,2001-06-04,LONG,83.5853,80.8489,414.0,-1139.58,14
2001-06-14,2001-07-03,SHORT,77.4585,79.0159,-458.2,-720.83,19
2001-07-06,2001-07-18,SHORT,75.8005,77.0485,-451.79,-570.79,12
2001-08-17,2001-10-19,SHORT,74.336,68.6074,-488.44,2791.38,63
2001-11-19,2001-11-21,LONG,73.9887,72.883,434.41,-486.63,2
2002-01-29,2002-03-01,SHORT,70.7224,72.9414,-510.6,-1140.43,31
2002-03-01,2002-04-03,LONG,72.9414,72.7644,430.82,-82.51,33
2002-04-03,2002-05-21,SHORT,72.7644,69.9089,-565.4,1606.58,48
2002-06-06,2002-08-13,SHORT,66.5389,57.4201,-497.5,4530.9,68
2002-08-21,2002-08-28,LONG,61.7958,59.4401,317.6,-751.93,7
2002-09-23,2002-10-02,SHORT,54.2351,53.9045,-443.16,141.74,9
2002-10-07,2002-10-21,SHORT,51.2984,58.4554,-359.6,-2577.86,14
2002-10-21,2002-10-31,LONG,58.4554,57.3857,286.87,-310.16,10
2002-11-06,2002-11-12,LONG,60.316,57.671,371.25,-986.24,6
2002-11-27,2002-12-04,LONG,61.1198,59.9335,456.63,-547.2,7
2003-01-06,2003-01-24,LONG,60.5603,56.2736,516.51,-2219.93,18
2003-01-24,2003-02-24,SHORT,56.2736,54.5929,-469.37,783.77,31
2003-03-11,2003-03-17,SHORT,52.456,56.5342,-493.15,-2016.73,6
2003-03-17,2003-07-08,LONG,56.5342,66.4005,442.6,4360.96,113
2003-09-02,2003-09-16,LONG,67.4836,67.9957,686.6,342.25,14
2003-09-18,2003-09-22,LONG,68.6652,67.5779,745.83,-821.04,4
2003-11-03,2003-11-11,LONG,69.8448,69.2913,681.29,-386.56,8
2003-12-01,2004-03-02,LONG,70.9057,76.458,725.64,4017.89,92
2004-03-11,2004-04-26,SHORT,73.5713,75.8757,-628.68,-1458.22,46
2004-04-30,2004-06-07,SHORT,73.7229,76.2079,-559.99,-1400.08,38
2004-06-07,2004-06-22,LONG,76.2079,75.8659,690.25,-246.55,15
2004-07-15,2004-08-27,SHORT,73.8853,74.3188,-792.72,-355.39,43
2004-08-27,2004-09-30,LONG,74.3188,74.8357,765.07,384.03,34
2004-10-01,2004-10-12,LONG,76.1013,75.3513,887.37,-678.88,11
2004-11-03,2005-01-21,LONG,76.9919,78.7994,651.42,1167.21,79
2005-01-21,2005-02-04,SHORT,78.7994,81.1274,-631.1,-1479.39,14
2005-02-04,2005-03-15,LONG,81.1274,81.0666,800.19,-61.59,39
2005-03-21,2005-05-17,SHORT,80.0031,79.6509,-688.05,231.4,57
2005-05-19,2005-06-10,LONG,80.8093,81.4257,627.56,376.62,22
2005-06-16,2005-06-29,LONG,82.2386,81.5027,845.29,-635.8,13
2005-07-14,2005-08-16,LONG,83.5976,83.1215,759.77,-374.38,33
2005-08-16,2005-08-19,SHORT,83.1215,83.2983,-737.25,-142.66,3
2005-09-09,2005-09-19,LONG,84.747,84.0764,642.7,-441.85,10
2005-10-05,2005-11-02,SHORT,81.713,83.161,-623.35,-912.99,28
2005-11-02,2005-12-19,LONG,83.161,86.3211,507.62,1595.36,47
2005-12-30,2006-01-06,SHORT,85.4971,88.1958,-836.51,-2272.22,7
2006-01-06,2006-01-31,LONG,88.1958,87.5502,747.69,-495.75,25
2006-02-07,2006-02-16,SHORT,86.1632,88.6901,-650.56,-1655.49,9
2006-02-16,2006-02-21,LONG,88.6901,88.2301,579.02,-276.6,5
2006-03-16,2006-03-27,LONG,89.9742,89.6357,661.61,-235.83,11
2006-05-05,2006-05-10,LONG,91.3592,91.3799,620.84,1.46,5
2006-05-17,2006-06-22,SHORT,87.4503,86.1819,-628.52,786.4,36
2006-08-17,2006-11-09,LONG,90.0388,96.103,590.15,3567.43,84
2006-11-22,2006-12-07,LONG,98.0087,98.1756,693.28,102.1,15
2007-02-07,2007-02-27,LONG,101.5551,97.5617,767.32,-3079.19,20
2007-02-27,2007-04-03,SHORT,97.5617,100.8906,-537.53,-1800.23,35
2007-04-20,2007-06-07,LONG,104.3522,104.6892,666.0,210.51,48
2007-06-07,2007-06-19,SHORT,104.6892,108.0809,-523.23,-1785.97,12
2007-06-26,2007-07-09,SHORT,104.5692,107.9611,-381.65,-1302.75,13
2007-07-26,2007-08-31,SHORT,104.3788,104.0756,-367.41,103.78,36
2007-10-01,2007-10-19,LONG,109.3235,106.043,429.72,-1418.79,18
2007-10-19,2007-11-01,SHORT,106.043,107.0066,-361.24,-355.83,13
2007-11-08,2007-12-10,SHORT,104.2647,107.7506,-283.22,-993.39,32
2007-12-10,2007-12-13,LONG,107.7506,105.6108,274.89,-594.02,3
2008-01-04,2008-02-15,SHORT,100.6512,96.2565,-327.61,1433.45,42
2008-03-07,2008-03-19,SHORT,92.3889,92.8234,-264.87,-120.01,12
2008-05-01,2008-05-12,LONG,101.0136,100.5411,366.35,-180.45,11
2008-05-15,2008-05-23,LONG,102.0228,98.5225,394.47,-1388.55,8
2008-05-23,2008-05-29,SHORT,98.5225,100.2118,-365.75,-625.18,6
2008-06-11,2008-07-31,SHORT,95.8741,91.2389,-321.08,1482.41,50
2008-09-15,2008-11-05,SHORT,86.3903,69.5976,-231.5,3884.32,51
2008-11-19,2008-12-09,SHORT,58.9688,64.7572,-146.12,-847.69,20
2009-01-14,2009-03-23,SHORT,61.5409,60.4019,-287.86,324.39,68
2009-03-23,2009-04-03,LONG,60.4019,61.9005,224.54,333.73,11
2009-05-04,2009-05-21,LONG,66.7639,65.537,317.88,-394.16,17
2009-06-01,2009-06-12,LONG,69.6216,69.8493,310.34,66.34,11
2009-07-07,2009-07-15,SHORT,65.0576,68.8993,-415.15,-1600.61,8
2009-07-15,2009-10-05,LONG,68.8993,77.2147,396.01,3286.87,82
2009-10-14,2009-10-27,LONG,81.1415,78.9962,460.38,-994.92,13
2009-11-16,2009-12-02,LONG,82.5519,82.5816,366.78,4.82,16
2010-01-08,2010-01-15,LONG,85.5039,84.8098,743.48,-528.63,7
2010-01-22,2010-02-26,SHORT,81.5037,82.6456,-457.55,-530.02,35
2010-03-05,2010-04-22,LONG,85.2651,90.6895,556.57,3008.96,48
2010-05-04,2010-06-23,SHORT,88.0667,82.2438,-389.7,2262.78,50
2010-06-30,2010-07-19,SHORT,77.7186,80.7831,-373.24,-1149.81,19
2010-08-04,2010-08-06,LONG,85.0598,84.6231,363.56,-164.92,2
2010-08-24,2010-09-13,SHORT,79.4579,84.8715,-419.91,-2280.36,20
2010-09-13,2010-10-20,LONG,84.8715,89.2243,406.06,1760.24,37
2010-11-04,2010-11-12,LONG,92.5474,90.9881,470.09,-741.6,8
2010-12-10,2011-02-03,LONG,94.2279,99.5175,484.62,2553.8,55
2011-02-08,2011-03-03,LONG,100.8796,101.5644,562.96,374.1,23
2011-03-15,2011-03-30,SHORT,97.8281,101.4706,-348.15,-1275.19,15
2011-04-28,2011-05-06,LONG,104.0233,102.5635,515.91,-763.67,8
2011-06-03,2011-06-29,SHORT,99.6746,100.3992,-449.88,-335.02,26
2011-06-30,2011-07-13,LONG,101.3593,101.2594,397.12,-47.69,13
2011-07-29,2011-09-08,SHORT,99.3316,91.4284,-392.2,3092.5,41
2011-11-23,2011-12-09,SHORT,89.9868,97.3133,-277.32,-2037.18,16
2012-01-10,2012-04-04,LONG,100.3234,109.1359,435.86,3831.49,85
2012-04-10,2012-04-30,SHORT,106.0458,109.1437,-466.42,-1455.08,20
2012-05-14,2012-06-15,SHORT,104.6491,105.2148,-429.47,-252.03,32
2012-06-15,2012-06-27,LONG,105.2148,104.454,319.94,-250.12,12
2012-07-02,2012-07-10,LONG,107.0738,105.2148,352.62,-662.94,8
2012-08-16,2012-08-31,LONG,111.3721,110.7211,553.78,-372.8,15
2012-09-07,2012-10-02,LONG,113.2075,113.9459,555.01,397.16,25
2012-11-08,2012-11-28,SHORT,108.8518,111.5487,-350.09,-951.93,20
2013-01-10,2013-02-25,LONG,116.8029,118.3277,428.24,642.81,46
2013-02-25,2013-03-04,SHORT,118.3277,121.4408,-485.82,-1524.22,7
