Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1995-02-02,1995-02-21,LONG,27.3554,27.9781,2949.08,1819.89,19
1995-02-22,1995-02-27,LONG,28.1857,28.0774,3084.31,-351.36,5
1995-03-16,1995-04-11,LONG,28.7543,29.3999,2260.74,1446.28,26
1995-04-13,1995-04-18,LONG,29.6631,29.3908,2627.7,-730.76,5
1995-04-24,1995-04-25,LONG,29.899,29.8173,2533.11,-222.04,1
1995-04-27,1995-04-28,LONG,29.9171,29.9625,2535.36,99.86,1
1995-05-03,1995-05-18,LONG,30.3618,30.2347,2280.06,-303.41,15
1995-06-16,1995-06-27,LONG,31.5258,31.6901,1711.8,270.39,11
1995-07-06,1995-07-07,LONG,32.4294,32.5754,1817.68,253.6,1
1995-07-10,1995-07-19,LONG,32.5937,32.2834,1892.41,-599.49,9
1995-09-01,1995-09-26,LONG,33.0957,34.1808,2331.6,2514.02,25
1995-10-19,1995-10-20,LONG,34.7589,34.5478,2274.11,-495.71,1
1995-11-08,1995-11-14,LONG,34.8507,34.6947,1840.97,-299.95,6
1995-11-15,1995-11-20,LONG,35.0434,35.1626,2003.55,224.88,5
1995-11-21,1995-11-22,LONG,35.4471,35.337,2273.81,-266.53,1
1995-11-28,1995-12-18,LONG,35.8141,35.8232,2179.62,4.13,20
1996-01-10,1996-01-11,SHORT,35.4354,35.6478,-1320.81,-289.89,1
1996-01-30,1996-02-20,LONG,37.2358,37.9929,1505.11,1128.11,21
1996-03-08,1996-03-11,SHORT,37.522,37.956,-768.89,-339.51,3
1996-05-14,1996-05-15,LONG,39.6269,39.5805,1039.93,-56.45,1
1996-05-20,1996-05-29,LONG,40.1462,39.7846,1011.05,-373.71,9
1996-07-08,1996-07-10,SHORT,38.9698,39.2868,-1251.8,-406.64,2
1996-07-11,1996-07-19,SHORT,38.4944,38.1681,-1098.18,349.94,8
1996-08-02,1996-08-15,LONG,39.7157,39.5478,735.04,-129.17,13
1996-08-30,1996-09-04,SHORT,38.9792,39.2682,-1597.06,-474.09,5
1996-09-13,1996-09-30,LONG,40.909,41.157,1039.62,249.28,17
1996-10-02,1996-10-10,LONG,41.6631,41.6537,1382.67,-24.48,8
1996-11-06,1996-12-03,LONG,43.6872,44.8304,1162.0,1318.02,27
1996-12-16,1996-12-18,SHORT,43.406,44.0995,-723.85,-508.34,2
1997-01-17,1997-01-24,LONG,46.7458,46.2561,728.97,-363.71,7
1997-02-12,1997-02-19,LONG,48.5162,49.0153,722.93,353.72,7
1997-03-31,1997-04-04,SHORT,45.6014,45.885,-629.46,-184.29,4
1997-04-11,1997-04-14,SHORT,44.3914,44.987,-584.07,-353.1,3
1997-04-29,1997-05-16,LONG,48.2293,50.3468,619.93,1306.42,17
1997-06-06,1997-06-23,LONG,52.2563,53.0861,712.39,583.59,17
1997-07-15,1997-07-18,LONG,56.1988,55.4491,581.91,-442.72,3
1997-08-15,1997-08-19,SHORT,54.5286,56.3886,-505.23,-945.43,4
1997-10-07,1997-10-13,LONG,59.8528,59.1099,644.53,-486.46,6
1997-10-27,1997-10-28,SHORT,53.1475,56.2144,-416.55,-1282.2,1
1997-11-21,1997-11-24,LONG,58.9765,57.9098,489.88,-528.25,3
1997-12-01,1997-12-08,LONG,59.7957,60.1386,499.77,165.34,7
1998-02-02,1998-03-04,LONG,61.162,64.1455,547.18,1625.48,30
1998-03-10,1998-03-13,LONG,65.2166,65.5417,690.57,215.45,3
1998-03-16,1998-04-07,LONG,66.2493,68.0891,685.67,1252.18,22
1998-07-06,1998-07-21,LONG,71.4229,71.7307,614.37,180.3,15
1998-07-31,1998-08-12,SHORT,68.8253,66.9204,-434.77,822.37,12
1998-08-31,1998-09-08,SHORT,59.1085,63.4186,-274.33,-1185.83,8
1998-10-29,1998-11-16,LONG,67.6009,70.4779,338.84,970.1,18
1998-11-19,1998-11-30,LONG,71.5206,71.7523,494.87,107.56,11
1998-12-23,1999-01-12,LONG,76.3884,77.0277,392.18,244.68,20
