Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1995-02-02,1996-01-10,LONG,27.3554,35.4354,2949.08,23807.74,342
1996-01-10,1996-01-30,SHORT,35.4354,37.2358,-1585.39,-2866.12,20
1996-01-30,1996-03-08,LONG,37.2358,37.522,1769.75,493.24,38
1996-03-08,1996-05-13,SHORT,37.522,39.3858,-897.92,-1680.59,66
1996-05-13,1996-07-05,LONG,39.3858,39.1283,1188.9,-315.39,53
1996-07-05,1996-08-02,SHORT,39.1283,39.7157,-1505.03,-895.93,28
1996-08-02,1996-08-30,LONG,39.7157,38.9792,844.78,-628.77,28
1996-08-30,1996-09-12,SHORT,38.9792,40.2937,-1828.06,-2417.77,13
1996-09-12,1996-12-16,LONG,40.2937,43.406,1225.62,3803.9,95
1996-12-16,1997-01-10,SHORT,43.406,45.8794,-829.85,-2060.17,25
1997-01-10,1997-03-27,LONG,45.8794,46.5845,872.9,607.31,76
1997-03-27,1997-04-29,SHORT,46.5845,48.2293,-745.42,-1233.3,33
1997-04-29,1997-08-15,LONG,48.2293,54.5286,701.9,4413.76,108
1997-08-15,1997-09-16,SHORT,54.5286,57.5843,-585.55,-1796.02,32
1997-09-16,1997-10-27,LONG,57.5843,53.1475,579.1,-2575.51,41
1997-10-27,1997-11-21,SHORT,53.1475,58.9765,-471.8,-2755.7,25
1997-11-21,1998-01-09,LONG,58.9765,56.4955,548.57,-1367.23,49
1998-01-09,1998-02-02,SHORT,56.4955,61.162,-534.88,-2502.58,24
1998-02-02,1998-04-27,LONG,61.162,66.7273,594.01,3297.95,84
1998-04-27,1998-06-24,SHORT,66.7273,69.8258,-631.5,-1965.52,58
1998-06-24,1998-07-31,LONG,69.8258,68.8253,516.2,-523.56,37
1998-07-31,1998-10-29,SHORT,68.8253,67.6009,-460.62,557.78,90
1998-10-29,1999-05-24,LONG,67.6009,81.487,362.07,5021.81,207
1999-05-24,1999-06-30,SHORT,81.487,85.395,-358.68,-1407.85,37
1999-06-30,1999-07-30,LONG,85.395,82.7459,425.65,-1134.64,30
1999-07-30,1999-08-25,SHORT,82.7459,86.2521,-458.47,-1615.39,26
1999-08-25,1999-09-23,LONG,86.2521,79.9317,408.17,-2586.33,29
1999-09-23,1999-10-28,SHORT,79.9317,84.1118,-378.2,-1587.31,35
1999-10-28,2000-01-28,LONG,84.1118,85.1408,329.66,333.59,92
2000-01-28,2000-03-16,SHORT,85.1408,91.7006,-302.62,-1990.71,48
2000-03-16,2000-04-14,LONG,91.7006,85.4357,236.82,-1487.69,29
2000-04-14,2000-06-02,SHORT,85.4357,92.876,-188.93,-1409.25,49
2000-06-02,2000-07-28,LONG,92.876,89.474,251.4,-859.76,56
2000-07-28,2000-08-21,SHORT,89.474,94.7673,-410.55,-2180.92,24
2000-08-21,2000-09-15,LONG,94.7673,92.1646,429.87,-1126.71,25
2000-09-15,2001-01-30,SHORT,92.1646,87.2551,-413.89,2024.8,137
2001-01-30,2001-02-16,LONG,87.2551,82.5695,367.6,-1728.49,17
2001-02-16,2001-04-17,SHORT,82.5695,75.7189,-372.69,2547.48,60
2001-04-17,2001-06-14,LONG,75.7189,77.4585,255.63,440.74,58
2001-06-14,2001-11-06,SHORT,77.4585,71.8349,-429.6,2409.73,145
2001-11-06,2001-12-13,LONG,71.8349,71.6176,365.79,-84.73,37
2001-12-13,2002-01-04,SHORT,71.6176,75.4296,-451.55,-1728.13,22
2002-01-04,2002-01-22,LONG,75.4296,72.0627,610.13,-2063.03,18
2002-01-22,2002-03-01,SHORT,72.0627,72.9414,-504.58,-450.7,38
2002-03-01,2002-04-03,LONG,72.9414,72.7644,396.82,-75.99,33
2002-04-03,2002-08-15,SHORT,72.7644,60.3437,-520.77,6462.1,134
