Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1996-12-26,1997-05-08,LONG,114.885,123.715,704.22,6216.56,133
1997-05-08,1997-06-27,SHORT,123.715,114.555,-593.38,5434.0,50
1997-07-25,1997-10-01,LONG,116.895,121.145,445.06,1890.44,68
1997-11-05,1997-12-29,LONG,123.095,129.695,433.82,2862.09,54
1998-01-05,1998-01-09,LONG,133.405,131.515,348.65,-659.85,4
1998-01-21,1998-02-20,SHORT,126.745,127.935,-286.58,-341.76,30
1998-02-20,1998-03-05,LONG,127.935,127.625,388.35,-121.38,13
1998-03-18,1998-03-27,LONG,130.005,130.295,395.74,113.73,9
1998-03-30,1998-04-21,LONG,132.145,131.225,341.81,-315.36,22
1998-05-25,1998-07-02,LONG,137.195,140.435,450.74,1459.15,38
1998-07-31,1998-08-31,LONG,144.755,138.685,357.29,-2169.72,31
1998-08-31,1998-11-09,SHORT,138.685,121.655,-247.37,4212.12,70
1998-11-09,1998-11-23,LONG,121.655,121.095,307.28,-172.82,14
1998-12-11,1999-01-28,SHORT,116.195,116.275,-310.4,-25.55,48
1999-01-28,1999-02-01,LONG,116.275,115.045,300.21,-369.94,4
1999-02-18,1999-03-22,LONG,119.655,118.295,294.26,-400.88,32
1999-05-13,1999-06-08,LONG,121.755,119.395,518.69,-1225.36,26
1999-06-08,1999-06-24,SHORT,119.395,121.975,-390.87,-1009.41,16
1999-07-19,1999-10-01,SHORT,118.395,105.125,-528.47,7011.73,74
1999-10-27,1999-11-09,SHORT,104.305,104.905,-502.1,-302.31,13
1999-11-26,2000-02-01,SHORT,101.795,107.745,-517.23,-3078.6,67
2000-02-01,2000-03-01,LONG,107.745,106.935,442.56,-359.42,29
2000-03-01,2000-04-28,SHORT,106.935,108.155,-410.87,-502.15,58
2000-04-28,2000-05-11,LONG,108.155,108.375,471.95,102.8,13
2000-06-22,2000-07-03,SHORT,104.525,105.785,-574.7,-725.34,11
2000-07-21,2000-08-08,LONG,108.975,108.565,544.33,-224.36,18
2000-08-28,2000-09-22,SHORT,106.585,108.005,-648.94,-922.89,25
2000-09-22,2000-10-19,LONG,108.005,108.325,653.12,207.58,27
2000-11-20,2001-01-30,LONG,109.695,115.645,707.61,4208.66,71
