Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1996-12-26,1997-01-07,LONG,114.885,115.215,704.22,230.77,12
1997-01-20,1997-02-21,LONG,117.915,123.195,504.03,2660.01,32
1997-04-07,1997-04-10,LONG,125.705,125.805,398.57,38.85,3
1997-05-08,1997-05-27,SHORT,123.715,116.655,-575.0,4058.19,19
1997-06-11,1997-06-12,SHORT,111.175,114.155,-382.86,-1141.8,1
1997-07-25,1997-08-08,LONG,116.895,114.545,421.91,-992.46,14
1997-09-01,1997-09-09,LONG,121.185,118.725,437.12,-1076.35,8
1997-11-05,1997-11-06,LONG,123.095,123.645,396.5,217.1,1
1997-11-07,1997-11-26,LONG,124.305,127.125,388.83,1095.52,19
1997-12-01,1997-12-17,LONG,128.765,127.095,345.49,-577.85,16
1998-01-02,1998-01-07,LONG,132.275,131.815,332.05,-153.62,5
1998-01-21,1998-01-30,SHORT,126.745,127.005,-258.37,-67.83,9
1998-02-04,1998-02-06,SHORT,123.675,124.055,-285.81,-109.32,2
1998-02-20,1998-02-27,LONG,127.935,126.045,350.57,-663.45,7
1998-03-18,1998-03-20,LONG,130.005,130.315,355.33,109.23,2
1998-03-31,1998-04-08,LONG,133.055,131.725,310.48,-413.76,8
1998-05-18,1998-05-21,LONG,135.645,134.945,422.2,-296.68,3
1998-05-25,1998-06-02,LONG,137.195,138.615,403.08,571.25,8
1998-06-08,1998-06-17,LONG,140.955,136.845,399.28,-1642.11,9
1998-07-31,1998-08-05,LONG,144.755,143.815,312.21,-294.38,5
1998-08-07,1998-08-13,LONG,146.215,144.615,320.29,-513.39,6
1998-08-31,1998-09-14,SHORT,138.685,133.235,-218.52,1190.33,14
1998-10-07,1998-10-22,SHORT,121.645,117.435,-160.7,676.18,15
1998-12-11,1998-12-17,SHORT,116.195,116.205,-269.73,-3.32,6
1998-12-31,1999-01-12,SHORT,113.445,112.605,-322.79,270.42,12
1999-01-28,1999-02-01,LONG,116.275,115.045,261.61,-322.38,4
1999-02-16,1999-03-02,LONG,118.655,119.895,260.98,322.99,14
1999-03-04,1999-03-05,LONG,123.485,122.695,255.04,-202.11,1
1999-05-13,1999-05-25,LONG,121.755,122.325,454.07,257.71,12
1999-06-08,1999-06-10,SHORT,119.395,118.815,-346.65,200.23,2
1999-07-19,1999-08-11,SHORT,118.395,115.685,-473.69,1282.62,23
1999-08-18,1999-09-03,SHORT,112.095,110.015,-391.44,813.33,16
1999-09-09,1999-09-17,SHORT,107.995,107.135,-346.7,297.42,8
1999-10-27,1999-11-01,SHORT,104.305,104.045,-434.08,111.96,5
1999-11-26,1999-11-29,SHORT,101.795,102.675,-448.74,-395.81,3
2000-02-01,2000-02-15,LONG,107.745,109.065,392.42,517.14,14
2000-02-17,2000-02-22,LONG,110.415,110.675,428.99,110.59,5
2000-03-07,2000-03-15,SHORT,106.175,105.625,-343.31,188.09,8
2000-03-31,2000-04-03,SHORT,102.955,104.995,-437.27,-892.95,3
2000-04-28,2000-05-12,LONG,108.155,108.315,421.22,66.48,14
2000-06-22,2000-06-30,SHORT,104.525,106.015,-512.8,-765.16,8
2000-07-06,2000-07-20,LONG,107.335,107.495,507.67,80.13,14
2000-07-28,2000-08-01,LONG,109.635,109.225,541.82,-223.33,4
2000-08-28,2000-09-08,SHORT,106.585,106.115,-578.7,270.76,11
2000-09-22,2000-09-26,LONG,108.005,107.465,588.56,-319.09,4
2000-10-02,2000-10-06,LONG,108.735,108.725,644.67,-7.85,4
2000-11-03,2000-11-06,SHORT,106.945,107.365,-643.48,-271.64,3
2000-11-20,2000-11-30,LONG,109.695,110.365,632.89,422.64,10
2000-12-20,2001-01-03,LONG,112.895,113.835,553.38,518.91,14
