Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1996-12-26,1997-03-20,LONG,114.9,123.7,704.22,6195.44,84
1997-04-07,1997-05-02,LONG,125.72,126.63,411.38,373.31,25
1997-05-08,1997-06-27,SHORT,123.7,114.57,-595.34,5434.1,50
1997-07-28,1997-08-21,LONG,117.61,117.85,478.92,113.81,24
1997-09-01,1997-10-02,LONG,121.2,121.63,467.41,199.85,31
1997-11-05,1998-01-12,LONG,123.11,132.75,429.13,4135.7,68
1998-01-21,1998-02-20,SHORT,126.73,127.95,-288.33,-352.5,30
1998-02-20,1998-03-05,LONG,127.95,127.61,390.69,-133.83,13
1998-03-18,1998-03-27,LONG,130.02,130.28,398.09,102.47,9
1998-03-30,1998-04-21,LONG,132.16,131.21,343.8,-327.52,22
1998-05-25,1998-07-02,LONG,137.21,140.42,453.33,1453.93,38
1998-07-31,1998-08-31,LONG,144.77,138.67,359.3,-2192.71,31
1998-08-31,1998-11-09,SHORT,138.67,121.67,-248.74,4227.97,70
1998-11-09,1998-11-23,LONG,121.67,121.08,308.96,-183.04,14
1998-12-11,1999-01-28,SHORT,116.18,116.29,-312.07,-35.05,48
1999-01-28,1999-02-01,LONG,116.29,115.03,301.8,-380.96,4
1999-02-18,1999-03-22,LONG,119.67,118.28,295.8,-411.86,32
1999-05-13,1999-06-08,LONG,121.77,119.38,521.37,-1247.32,26
1999-06-08,1999-06-25,SHORT,119.38,121.19,-392.84,-711.99,17
1999-07-19,1999-10-04,SHORT,118.38,106.16,-532.52,6506.21,77
1999-10-27,1999-11-09,SHORT,104.29,104.92,-503.65,-318.36,13
1999-11-26,1999-12-27,SHORT,101.78,102.25,-518.75,-244.88,31
2000-02-01,2000-03-01,LONG,107.76,106.92,454.44,-382.7,29
2000-03-01,2000-03-24,SHORT,106.92,107.01,-421.86,-38.87,23
2000-03-31,2000-04-28,SHORT,102.94,108.17,-500.76,-2620.07,28
2000-04-28,2000-05-11,LONG,108.17,108.36,476.0,89.41,13
2000-06-22,2000-07-04,SHORT,104.51,106.12,-579.56,-934.32,12
2000-07-21,2000-08-07,LONG,108.99,108.99,547.99,-1.19,17
2000-08-28,2000-09-22,SHORT,106.57,108.02,-654.55,-950.51,25
2000-09-22,2000-10-19,LONG,108.02,108.31,658.65,189.58,27
2000-11-20,2001-01-30,LONG,109.71,115.63,713.49,4222.23,71
2001-03-12,2001-04-19,LONG,120.49,121.22,495.18,360.28,38
2001-04-19,2001-05-11,SHORT,121.22,122.39,-397.91,-466.53,22
2001-05-23,2001-06-20,SHORT,120.18,123.89,-510.46,-1895.07,28
2001-06-20,2001-07-17,LONG,123.89,124.78,528.48,469.03,27
2001-07-20,2001-07-23,SHORT,122.84,124.4,-557.62,-871.27,3
2001-08-09,2001-10-22,SHORT,121.94,122.4,-527.02,-243.72,74
2001-10-22,2002-02-05,LONG,122.4,133.78,626.78,7131.09,106
2002-03-06,2002-04-08,SHORT,130.72,131.54,-582.42,-479.11,33
2002-04-25,2002-05-16,SHORT,128.66,128.05,-616.79,374.66,21
2002-05-17,2002-08-06,SHORT,125.91,120.98,-515.64,2540.85,81
2002-08-06,2002-08-28,LONG,120.98,118.93,486.0,-997.45,22
2002-09-11,2002-10-03,LONG,120.29,122.38,534.75,1116.31,22
2002-10-07,2002-10-09,LONG,124.32,122.99,492.55,-656.3,2
2002-10-15,2002-10-22,LONG,124.65,125.12,612.96,286.56,7
2002-11-01,2002-11-28,SHORT,122.13,122.2,-580.97,-42.09,27
2002-12-02,2002-12-11,LONG,124.39,123.7,633.61,-438.76,9
2002-12-30,2003-01-23,SHORT,118.48,118.14,-617.07,208.34,24
2003-02-10,2003-02-25,LONG,121.23,117.44,638.76,-2422.4,15
2003-02-25,2003-03-19,SHORT,117.44,120.08,-640.36,-1692.08,22
2003-03-19,2003-04-03,LONG,120.08,118.71,658.07,-903.12,15
2003-05-06,2003-05-30,SHORT,117.57,119.32,-613.28,-1074.71,24
2003-05-30,2003-06-09,LONG,119.32,118.16,491.44,-571.24,10
2003-07-30,2003-08-19,LONG,120.3,118.55,724.74,-1270.02,20
2003-08-22,2003-09-11,SHORT,117.47,117.1,-701.6,257.95,20
2003-09-18,2003-11-19,SHORT,115.21,109.13,-654.01,3974.94,62
2004-01-05,2004-01-29,SHORT,106.22,105.93,-1011.42,291.16,24
2004-02-20,2004-03-24,LONG,108.97,106.38,774.49,-2007.58,33
2004-03-24,2004-04-21,SHORT,106.38,109.37,-560.2,-1676.22,28
2004-04-21,2004-06-23,LONG,109.37,108.19,451.04,-533.2,63
2004-06-23,2004-07-06,SHORT,108.19,109.43,-486.34,-604.12,13
2004-07-28,2004-08-09,LONG,111.77,110.63,588.41,-672.09,12
2004-09-23,2004-10-19,LONG,110.76,108.33,745.63,-1813.49,26
2004-10-19,2004-12-22,SHORT,108.33,104.18,-726.48,3013.37,64
2005-01-14,2005-01-20,SHORT,101.96,103.39,-539.87,-773.13,6
2005-02-07,2005-03-18,LONG,104.84,104.69,592.58,-90.13,39
2005-03-23,2005-04-22,LONG,105.93,105.93,712.06,-1.51,30
2005-04-22,2005-05-20,SHORT,105.93,108.17,-688.6,-1543.96,28
2005-05-20,2005-07-28,LONG,108.17,112.25,743.99,3033.82,69
2005-08-12,2005-08-24,SHORT,109.32,110.25,-669.08,-623.73,12
2005-09-27,2005-12-14,LONG,113.27,117.53,664.05,2827.31,78
2005-12-14,2006-02-01,SHORT,117.53,117.99,-583.14,-269.62,49
2006-02-01,2006-02-17,LONG,117.99,118.12,613.16,78.26,16
2006-02-27,2006-03-10,SHORT,116.19,119.02,-628.31,-1779.63,11
2006-03-10,2006-03-16,LONG,119.02,116.86,641.69,-1387.56,6
2006-04-24,2006-06-01,SHORT,114.58,112.5,-632.43,1314.02,38
2006-06-13,2006-07-13,LONG,115.26,115.32,585.5,33.78,30
2006-07-17,2006-08-07,LONG,117.1,115.09,605.52,-1218.48,21
2006-10-06,2006-10-25,LONG,119.03,118.92,763.79,-85.83,19
2006-10-31,2006-11-09,SHORT,116.77,117.81,-757.04,-789.1,9
2006-11-24,2006-12-20,SHORT,115.87,118.36,-679.41,-1693.34,26
2006-12-20,2007-02-08,LONG,118.36,121.11,729.82,2005.23,50
2007-02-15,2007-02-23,SHORT,119.37,121.11,-704.13,-1226.89,8
2007-02-27,2007-03-26,SHORT,118.07,118.14,-586.67,-42.46,27
2007-05-17,2007-06-04,LONG,121.311,121.7,1028.09,397.43,18
2007-06-14,2007-07-10,LONG,122.975,121.27,990.63,-1691.44,26
2007-07-10,2007-10-02,SHORT,121.27,115.73,-770.93,4269.15,84
2007-10-08,2007-11-07,LONG,117.34,112.59,639.08,-3037.05,30
2007-11-07,2007-12-11,SHORT,112.59,110.9,-578.27,975.99,34
2007-12-21,2008-01-02,LONG,114.07,109.243,583.16,-2816.2,12
2008-01-02,2008-02-13,SHORT,109.243,108.302,-580.74,545.22,42
2008-02-13,2008-02-15,LONG,108.302,107.78,555.92,-291.38,2
2008-02-28,2008-04-08,SHORT,104.93,108.2,-552.53,-1807.98,40
2008-04-08,2008-04-14,LONG,108.2,101.14,327.08,-2309.87,6
2008-07-08,2008-07-15,LONG,109.43,104.79,536.37,-2489.88,7
2008-07-15,2008-07-21,SHORT,104.79,106.516,-414.61,-716.51,6
2008-09-15,2008-09-24,SHORT,104.231,106.1,-346.86,-649.02,9
2008-10-06,2008-10-08,SHORT,101.86,110.11,-268.46,-2215.37,2
2008-10-08,2008-10-09,LONG,110.11,99.49,211.57,-2247.3,1
2008-10-09,2008-12-08,SHORT,99.49,109.26,-168.24,-1644.09,60
2008-12-08,2008-12-11,LONG,109.26,91.51,188.68,-3349.39,3
2008-12-11,2009-01-06,SHORT,91.51,93.4,-134.54,-254.53,26
2009-02-17,2009-03-31,LONG,92.296,98.95,393.17,2615.37,42
2009-05-13,2009-06-04,SHORT,95.35,96.663,-422.58,-555.67,22
2009-07-08,2009-07-29,SHORT,92.752,95.12,-450.64,-1067.96,21
2009-08-31,2009-10-22,SHORT,92.85,91.416,-891.55,1276.85,52
2009-10-22,2009-11-05,LONG,91.416,90.75,969.27,-647.3,14
