Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2005-02-04,2005-02-18,LONG,48.0691,47.547,2841.73,-1486.5,14
2005-02-18,2005-04-12,SHORT,47.547,47.561,-2677.68,-40.0,53
2005-04-12,2005-07-13,LONG,47.561,48.6103,2263.67,2373.22,92
2005-07-13,2005-08-18,SHORT,48.6103,48.618,-2464.85,-21.3,36
2005-08-18,2005-09-30,LONG,48.618,48.4114,2533.97,-525.98,43
2005-09-30,2005-11-22,SHORT,48.4114,48.3186,-2614.6,240.04,53
2005-11-22,2006-01-26,LONG,48.3186,48.4247,2488.23,261.47,65
2006-01-26,2006-06-02,SHORT,48.4247,47.8138,-2713.11,1654.83,127
2006-06-02,2006-06-22,LONG,47.8138,47.2164,2541.16,-1520.37,20
2006-06-22,2006-07-14,SHORT,47.2164,47.8519,-3069.01,-1953.32,22
2006-07-14,2006-10-23,LONG,47.8519,49.1627,3199.14,4190.16,101
2006-10-23,2006-11-01,SHORT,49.1627,50.159,-3023.1,-3015.06,9
2006-11-01,2006-12-27,LONG,50.159,50.1341,2761.98,-71.63,56
2006-12-27,2007-02-15,SHORT,50.1341,50.2277,-2782.38,-263.28,50
2007-02-15,2007-03-30,LONG,50.2277,50.7476,3172.41,1646.08,43
2007-03-30,2007-07-20,SHORT,50.7476,50.4705,-2675.56,738.69,112
2007-07-20,2008-02-19,LONG,50.4705,56.2026,2283.78,13088.31,214
2008-02-19,2008-02-29,SHORT,56.2026,57.7426,-1347.04,-2076.01,10
2008-02-29,2008-04-16,LONG,57.7426,57.4393,1269.01,-386.34,47
2008-04-16,2008-07-07,SHORT,57.4393,56.9946,-1285.25,570.19,82
2008-07-07,2008-10-10,LONG,56.9946,57.2902,1527.25,449.81,95
2008-10-10,2008-11-17,SHORT,57.2902,59.1657,-789.26,-1481.16,38
2008-11-17,2009-01-29,LONG,59.1657,62.568,1013.22,3445.96,73
2009-01-29,2009-03-18,SHORT,62.568,64.5446,-898.06,-1776.27,48
2009-03-18,2009-04-24,LONG,64.5446,62.8711,824.79,-1381.28,37
2009-04-24,2009-06-29,SHORT,62.8711,60.9034,-1196.34,2352.54,66
2009-06-29,2009-07-27,LONG,60.9034,60.233,1148.67,-771.46,28
2009-07-27,2009-08-17,SHORT,60.233,61.392,-1111.88,-1290.02,21
2009-08-17,2009-10-23,LONG,61.392,61.7944,1100.64,441.52,67
2009-10-23,2009-11-16,SHORT,61.7944,62.699,-1599.51,-1448.96,24
2009-11-16,2009-12-15,LONG,62.699,61.8873,1654.7,-1345.26,29
2009-12-15,2010-01-21,SHORT,61.8873,62.1051,-1650.68,-361.59,37
2010-01-21,2010-02-18,LONG,62.1051,61.6156,1757.64,-862.48,28
2010-02-18,2010-04-27,SHORT,61.6156,62.6231,-1720.79,-1735.88,68
2010-04-27,2010-09-09,LONG,62.6231,68.0919,1872.81,10239.42,135
2010-09-09,2010-09-28,SHORT,68.0919,69.7129,-1262.57,-2048.33,19
2010-09-28,2010-10-27,LONG,69.7129,68.7448,1355.97,-1314.58,29
2010-10-27,2011-01-10,SHORT,68.7448,66.7109,-1499.94,3048.63,75
2011-01-10,2011-02-04,LONG,66.7109,65.209,1111.41,-1670.7,25
2011-02-04,2011-03-10,SHORT,65.209,66.6918,-1264.05,-1876.03,34
