Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1996-12-26,1997-05-08,LONG,114.9,123.7,639.21,5623.44,133
1997-05-08,1997-07-25,SHORT,123.7,116.91,-521.39,3539.02,78
1997-07-25,1998-01-21,LONG,116.91,126.73,437.09,4291.1,180
1998-01-21,1998-02-20,SHORT,126.73,127.95,-325.25,-397.63,30
1998-02-20,1998-08-31,LONG,127.95,138.67,359.33,3851.02,192
1998-08-31,1998-11-09,SHORT,138.67,121.67,-269.01,4572.47,70
1998-11-09,1998-12-11,LONG,121.67,116.18,241.3,-1325.27,32
1998-12-11,1999-01-28,SHORT,116.18,116.29,-285.18,-32.03,48
1999-01-28,1999-06-08,LONG,116.29,119.38,325.48,1004.96,131
1999-06-08,2000-02-01,SHORT,119.38,107.76,-421.38,4895.52,238
2000-02-01,2000-03-01,LONG,107.76,106.92,457.8,-385.53,29
2000-03-01,2000-04-28,SHORT,106.92,108.17,-422.85,-529.48,58
2000-04-28,2000-06-06,LONG,108.17,105.83,474.44,-1111.19,39
2000-06-06,2000-07-06,SHORT,105.83,107.35,-460.87,-701.51,30
2000-07-06,2000-08-23,LONG,107.35,106.96,569.7,-223.4,48
2000-08-23,2000-09-22,SHORT,106.96,108.02,-653.87,-694.52,30
2000-09-22,2000-11-03,LONG,108.02,106.93,683.26,-746.21,42
2000-11-03,2000-11-20,SHORT,106.93,109.71,-745.7,-2074.69,17
2000-11-20,2001-02-05,LONG,109.71,114.69,744.24,3704.59,77
2001-02-05,2001-03-02,SHORT,114.69,119.07,-455.81,-1997.51,25
2001-03-02,2001-04-19,LONG,119.07,121.22,490.93,1054.31,48
2001-04-19,2001-06-20,SHORT,121.22,123.89,-401.39,-1072.71,62
2001-06-20,2001-07-20,LONG,123.89,122.84,498.61,-524.77,30
2001-07-20,2001-10-22,SHORT,122.84,122.4,-553.44,242.16,94
2001-10-22,2002-03-06,LONG,122.4,130.72,547.48,4553.59,135
2002-03-06,2002-08-06,SHORT,130.72,120.98,-524.52,5107.6,153
2002-08-06,2002-11-01,LONG,120.98,122.13,512.5,588.13,87
2002-11-01,2002-12-02,SHORT,122.13,124.39,-577.12,-1305.72,31
2002-12-02,2002-12-30,LONG,124.39,118.48,609.41,-3603.09,28
2002-12-30,2003-02-10,SHORT,118.48,121.23,-606.91,-1670.46,42
2003-02-10,2003-02-25,LONG,121.23,117.44,624.73,-2369.18,15
2003-02-25,2003-03-19,SHORT,117.44,120.08,-606.64,-1602.99,22
2003-03-19,2003-05-01,LONG,120.08,118.43,607.11,-1003.16,43
2003-05-01,2003-05-30,SHORT,118.43,119.32,-569.03,-507.8,29
2003-05-30,2003-08-20,LONG,119.32,118.04,501.95,-643.69,82
2003-08-20,2004-02-20,SHORT,118.04,108.97,-670.55,6080.44,184
2004-02-20,2004-03-24,LONG,108.97,106.38,733.77,-1902.03,33
2004-03-24,2004-04-21,SHORT,106.38,109.37,-607.33,-1817.23,28
2004-04-21,2004-06-23,LONG,109.37,108.19,489.43,-578.59,63
2004-06-23,2004-07-27,SHORT,108.19,110.9,-485.12,-1315.74,34
2004-07-27,2004-10-19,LONG,110.9,108.33,563.74,-1450.02,84
2004-10-19,2005-02-07,SHORT,108.33,104.84,-736.76,2569.74,111
2005-02-07,2005-04-22,LONG,104.84,105.93,599.91,652.63,74
2005-04-22,2005-05-20,SHORT,105.93,108.17,-708.99,-1589.68,28
2005-05-20,2005-08-11,LONG,108.17,109.68,715.57,1078.93,83
2005-08-11,2005-09-20,SHORT,109.68,111.98,-629.51,-1449.28,40
2005-09-20,2005-12-14,LONG,111.98,117.53,681.06,3778.28,85
2005-12-14,2006-02-01,SHORT,117.53,117.99,-601.3,-278.01,49
2006-02-01,2006-02-27,LONG,117.99,116.19,604.0,-1088.61,26
2006-02-27,2006-03-10,SHORT,116.19,119.02,-613.8,-1738.52,11
2006-03-10,2006-04-24,LONG,119.02,114.58,612.36,-2720.29,45
2006-04-24,2006-06-08,SHORT,114.58,113.955,-575.06,358.11,45
2006-06-08,2006-10-31,LONG,113.955,116.77,497.18,1398.42,145
2006-10-31,2006-12-20,SHORT,116.77,118.36,-746.37,-1188.48,50
2006-12-20,2007-02-15,LONG,118.36,119.37,740.65,746.29,57
2007-02-15,2007-04-03,SHORT,119.37,118.89,-714.77,341.39,47
2007-04-03,2007-07-10,LONG,118.89,121.27,527.34,1253.78,98
2007-07-10,2007-10-03,SHORT,121.27,116.58,-795.85,3730.67,85
2007-10-03,2007-11-07,LONG,116.58,112.59,548.09,-2188.09,35
2007-11-07,2007-12-14,SHORT,112.59,113.28,-593.86,-411.11,37
2007-12-14,2008-01-02,LONG,113.28,109.243,505.77,-2042.92,19
2008-01-02,2008-02-13,SHORT,109.243,108.302,-528.2,495.89,42
2008-02-13,2008-02-28,LONG,108.302,104.93,504.93,-1703.67,15
2008-02-28,2008-04-08,SHORT,104.93,108.2,-522.15,-1708.57,40
2008-04-08,2008-07-15,LONG,108.2,104.79,316.2,-1078.91,98
2008-07-15,2008-08-08,SHORT,104.79,110.19,-454.05,-2452.85,24
2008-08-08,2008-09-15,LONG,110.19,104.231,466.66,-2781.8,38
2008-09-15,2008-10-08,SHORT,104.231,110.11,-362.34,-2130.98,23
2008-10-08,2008-10-09,LONG,110.11,99.49,220.35,-2340.59,1
2008-10-09,2008-12-08,SHORT,99.49,109.26,-173.61,-1696.55,60
2008-12-08,2008-12-11,LONG,109.26,91.51,176.34,-3130.29,3
2008-12-11,2009-02-17,SHORT,91.51,92.296,-139.96,-110.26,68
2009-02-17,2009-05-13,LONG,92.296,95.35,360.13,1099.14,85
2009-05-13,2009-08-07,SHORT,95.35,97.45,-403.4,-847.93,86
2009-08-07,2009-08-31,LONG,97.45,92.85,520.22,-2393.96,24
2009-08-31,2009-10-22,SHORT,92.85,91.416,-720.95,1032.52,52
2009-10-22,2009-11-16,LONG,91.416,88.99,924.63,-2244.8,25
2009-11-16,2009-12-21,SHORT,88.99,91.077,-609.05,-1272.2,35
2009-12-21,2010-01-22,LONG,91.077,89.79,424.31,-546.85,32
2010-01-22,2010-02-18,SHORT,89.79,91.997,-476.5,-1052.51,27
2010-02-18,2010-05-06,LONG,91.997,90.81,490.61,-583.25,77
2010-05-06,2010-11-17,SHORT,90.81,83.4,-387.76,2872.64,195
2010-11-17,2010-12-30,LONG,83.4,81.598,568.94,-1026.16,43
2010-12-30,2011-02-11,SHORT,81.598,83.36,-606.15,-1069.05,43
2011-02-11,2011-03-14,LONG,83.36,81.264,613.57,-1287.04,31
2011-03-14,2011-04-01,SHORT,81.264,83.38,-597.99,-1266.34,18
2011-04-01,2011-04-27,LONG,83.38,81.491,444.6,-840.57,26
2011-04-27,2011-09-07,SHORT,81.491,77.638,-479.29,1845.96,133
2011-09-07,2012-04-09,LONG,77.638,81.31,670.77,2461.98,215
2012-04-09,2012-06-25,SHORT,81.31,80.58,-493.18,359.23,77
2012-06-25,2012-07-23,LONG,80.58,78.43,635.53,-1367.39,28
2012-07-23,2012-10-18,SHORT,78.43,79.08,-805.34,-524.75,87
2012-10-18,2013-06-07,LONG,79.08,97.307,954.55,17396.78,232
2013-06-07,2013-07-03,SHORT,97.307,100.753,-323.91,-1116.84,26
2013-07-03,2013-07-29,LONG,100.753,97.94,342.37,-963.77,26
2013-07-29,2013-09-03,SHORT,97.94,99.59,-380.04,-627.82,36
2013-09-03,2013-09-30,LONG,99.59,97.807,436.19,-778.58,27
2013-09-30,2013-11-15,SHORT,97.807,100.26,-546.19,-1340.9,46
2013-11-15,2014-02-04,LONG,100.26,101.122,658.2,566.04,81
2014-02-04,2014-06-03,SHORT,101.122,102.44,-499.1,-658.84,119
2014-06-03,2015-08-24,LONG,102.44,121.712,1013.56,19530.82,447
2015-08-24,2015-10-26,SHORT,121.712,121.316,-498.27,196.11,63
2015-10-26,2015-12-10,LONG,121.316,121.68,705.5,255.09,45
2015-12-10,2016-05-30,SHORT,121.68,110.79,-767.65,8357.98,172
2016-05-30,2017-01-12,LONG,110.79,115.078,580.21,2486.62,227
2017-01-12,2017-03-10,SHORT,115.078,115.169,-469.06,-43.77,57
2017-03-10,2017-03-22,LONG,115.169,111.512,645.33,-2361.42,12
2017-03-22,2017-05-04,SHORT,111.512,112.803,-635.75,-822.19,43
2017-05-04,2017-07-24,LONG,112.803,110.925,717.7,-1349.43,81
2017-07-24,2017-09-21,SHORT,110.925,112.566,-683.31,-1122.86,59
2017-09-21,2017-11-23,LONG,112.566,111.293,619.9,-790.51,63
2017-11-23,2018-04-23,SHORT,111.293,107.889,-741.22,2521.51,151
2018-04-23,2018-05-30,LONG,107.889,108.374,898.8,433.96,37
2018-05-30,2018-07-12,SHORT,108.374,111.978,-798.17,-2878.41,43
2018-07-12,2018-08-21,LONG,111.978,109.928,894.54,-1835.77,40
2018-08-21,2018-09-14,SHORT,109.928,112.032,-909.14,-1914.86,24
2018-09-14,2018-12-21,LONG,112.032,111.151,893.83,-789.45,98
2018-12-21,2019-02-14,SHORT,111.151,110.943,-823.45,169.45,55
2019-02-14,2019-05-06,LONG,110.943,110.603,958.02,-327.84,81
2019-05-06,2019-09-10,SHORT,110.603,107.357,-1209.8,3924.4,127
2019-09-10,2020-03-02,LONG,107.357,107.677,862.11,274.02,174
2020-03-02,2020-06-03,SHORT,107.677,108.829,-640.14,-738.83,93
2020-06-03,2020-07-31,LONG,108.829,104.663,896.95,-3738.57,58
2020-07-31,2021-02-05,SHORT,104.663,105.592,-838.5,-780.74,189
2021-02-05,2022-08-02,LONG,105.592,131.552,1140.06,29592.97,543
2022-08-02,2022-09-01,SHORT,131.552,139.316,-436.19,-3387.81,30
2022-09-01,2022-12-01,LONG,139.316,137.339,452.56,-895.96,91
2022-12-01,2023-03-08,SHORT,137.339,137.411,-344.52,-25.76,97
