Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1996-11-01,1996-11-04,SHORT,113.48,113.9,-583.82,-246.53,3
1996-11-04,1996-11-06,LONG,113.9,113.93,574.06,15.91,2
1996-11-06,1996-11-12,SHORT,113.93,111.35,-566.16,1459.43,6
1996-11-12,1996-11-15,LONG,111.35,111.03,513.11,-165.33,3
1996-11-15,1996-11-18,SHORT,111.03,111.42,-548.56,-215.16,3
1996-11-18,1996-12-05,LONG,111.42,112.23,549.57,443.91,17
1996-12-05,1996-12-06,SHORT,112.23,112.97,-519.14,-385.34,1
1996-12-06,1996-12-11,LONG,112.97,112.86,506.24,-56.83,5
1996-12-11,1996-12-12,SHORT,112.86,113.15,-533.45,-155.91,1
1996-12-12,1997-01-07,LONG,113.15,115.2,524.89,1074.82,26
1997-01-07,1997-01-08,SHORT,115.2,115.87,-551.6,-370.85,1
1997-01-08,1997-02-21,LONG,115.87,123.18,542.13,3961.6,44
1997-02-21,1997-03-13,SHORT,123.18,123.45,-428.02,-116.62,20
1997-03-13,1997-03-19,LONG,123.45,122.73,424.39,-306.6,6
1997-03-19,1997-03-20,SHORT,122.73,123.74,-435.41,-440.85,1
1997-03-20,1997-03-21,LONG,123.74,122.65,421.94,-460.95,1
1997-03-21,1997-03-24,SHORT,122.65,122.97,-415.24,-133.9,3
1997-03-24,1997-04-01,LONG,122.97,121.88,420.27,-459.12,8
1997-04-01,1997-04-02,SHORT,121.88,123.14,-420.36,-530.69,1
1997-04-02,1997-04-03,LONG,123.14,122.57,410.34,-234.9,1
1997-04-03,1997-04-04,SHORT,122.57,124.27,-423.48,-720.97,1
1997-04-04,1997-05-06,LONG,124.27,125.25,403.2,394.13,32
1997-05-06,1997-05-22,SHORT,125.25,116.17,-548.61,4980.08,16
1997-05-22,1997-06-06,LONG,116.17,114.19,313.67,-621.79,15
1997-06-06,1997-06-12,SHORT,114.19,114.17,-374.94,6.64,6
1997-06-12,1997-06-16,LONG,114.17,113.16,307.87,-311.64,4
1997-06-16,1997-06-19,SHORT,113.16,114.11,-315.49,-300.43,3
1997-06-19,1997-06-26,LONG,114.11,113.11,340.61,-341.38,7
1997-06-26,1997-06-27,SHORT,113.11,114.57,-369.69,-540.6,1
1997-06-27,1997-07-03,LONG,114.57,113.44,364.52,-412.74,6
1997-07-03,1997-07-04,SHORT,113.44,114.22,-405.73,-317.4,1
1997-07-04,1997-07-07,LONG,114.22,112.47,399.44,-699.92,3
1997-07-07,1997-07-11,SHORT,112.47,114.12,-380.5,-628.69,4
1997-07-11,1997-07-14,LONG,114.12,113.64,403.17,-194.43,3
1997-07-14,1997-07-16,SHORT,113.64,115.38,-410.4,-715.04,2
1997-07-16,1997-08-08,LONG,115.38,114.53,375.74,-320.24,23
1997-08-08,1997-08-14,SHORT,114.53,117.97,-356.95,-1228.74,6
1997-08-14,1997-08-15,LONG,117.97,117.28,331.22,-229.32,1
1997-08-15,1997-08-18,SHORT,117.28,118.14,-324.36,-279.72,3
1997-08-18,1997-08-22,LONG,118.14,117.19,326.44,-310.88,4
1997-08-22,1997-08-25,SHORT,117.19,118.15,-379.48,-365.19,3
1997-08-25,1997-09-09,LONG,118.15,118.71,385.31,214.86,15
1997-09-09,1997-09-12,SHORT,118.71,121.08,-389.61,-924.32,3
1997-09-12,1997-09-15,LONG,121.08,119.98,371.91,-410.0,3
1997-09-15,1997-09-16,SHORT,119.98,121.26,-372.73,-478.0,1
1997-09-16,1997-09-24,LONG,121.26,120.32,369.5,-348.22,8
1997-09-24,1997-09-25,SHORT,120.32,121.12,-326.38,-261.89,1
1997-09-25,1997-10-10,LONG,121.12,119.99,324.94,-367.96,15
1997-10-10,1997-10-13,SHORT,119.99,121.07,-375.62,-406.58,3
1997-10-13,1997-10-16,LONG,121.07,119.88,371.77,-443.3,3
1997-10-16,1997-10-17,SHORT,119.88,120.73,-374.32,-319.08,1
1997-10-17,1997-10-28,LONG,120.73,120.53,376.28,-76.16,11
1997-10-28,1997-10-29,SHORT,120.53,120.78,-352.23,-88.91,1
1997-10-29,1997-10-30,LONG,120.78,119.89,354.47,-316.33,1
1997-10-30,1997-11-03,SHORT,119.89,121.34,-360.32,-523.34,4
1997-11-03,1997-12-17,LONG,121.34,127.08,363.82,2087.39,44
1997-12-17,1997-12-22,SHORT,127.08,130.25,-296.55,-940.83,5
1997-12-22,1998-01-13,LONG,130.25,131.32,278.92,297.72,22
