Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
2007-05-22,2007-07-05,LONG,121.66,122.93,894.0,1133.18,44
2007-07-05,2007-10-10,SHORT,122.93,117.168,-838.66,4830.41,97
2007-10-10,2007-10-25,LONG,117.168,113.943,620.27,-2001.78,15
2007-10-25,2007-12-24,SHORT,113.943,114.18,-585.01,-139.99,60
2007-12-24,2008-01-07,LONG,114.18,109.21,553.13,-2750.27,14
2008-01-07,2008-02-14,SHORT,109.21,107.81,-467.45,653.43,38
2008-02-14,2008-03-06,LONG,107.81,102.56,498.19,-2616.51,21
2008-03-06,2008-04-28,SHORT,102.56,104.23,-455.41,-761.49,53
2008-04-28,2008-06-30,LONG,104.23,106.1,307.37,574.13,63
2008-06-30,2008-07-28,SHORT,106.1,107.48,-521.08,-720.21,28
2008-07-28,2008-09-09,LONG,107.48,107.26,381.18,-84.68,43
2008-09-09,2009-02-24,SHORT,107.26,96.57,-358.65,3833.32,168
2009-02-24,2009-04-21,LONG,96.57,98.62,327.07,669.86,56
2009-04-21,2009-10-20,SHORT,98.62,90.818,-452.11,3526.58,182
2009-10-20,2009-11-24,LONG,90.818,88.573,1051.83,-2363.22,35
2009-11-24,2009-12-23,SHORT,88.573,91.66,-722.09,-2230.42,29
2009-12-23,2010-01-21,LONG,91.66,90.373,424.85,-547.55,29
2010-01-21,2010-02-19,SHORT,90.373,91.56,-459.56,-546.34,29
2010-02-19,2010-04-16,LONG,91.56,92.13,545.73,310.06,56
2010-04-16,2010-06-04,SHORT,92.13,91.9,-635.17,144.92,49
2010-06-04,2010-06-28,LONG,91.9,89.293,436.84,-1139.61,24
2010-06-28,2010-11-16,SHORT,89.293,83.182,-745.99,4557.53,141
2010-11-16,2010-12-30,LONG,83.182,81.598,573.83,-909.89,44
2010-12-30,2011-02-16,SHORT,81.598,83.736,-711.46,-1522.3,48
2011-02-16,2011-03-01,LONG,83.736,81.853,721.18,-1359.16,13
2011-03-01,2011-04-06,SHORT,81.853,85.18,-766.26,-2550.65,36
2011-04-06,2011-04-22,LONG,85.18,81.877,466.38,-1541.21,16
2011-04-22,2012-02-15,SHORT,81.877,78.38,-505.22,1765.96,299
2012-02-15,2012-04-17,LONG,78.38,80.361,735.06,1454.97,62
